gppd_idnr,owner,lei
AUS0000054,Energy Development Projects (Australia) Pty Ltd,54930098W5M8OFTTUB81
AUS0000108,Origin Energy,ZSN2LWNPYW6ISMRUC664
AUS0000213,Southern Cross Energy,549300355G8KIHLIIC84
AUS0000061,Meridian Energy Australia,254900IFKXIGNCY3A092
AUS0000165,Origin Energy,ZSN2LWNPYW6ISMRUC664
AUS0000281,Delta,254900O2HIA9KXPWK107
AUS0000107,Snowy Hydro Ltd,549300GKB6OMFAOJ8R07
AUS0000106,Snowy Hydro Ltd,549300GKB6OMFAOJ8R07
AUS0000094,Industry Funds Management,5493002BVK0QI7KW7H93
AUS0000013,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000024,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000476,AGL Energy,549300QAZ8A74DEDXO80
AUS0000016,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
WRI1005914,TIWAG-Tiroler Wasserkraft AG,529900P1JL15TFXFZ679
AUS0000235,Origin Energy,ZSN2LWNPYW6ISMRUC664
AUS0000130,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000229,Rio Tinto Australia Pty Ltd,213800YOEO5OQ72G2R82
AUS0000228,Rio Tinto Australia Pty Ltd,213800YOEO5OQ72G2R82
AUS0000237,International Power - GDF Suez Australia,549300URVIMVNUT7QT37
AUS0000012,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
AUS0000053,CSR,549300TOGR54OMW2T093
AUS0000225,Barrick Gold of Australia,0O4KBQCJZX82UKGCBV73
AUS0000121,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000238,Synergen Power,635400PCERYKASXR1H89
AUS0000239,Origin Energy,ZSN2LWNPYW6ISMRUC664
WRI1005193,Verbund,5299006UDSEJCTTEJS30
AUS0000202,First Quantum Minerals,549300I7UVBGWRYMYZ18
AUS0000141,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000120,Hydro-Electric Corporation (Tasmania),549300OD7D2JJUXELP43
AUS0000358,AGL Energy Pty Ltd,549300QAZ8A74DEDXO80
