country,fuel,generation_gwh_2014
Japan,Petcoke,0
Japan,Other,0
Japan,Waste,6595
Japan,Wind,5038
Japan,Hydro,86942
Japan,Oil,116435
Japan,Gas,420825
Japan,Biomass,28928
Japan,Wave_and_Tidal,0
Japan,Geothermal,2577
Japan,Solar,24506
Japan,Total,1040676
Jordan,Cogeneration,0
Jordan,Nuclear,0
Jordan,Coal,0
Jordan,Petcoke,0
Jordan,Other,0
Jordan,Waste,0
Jordan,Wind,2
Jordan,Hydro,58
Jordan,Oil,16858
Jordan,Gas,1296
Jordan,Biomass,6
Jordan,Wave_and_Tidal,0
Jordan,Geothermal,0
Jordan,Solar,0
Jordan,Total,18220
Kazakhstan,Cogeneration,0
Kazakhstan,Nuclear,0
Kazakhstan,Coal,75594
Kazakhstan,Petcoke,0
Kazakhstan,Other,0
Kazakhstan,Waste,0
Kazakhstan,Wind,13
Kazakhstan,Hydro,8263
Kazakhstan,Oil,1024
Kazakhstan,Gas,20173
Kazakhstan,Biomass,0
Kazakhstan,Wave_and_Tidal,0
Kazakhstan,Geothermal,0
Kazakhstan,Solar,1
Kazakhstan,Total,105068
Kenya,Cogeneration,0
Kenya,Nuclear,0
Kenya,Coal,0
Kenya,Petcoke,0
Kenya,Other,0
Kenya,Waste,0
Kenya,Wind,38
Kenya,Hydro,3310
Kenya,Oil,1714
Kenya,Gas,0
Kenya,Biomass,136
Kenya,Wave_and_Tidal,0
Kenya,Geothermal,4059
Kenya,Solar,1
Kenya,Total,9258
Kosovo,Cogeneration,0
Kosovo,Nuclear,0
Kosovo,Coal,5270
Kosovo,Petcoke,0
Kosovo,Other,0
Kosovo,Waste,0
Kosovo,Wind,0
Kosovo,Hydro,151
Kosovo,Oil,15
Kosovo,Gas,0
Kosovo,Biomass,0
Kosovo,Wave_and_Tidal,0
Kosovo,Geothermal,0
Kosovo,Solar,0
Kosovo,Total,5436
Kuwait,Cogeneration,0
Kuwait,Nuclear,0
Kuwait,Coal,0
Kuwait,Petcoke,0
Kuwait,Other,0
Kuwait,Waste,0
Kuwait,Wind,0
Kuwait,Hydro,0
Kuwait,Oil,43156
Kuwait,Gas,21984
Kuwait,Biomass,0
Kuwait,Wave_and_Tidal,0
Kuwait,Geothermal,0
Kuwait,Solar,0
Kuwait,Total,65140
Kyrgyzstan,Cogeneration,0
Kyrgyzstan,Nuclear,0
Kyrgyzstan,Coal,1073
Kyrgyzstan,Petcoke,0
Kyrgyzstan,Other,0
Kyrgyzstan,Waste,0
Kyrgyzstan,Wind,0
Kyrgyzstan,Hydro,13298
Kyrgyzstan,Oil,84
Kyrgyzstan,Gas,117
Kyrgyzstan,Biomass,0
Kyrgyzstan,Wave_and_Tidal,0
Kyrgyzstan,Geothermal,0
Kyrgyzstan,Solar,0
Kyrgyzstan,Total,14572
Latvia,Cogeneration,0
Latvia,Nuclear,0
Latvia,Coal,0
Latvia,Petcoke,0
Latvia,Other,0
Latvia,Waste,0
Latvia,Wind,141
Latvia,Hydro,1994
Latvia,Oil,0
Latvia,Gas,2337
Latvia,Biomass,669
Latvia,Wave_and_Tidal,0
Latvia,Geothermal,0
Latvia,Solar,0
Latvia,Total,5141
Lebanon,Cogeneration,0
Lebanon,Nuclear,0
Lebanon,Coal,0
Lebanon,Petcoke,0
Lebanon,Other,0
Lebanon,Waste,0
Lebanon,Wind,0
Lebanon,Hydro,193
Lebanon,Oil,17759
Lebanon,Gas,0
Lebanon,Biomass,0
Lebanon,Wave_and_Tidal,0
Lebanon,Geothermal,0
Lebanon,Solar,0
Lebanon,Total,17952
Libya,Cogeneration,0
Libya,Nuclear,0
Libya,Coal,0
Libya,Petcoke,0
Libya,Other,0
Libya,Waste,0
Libya,Wind,0
Libya,Hydro,0
Libya,Oil,17469
Libya,Gas,20262
Libya,Biomass,0
Libya,Wave_and_Tidal,0
Libya,Geothermal,0
Libya,Solar,0
