country,name,gppd_idnr,wepp_location_id
AUS,Hallett 2 Hallet Hill  Wind Farm,AUS0000455,1071423
AUS,Hallett 4 North Brown Hill  Wind Farm,AUS0000024,1073191
AUS,Hallett 5 The Bluff  Wind Farm,AUS0000454,1077096
AUS,Halls Creek,AUS0000368,1030198
AUS,Hazelwood,AUS0000087,1018219
AUS,Henderson,AUS0000355,
AUS,Highbury,AUS0000343,1016475
AUS,Hobart,AUS0000419,1061561
AUS,Hopetoun Diesel Backup,AUS0000412,1030199
AUS,Hopetoun Wind Turbines,AUS0000413,
AUS,Hume,AUS0000076,1014205
AUS,Hunter,AUS0000277,1099346
AUS,Hunter Valley,AUS0000278,1014206
AUS,Inkerman Sugar Mill,AUS0000145,1025551
AUS,Invicta Sugar Mill,AUS0000056,1013429
AUS,Isis Central Sugar Mill,AUS0000159,
AUS,Jacks Gully,AUS0000039,1053498
AUS,Jeeralang A,AUS0000088,1030167
AUS,Jeeralang B,AUS0000089,1030167
AUS,Jindabyne Dam Mini Hydro,AUS0000021,1029078
AUS,John Butters,AUS0000134,1019016
AUS,Jounama,AUS0000038,1066821
AUS,Jundee Gold Mine,AUS0000222,1061933
AUS,KRC Cogeneration Plant,AUS0000332,
AUS,Kalamia Sugar Mill,AUS0000160,
AUS,Kalamunda,AUS0000329,1067433
AUS,Kalbarri Wind Farm,AUS0000405,
AUS,Kalgoorlie (Parkeston),AUS0000188,1024263
AUS,Kalgoorlie Nickel Smelter,AUS0000209,1033312
AUS,Kambalda,AUS0000210,1033313
AUS,Kangaroo Valley (Shoalhaven Scheme),AUS0000279,
AUS,Kareeya,AUS0000161,1067221
AUS,Karratha,AUS0000189,1075751
AUS,Katherine,AUS0000259,1024443
AUS,Kemerton,AUS0000211,1058552
AUS,King Island (Currie),AUS0000449,1019017
AUS,Kogan Creek,AUS0000162,1043910
AUS,Koombooloomba,AUS0000055,1050161
AUS,Kununurra,AUS0000370,1030202
AUS,Kwinan,AUS0000194,1033283
AUS,Kwinana (Alcoa Refinery),AUS0000190,1014018
AUS,Kwinana (NewGen),AUS0000196,1067030
AUS,Kwinana A,AUS0000191,1030203
AUS,Kwinana C,AUS0000192,1030203
AUS,Kwinana Cogeneration,AUS0000193,
AUS,Kwinana High Efficiency Gas Turbine Plant,AUS0000195,
AUS,Kwinana Swift,AUS0000197,1085202
AUS,Ladbroke Grove,AUS0000244,1045441
AUS,Lake Bonney Wind Farm,AUS0000062,1056888
AUS,Lake Echo,AUS0000124,1019018
AUS,Lake Glenmaggie,AUS0000086,
AUS,Lake Keepit,AUS0000304,
AUS,Lake William Hovell,AUS0000099,
AUS,Landfill Management Services Shoal Bay,AUS0000252,1067357
AUS,Laverton,AUS0000371,1066697
AUS,Laverton (Granny Smith Gold Mine),AUS0000219,
AUS,Laverton North,AUS0000090,1053207
AUS,Leichhardt,AUS0000460,1095884
AUS,Leinster Nickel Mine,AUS0000212,1033314
AUS,Lemonthyme,AUS0000132,1019019
AUS,Leonards Hill,AUS0000341,
AUS,Leonora,AUS0000409,1100968
AUS,Leonora (Murrin Murrin Nickel Mine),AUS0000223,1041831
AUS,Liapootah,AUS0000123,1019020
AUS,Liddell,AUS0000280,1014209
AUS,Liddell Solar Thermal,AUS0000473,
AUS,Longford,AUS0000091,1016695
AUS,Lonsdale,AUS0000234,1053091
