name,fuel,match_name,match_id,,
EOL RIACHAO 1,Wind,Riachão I,BRA0030870,,
EOL RIACHAO 2,Wind,Riachão II,BRA0030871,,
EOL RIACHAO 4,Wind,Riachão IV,BRA0030874,,
EOL RIACHAO 6,Wind,Riachão VI,BRA0030872,,
EOL RIACHAO 7,Wind,Riachão VII,BRA0030873,,
EOL RIBEIRAO,Wind,Ribeirão,BRA0030695,,
EOL R.DO FOGO,Wind,RN 15 - Rio do Fogo,BRA0028424,,
EOLICA R.FOGO,Wind,RN 15 - Rio do Fogo,BRA0028424,,
EOL SANGRA.2,Wind,Sangradouro 2,BRA0030381,,
EOL SANGRA.3,Wind,Sangradouro 3,BRA0030330,,
EOL S.CRISTOV,Wind,São Cristovão,BRA0030912,,
EOL SAO JORGE,Wind,São Jorge,BRA0030911,,
EOL SEABRA,Wind,Seabra,BRA0030306,,
ST GAMELEIRAS,Wind,Sete Gameleiras,BRA0030455,,
TBA.ANDORINHA,Wind,Taíba Andorinha,BRA0030373,,
CONJUNTO EOLICO TRAIRI,Wind,Trairí,BRA0030662,,
CONJUNTO EOLICO MORRINHOS,Wind,Ventos de Morrinhos,BRA0030945,,
CONJUNTO EOLICO AMAZONAS,Wind,Vila Amazonas V,BRA0031750,,
EOL VOLTA RIO,Wind,Volta do Rio,BRA0028441,,
EOL XANGRILA,Wind,Xangri-lá,BRA0031302,,
CONJUNTO EOLICO SANTA BRIGIDA,Wind,,,,
CJU_BAIGLA,Wind,,,,
CJU_PEPARN,Wind,,,,
EOL ICARAI 2,Wind,,,,
CJU_RNC245,Wind,,,,
CJU_RNJCAB,Wind,,,,
CJU_BAPND,Wind,,,,
CJU_RNJCAT,Wind,,,,
EOL C.QUEBRAD,Wind,,,,
CJU_RNUVNT,Wind,,,,
CONJUNTO EOLICO QUINTA 69 KV,Wind,,,,
CJU_BAIGGU,Wind,,,,
EOL MACAUBAS,Wind,,,,
EOL OSORIO 3,Wind,,,,
EOL ICARAI 1,Wind,,,,
CJU_CECEAD,Wind,,,,
PEDRO LAGO,Wind,,,,
EOL MAR TERRA,Wind,,,,
CJU_RNMODL,Wind,,,,
CJU_PEEBR,Wind,,,,
EOL D.INDIOS,Wind,,,,
CJU_PICHP1,Wind,,,,
CJU_PICHP3,Wind,,,,
CJU_PICHP2,Wind,,,,
EOL FAISA III,Wind,,,,
CJU_BAMRRI,Wind,,,,
EOL OSORIO 2,Wind,,,,
CJU_RENS,Wind,,,,
CJU_BASESE,Wind,,,,
CJU_RNJCCP,Wind,,,,
REI VENTOS 3,Wind,,,,
REI VENTOS 1,Wind,,,,
CJU_BAWND1,Wind,,,,
CJU_RNJCCO,Wind,,,,
CJU_BAWND2,Wind,,,,
CJU_BAIGNC,Wind,,,,
CJU_RNMVNT,Wind,,,,
CJU_CEITRU,Wind,,,,
EOL FAISA II,Wind,,,,
EOL FAISA IV,Wind,,,,
CJU_BACVNT,Wind,,,,
CJU_BAASRA,Wind,,,,
EOL TBA AGUIA,Wind,,,,
CJU_BACABC,Wind,,,,
CJU_RNSNT3,Wind,,,,
CJU_BACATT,Wind,,,,
EOL FAISA I,Wind,,,,
EOL FAISA V,Wind,,,,
CJU_BAIGAL,Wind,,,,
CJU_BACGPN,Wind,,,,
CJU_RNCAL1,Wind,,,,
CJU_BAARAC,Wind,,,,
CONJUNTO EOLICO SENTO SE,Wind,,,,
CJU_RNSCLA,Wind,,,,
CONJUNTO EOLICO DOS ARACAS,Wind,,,,
CJU_PEFNVT,Wind,,,,
CJU_RNRENS,Wind,,,,
CJU_BAMORR,Wind,,,,
EOL.INDIOS 2,Wind,,,,
EOL.INDIOS 3,Wind,,,,
CONJUNTO EOLICO LIVRAMENTO 2,Wind,,,,
CJU_RNJCDV,Wind,,,,
CONJUNTO EOLICO CEARA II,Wind,,,,
CJU_RNST12,Wind,,,,
EOL OSORIO,Wind,,,,
CJU_RNCARC,Wind,,,,
EOL S A PADUA,Wind,,,,
CJU_RNDREN,Wind,,,,
