source_name,master_name,plant_count,iso3
Stra�kirchen Solarpark,,1,DEU
Suiryoku,,1,JPN
Sumitomo Corporation,,3,JPN
SunBorne Energy Gujarat,SunBorne Energy Gujarat One Private Limited,2,IND
SunBorne Energy Gujarat One Pvt,SunBorne Energy Gujarat One Private Limited,1,IND
Sunday Observer,,1,LKA
Sunflag Co ltd,,1,IND
Sunics Solar GmbH,,4,DEU
SUNIR,,1,IRQ
Sunkon Energy Private Limited,,1,IND
Surana Industries ltd,,1,IND
Suzhou Industrial Park Blue Sky Gas Cogeneration Power Co Ltd,,1,CHN
Swiss Federal Office of Energy,,647,CHE
Sybac Solar,,1,HND
SYBAC Solar GmbH,,41,DEU
Symbion World,,1,RWA
t+group,,52,RUS
Tanzania Electric Supply Company,,13,TZA
Taqa Way,,8,MAR
Taranto Energia,,1,ITA
Tata BP Solar India Limited,,1,IND
Tata Co ltd,,1,IND
Tata Power Solar,,2,IND
TAVANIR,,99,IRN
Taxus Infrastructure and Power Projects Pvt Ltd,,1,IND
Technip Magazine,,1,ITA
Technocraft Technocraft group,,1,IND
Technoproexport,,5,RUS
Technoprom,,1,CUB
TECO Guatemala,,2,GTM
TenneT,,8,NLD
TEPCO,,4,JPN
Termica Celano,,1,ITA
TERNA,,76,"GRC,ITA"
TGC-2,,10,RUS
Thai Solar Energy Public Company Limited (TSE),,26,THA
The East African,,2,RWA
The Guardian,,1,RWA
The Independent,,1,PAK
The People's Korea,,46,PRK
ThinkGeoEnergy,,2,"GTM,PNG"
Three Gorges Corporation,,1,PAK
Tirreno,Tirreno Power,2,ITA
Tirreno Power,,1,ITA
Tobata Thermal Power Company,,1,JPN
Tohoku,Tohoku Electric Power Company,1,JPN
Tohoku Epco,Tohoku Electric Power Company,1,JPN
Tohuku,Tohoku Electric Power Company,1,JPN
Tokyo Gas,,3,JPN
Topsoe SNOX paper,,1,ITA
Topworth Metals ltd,,1,IND
Toshiba,,2,"CHN,JPN"
Tosoh,,1,JPN
Tractabel,,1,ITA
Trinidad and Tobago Energy Agency,,3,TTO
Trustpower,,11,NZL
TSK,,1,PRI
TWEA (Turkish Wind Energy Association),,1,TUR
Ugar Works ltd,,1,IND
Ujaas Energy Limited,,3,IND
UK DUKES,,462,GBR
Ultratech Cement ltd,,2,IND
UNFCCC,,1,ZAF
UNFCCC/CCNUCC,,1,ZAF
Uniper Energy,,1,SWE
United Energy,,1,CZE
Unity Power Limite r World,,1,IND
Urja India edEnewables,,1,IND
Urja Private edEr,,1,IND
"Uruguay Ministry of Industry, Energy, and Mining",,50,URY
Uttam Steels ltd,,1,IND
Vaptech,,2,CHN
Varam Pvt ltd,,1,IND
Vardham Vardham group,,2,IND
Vasantdada Ssk ltd,,1,IND
Vattenfall,,89,"NLD,DNK,SWE"
Venezuela Electricity Sector,,49,VEN
Verbund,,122,AUT
Videocon Industries Limited,,1,IND
Vietnam Electricity Annual Report,,58,VNM
Vikram Vikram cement,,1,IND
Vindkraft Ukraina,,2,UKR
Vishwanath Sugars ltd,,1,IND
Viver Energia,,1,ITA
Volta River Authority,,8,GHA
Vorarlberger Illwerke AG,,10,AUT
Wakayama Kyodo Power Company,,1,JPN
Wartsila,,4,"KMH,KEN"
Water Power Magazine,,1,CHN
Water Pub,,1,CHN
Website,,1,MAR
Welspun Solar AP Private Limited,,1,IND
Welspun Solar Punjab Private Limited,,2,IND
West Bengal Energy Development Corporation Limited (WBEDCL),,1,IND
West Mills wcpm),,1,IND
Wien Energie,,20,AUT
Wiki Eolinne,,2,MAR
Wilson Center,,27,CHN
Wind Energy in the Czech Republic,,61,CZE
Wind Energy Projects in Crimea,,3,UKR
Wind Energy Resource Atlas of Sri Lanka,,1,LKA
Wind Parks of Ukraine LLC,,6,UKR
Wind Power,,1,DNK
Wind Stats Netherlands,,206,NLD
Windmar Renewable Energy,,1,PRI
Wirsol Solar Ag,,1,DNK
Wirsol Solar AG,,2,DEU
World Bank,,8,"ETH,CHN,SUR,IRQ"
World Energy Organization,,1,KAZ
Wuhan Economic & Technological Development Zone (WEDZ),,1,CHN
X-elio,,7,"ITA,JPN"
Yashwantrao Krishna ssk,,1,IND
Yellow River Conservancy Commission of the Ministry of Water,,6,CHN
Yingli Solar,,1,MYS
Ym Ssk ltd,,1,IND
Zhongshan Jiaming Electric Power Co Ltd,,1,CHN
ZJ Energy,,1,CHN
,,3,"NLD,KOR"
