iso3,source_name,master_source_name
GRC,Public Power Corporation of Greece,
GRC,"Public Power Corporation of Greece (capacity, fuel, location)",
LKA,Public Utilities Commission of Sri Lanka,
PRI,Puerto Rico Water Resources Authority,
IND,Punj Lloyd,
DEU,Puravis,
IND,Purna Ssk ltd,
IND,Purti Sugar ltd,
MAR,PV Magazine,
PRI,PV Tech,
PAK,Quaid-E-Azam Solar Power (Private) Ltd.,Quaid-E-Azam Solar Power (Private) Ltd.
RUS,Quandra,
IND,Raajratna Energy Holdings Private Limited (REHPL),
IND,Rajasthan Renewable Energy Corporation Limited (RREC),
JPN,Rakuten Trust,
DEU,Ranfit-E,
DEU,Ranft,
DEU,Ranft ,
IND,Rashtriya & fert,
THA,Ratchaburi,
THA,Ratchaburi Electric Generating Company,
IND,Rattanindia Power ltd,
CZE,Ray ON,
IND,Real Estate e,
ESP,Red Eléctrica de España,
RWA,REG,
IND,Reliance Ltd ril),
IND,Reliance Power Lim r Power,
IND,Reliance Power ltd,
IND,Reliance Reliance petrochemicals,
CZE,Ren Power,
JPN,Renewable Japan Co Ltd,
LKA,RenewGen,
JPN,Renova,
ITA,Repower,
CUB,Republic of Cuba Power Sector Infrastructure Assesment,
COD,Reuters,
KAZ,Ridder Tets AO,
IND,Rk Pvt ltd,
IND,Rswm Rswm ltd,
FRA,RTE Transmission Operator,
ITA,Rueters,
RUS,RusHydro,
NLD,RWE,
DEU,S & Z Energiesysteme GmbH,
IND,S J Green Park Energy Private Limited,
IND,S Limited Rsolar,
CZE,SAG Solar,
THA,Sahacogen Co Ltd,
IND,Sahakar Shiromani vasantrao,
IND,Sahakarmaharshi Bhausaheb thor,
NGA,Sahara Power,
ZAF,SAHRA,
KAZ,Samruk Energy,
IND,Sangam Spinners ltd,
GTM,Santa Ana,
NGA,Sarafinchin,
MUS,Sarako,
SAU,Saudi Arabia Solar Industry Association,
ZAF,Savannah Environmental,
ZAF,Scatec Solar,
JPN,Schneider Electric,
IND,Se Pvt Rsolar,
IND,SEI Solar Energy Private Limited,
JPN,Sekitan,
IND,Sembcorp,
MEX,SENER,
IND,Sepset Constructio te,
IRQ,Serbia Construction,
CZE,Severní Energetická,
IND,Shamanur Sugars ltd,
CHN,Shanghai Power,
JPN,SHARP,
CHN,Shenergy Group,
CHN,Shenzhen Guangqian Electric Power Co Ltd,
IND,Shree Cement ltd,
IND,Shree Sugars ltd,
IND,Shri Hiranyakeshi ssk,
IND,Shri Malaprabha ssk,
IND,Shri Ssk ltd,
IND,Shri Vedganga ssk,
CHN,Shunde Sheng Power Plant Â Co Ltd,
CHN,Sichuan News,
ITA,Siemens,
SLE,Sierra Rutile,
CHN,Sina,
IND,Sinarmas Paper ltd,
IND,Sinewave Pvt ltd,
CHN,Sino Hydro,
CHN,SinoHydro,
DEU,Sinosol AG,
CHN,Sinovel,
PRY,Situation of Renewable Energy in Paraguay,
KOR,SK Holdings,
SWE,Skelleftå Kraft,
NLD,SloeCentrale,
PRI,Small Hydro World,
JPN,SoftBank,
JPN,Sojitz Corporation,
CZE,Sokolovska Uhlena,
IND,Solaer,
IND,Solaire Direct,
ZAF,SolaireDirect,
DEU,Solar Asset Management,
ZAF,Solar Capital,
JPN,Solar Daily,
IND,Solar for India,
JPN,Solar Frontier,
CZE,Solar Global,
CZE,Solar Liglass,
CZE,Solar Power GMBH,
JPN,Solar Power Plant Business,
ZAF,Solar Reserve,
ITA,Solar Rig,
DEU,Solar Server,
DEU,Solar-Konzept GmbH,
DEU,Solarcomplex AG,
ITA,Solaria Energia,
JPN,Solarig Holdings,
DEU,Solarkraftwerk Barderup GmbH & Co KG,
DEU,Solarkraftwerk H�ttigweiler (Illingen),
DEU,Solarkraftwerk Schweizer Berg,
DEU,Solarkraftwerk Wetschhauser Hof (Ottweiler),
DEU,Solarparc GmbH,
DEU,Solarpark Brandenburg (Havel) GmbH,
DEU,Solarpark Frauental,
DEU,Solarpark Geusa GmbH & Co. KG,
DEU,Solarpark Glebitzsch GmbH,
