,country_code,company,name,postcode,city,street,state,block,commissioned_original,commissioned,retrofit,shutdown,status,fuel,technology,type,eeg,chp,capacity,capacity_uba,chp_capacity_uba,merge_comment,efficiency_data,efficiency_estimate,efficiency_source,network_node,voltage,network_operator,name_uba,lat,lon,comment
BNA0261c,DE,Erlanger Stadtwerke AG,HKW Erlangen,91052,Erlangen, Äußere Bruckerstr. 33,Bayern,GuD 2,2014,2014.0,,,operating,gas,CC,,no,yes,6.7,,,,,0.602999999999998,,Hammerbacherstr.,20,Erlanger Stadtwerke AG,,49.593492,11.001093,
BNA0263,DE,E.ON Kernkraft GmbH,Isar 2,84051,Essenbach,,Bayern,KKI 2,1988,1988.0,,,operating,uranium,ST,,no,no,1410.0,1485.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.33,,Isar,380,TenneT TSO GmbH ,Isar 2 - Essenbach (KKI) (Ohu),48.6046,12.295069999999999,
BNA0268,DE,Mark-E AG,Pumpspeicherwerk Rönkhausen,57413,Finnentrop,,Nordrhein-Westfalen,PSW,1969,1969.0,2003.0,,operating,pumped_storage,PSP,,no,,138.0,140.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,,,U 101 und U 102,110,Enervie AssetNetWork GmbH ,Rönkhausen 1 u. 2 / Glingetal,51.22475,7.99281,
BNA0269,DE,Stadtwerke Flensburg GmbH,HKW Flensburg,24939,Flensburg,,Schleswig-Holstein,Block 5,1974,1974.0,,2012.0,shutdown,oil,ST,,no,yes,30.0,,,,,0.35640000000000027,,Stadtwerke Flensburg GmbH,60,Stadtwerke Flensburg GmbH,,54.80506,9.43238,
BNA0270,DE,Stadtwerke Flensburg GmbH,Heizkraftwerk FL,24939,Flensburg,,Schleswig-Holstein,Block 11,1992,1992.0,,,operating,coal,ST,CHP,no,yes,27.0,30.122448979591837,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.40500000000000025,,SW Flensburg GmbH,60,Stadtwerke Flensburg GmbH ,Flensburg K07 bis K11,54.80495,9.43244,
BNA0271,DE,Stadtwerke Flensburg GmbH,Heizkraftwerk FL,24939,Flensburg,,Schleswig-Holstein,Block 10,1988,1988.0,,,operating,coal,ST,CHP,no,yes,29.0,32.35374149659864,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3949999999999996,,SW Flensburg GmbH,60,Stadtwerke Flensburg GmbH ,Flensburg K07 bis K11,54.80495,9.43244,
BNA0272,DE,Stadtwerke Flensburg GmbH,Heizkraftwerk FL,24939,Flensburg,,Schleswig-Holstein,Block 9,1985,1985.0,,,operating,coal,ST,CHP,no,yes,33.0,36.816326530612244,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3875000000000002,,SW Flensburg GmbH,60,Stadtwerke Flensburg GmbH ,Flensburg K07 bis K11,54.80495,9.43244,
BNA0273,DE,Stadtwerke Flensburg GmbH,Heizkraftwerk FL,24939,Flensburg,,Schleswig-Holstein,Block 8,1982,1982.0,,,operating,coal,ST,CHP,no,yes,35.0,39.04761904761905,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3799999999999999,,SW Flensburg GmbH,60,Stadtwerke Flensburg GmbH ,Flensburg K07 bis K11,54.80495,9.43244,
BNA0274,DE,Stadtwerke Flensburg GmbH,Heizkraftwerk FL,24939,Flensburg,,Schleswig-Holstein,Block 7,1978,1978.0,,,operating,coal,ST,CHP,no,yes,23.0,25.65986394557823,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3700000000000001,,SW Flensburg GmbH,60,Stadtwerke Flensburg GmbH ,Flensburg K07 bis K11,54.80495,9.43244,
BNA0277,DE,MVV Energie AG,BMKW Flörsheim Wicker,65439,Flörsheim Wicker,Am Steinmühlenweg 5,Hessen,,2003,2003.0,,,operating,biomass,ST,,yes,no,12.6,,,,,0.38,,,20,Syna GmbH ,,50.022602,8.377208999999999,
BNA0278,DE,EnBW Energie Baden-Württemberg AG,Rudolf-Fettweis-Werk     ,76596,Forbach,Werkstraße 5,Baden-Württemberg,Forb/ Murgwerk,1918,1918.0,,,operating,run_of_river,ROR,,no,no,22.0,,,,,,,Forbach,110,Netze BW GmbH,,48.673188399999994,8.355705841,
BNA0279,DE,EnBW Energie Baden-Württemberg AG,Rudolf-Fettweis-Werk     ,76596,Forbach,Werkstraße 5,Baden-Württemberg,Pumpspeicherkraftwerk Schwarzenbachwerk,1926,1926.0,,,operating,pumped_storage,PSP,,no,no,43.0,,,,,,,Forbach,110,Netze BW GmbH,,48.6693835,8.353047617,
BNA0283,DE,Mainova AG,BKF,60382,Frankfurt am Main,Alt Fechenheim 34,Hessen,,2004,2004.0,,,operating,biomass,ST,,yes,yes,12.4,,,,,0.38,,UW Hanauer Landstraße,10,NRM Netzdienste Rhein-Main GmbH,,50.12943,8.76792,
BNA0284,DE,Stadtwerke Frankfurt (Oder) GmbH,Heizkraftwerk FFO,15236,Frankfurt Oder,,Brandenburg,Block1-GuD-EK,1997,1997.0,,,operating,lignite,ST,,no,yes,45.0,,,,0.4,0.39279999999999937,https://books.google.de/books?id=3gjxbjLZUIcC&pg=PA44&lpg=PA44&dq=Grevenbroich-Frimmersdorf+wirkungsgrad&source=bl&ots=Ov4NMifXMN&sig=9UFMsjWijfvUpdU2_A-dtbyh_tw&hl=de&sa=X&ved=0ahUKEwiki-rIupLKAhXFfw8KHe3cDRwQ6AEIQzAH#v=onepage&q=Grevenbroich-Frimmersdorf%20wirkungsgrad&f=false,"Zelle 3 und 13 Schaltanlage ""Am Hohen Feld 4""",20,Netzgesellschaft Frankfurt (Oder) mbH,,52.346000000000004,14.546,
BNA0285,DE,Mainova AG,HKW Niederrad,60528,Frankfurt am Main,Lyoner Straße  8,Hessen,Block 1,2005,2005.0,,,operating,gas,CC,CHP,no,yes,70.0,75.55555555555556,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.5624999999999982,,UW Goldsteinstraße,110,NRM Netzdienste Rhein-Main GmbH,Frankfurt-Niederrad,50.0856,8.62785,
BNA0286,DE,Mainova AG,HKW West,60627,Frankfurt am Main,Gutleutstraße 231,Hessen,Block 4,1994,1994.0,,,operating,gas,GT,CHP,no,yes,99.0,100.0,150.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.36439999999999984,,UW Gutleutstraße,110,NRM Netzdienste Rhein-Main GmbH,Frankfurt-West 4,50.09843,8.65313,
BNA0287a,DE,Mainova AG,MHKW Frankfurt,60440,Frankfurt am Main,Heddernheimer Landstraße 158,Hessen,"T 3 (nur alleiniger Betrieb, kein gemeinsamer Betrieb mit T 7 möglich)",1998,1998.0,,,operating,waste,ST,,no,yes,26.0,,,,,0.33,,UW Heddernheim,30,NRM Netzdienste Rhein-Main GmbH,,50.16173,8.63596,
BNA0287b,DE,Mainova AG,MHKW Frankfurt,60439,Frankfurt am Main,Heddernheimer Landstraße 157,Hessen,"T 7 (nur alleiniger Betrieb, kein gemeinsamer Betrieb mit T 3 möglich)",2006,2006.0,,,operating,waste,ST,,no,yes,46.5,,,,,0.33,,UW Heddernheim,30,NRM Netzdienste Rhein-Main GmbH,,50.16171,8.63625,
BNA0288,DE,Mainova AG,HKW Niederrad,60528,Frankfurt am Main,Lyoner Straße  9,Hessen,Block 2,1973,1973.0,,,operating,gas,CC,CHP,no,yes,56.0,60.44444444444444,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.4184999999999981,,UW Goldsteinstraße,110,NRM Netzdienste Rhein-Main GmbH,Frankfurt-Niederrad,50.0856,8.62785,
BNA0289a,DE,Mainova AG,HKW West,60627,Frankfurt am Main,Gutleutstraße 231,Hessen,M4,1954,1954.0,,,operating,other_non_renewable,ST,CHP,no,no,19.7,19.87946741415557,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,,,UW Gutleutstraße,30,NRM Netzdienste Rhein-Main GmbH,Frankfurt-West 2 u. 3,50.09847,8.653030000000001,
BNA0289b,DE,Mainova AG,HKW West,60627,Frankfurt am Main,Gutleutstraße 231,Hessen,Block 2,1989,1989.0,,,operating,coal,ST,CHP,no,yes,61.5,62.06026629292222,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.39749999999999996,,UW Gutleutstraße,110,NRM Netzdienste Rhein-Main GmbH,Frankfurt-West 2 u. 3,50.09843,8.65313,
BNA0290,DE,Mainova AG,HKW West,60627,Frankfurt am Main,Gutleutstraße 231,Hessen,Block 3,1989,1989.0,,,operating,coal,ST,CHP,no,yes,61.5,62.06026629292222,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.39749999999999996,,UW Gutleutstraße,110,NRM Netzdienste Rhein-Main GmbH,Frankfurt-West 2 u. 3,50.09843,8.65313,
BNA0292,DE,RWE Power AG,Frechen/Wachtberg,50226,Frechen,,Nordrhein-Westfalen,Frechen/Wachtberg,1959,1959.0,1988.0,,operating,lignite,ST,IPP,no,yes,118.0,201.0,251.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.3711999999999991,,Frechen,110,Westnetz GmbH,Frechen / Wachtberg,50.8976,6.793099000000001,
BNA0293,DE,Solvay Acetow GmbH,GuD Anlage WVK,79108,Freiburg,,Baden-Württemberg,GuD Anlage,1998,1998.0,,,operating,gas,CC,,no,yes,60.1,,,,,0.5309999999999988,,110kV Schalter WVK GuD Anlage,110,bnNETZE GmbH ,,48.020738,7.84588,
BNA0302,DE,RWE Power AG,Frimmersdorf,41517,Frimmersdorf,,Nordrhein-Westfalen,C,1957,1957.0,,2011.0,shutdown,lignite,ST,,no,no,129.0,,,,,0.2967999999999993,,Frimmersdorf,110,Westnetz GmbH,,51.05744518,6.577080395,
BNA0303,DE,RWE Power AG,Frimmersdorf,41517,Frimmersdorf,,Nordrhein-Westfalen,D,1957,1957.0,,2011.0,shutdown,lignite,ST,,no,no,130.0,,,,,0.2967999999999993,,Frimmersdorf,110,Westnetz GmbH,,51.05744518,6.577080395,
BNA0304,DE,RWE Power AG,Frimmersdorf,41517,Frimmersdorf,,Nordrhein-Westfalen,G,1960,1960.0,,2011.0,shutdown,lignite,ST,,no,no,124.0,,,,,0.3039999999999994,,Rommerskirchen,220,Amprion GmbH,,51.05744518,6.577080395,
BNA0305,DE,RWE Power AG,Frimmersdorf,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,E,1959,1959.0,,2012.0,shutdown,lignite,ST,,no,no,130.0,,,,,0.30159999999999965,,Osterath,220,Amprion GmbH,,51.05744518,6.577080395,
BNA0306,DE,RWE Power AG,Frimmersdorf,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,F,1960,1960.0,,2012.0,shutdown,lignite,ST,,no,no,132.0,,,,,0.3039999999999994,,Osterath,220,Amprion GmbH,,51.05744518,6.577080395,
BNA0307,DE,RWE Power AG,Frimmersdorf,41517,Frimmersdorf,,Nordrhein-Westfalen,I,1960,1960.0,,2012.0,shutdown,lignite,ST,,no,no,128.0,,,,,0.3039999999999994,,Opladen,380,Amprion GmbH,,51.05744518,6.577080395,
BNA0308,DE,RWE Power AG,Frimmersdorf,41517,Frimmersdorf,,Nordrhein-Westfalen,K,1962,1962.0,,2012.0,shutdown,lignite,ST,,no,no,136.0,,,,,0.30879999999999885,,Opladen,380,Amprion GmbH,,51.05744518,6.577080395,
BNA0309,DE,RWE Power AG,Frimmersdorf,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,N,1964,1964.0,,2012.0,shutdown,lignite,ST,,no,no,135.0,,,,,0.3135999999999992,,Gohrpunkt,220,Amprion GmbH,,51.05744518,6.577080395,
BNA0310,DE,RWE Power AG,Frimmersdorf,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,M,1962,1962.0,,2012.0,shutdown,lignite,ST,,no,no,138.0,,,,,0.30879999999999885,,Frimmersdorf,110,Westnetz GmbH,,51.05744518,6.577080395,
BNA0311,DE,RWE Power AG,Frimmersdorf,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,L,1962,1962.0,,2012.0,shutdown,lignite,ST,,no,no,131.0,,,,,0.30879999999999885,,Frimmersdorf,110,Westnetz GmbH,,51.05744518,6.577080395,
BNA0312,DE,RWE Power AG,Frimmersdorf,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,O,1964,1964.0,,2012.0,shutdown,lignite,ST,,no,no,133.0,,,,,0.3135999999999992,,Rommerskirchen,220,Amprion GmbH,,51.05744518,6.577080395,
BNA0313,DE,RWE Power AG,Frimmersdorf,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,P,1966,1966.0,1990.0,,operating,lignite,ST,CHP,no,yes,284.0,325.0,654.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.37599999999999945,,Gohrpunkt,220,Amprion GmbH,Frimmersdorf P,51.05744518,6.577080395,
BNA0314,DE,RWE Power AG,Frimmersdorf,41517,Grevenbroich-Frimmersdorf,,Nordrhein-Westfalen,Q,1970,1970.0,1990.0,,operating,lignite,ST,,no,no,278.0,310.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.37599999999999945,,Norf,220,Amprion GmbH,Frimmersdorf Q,51.05744518,6.577080395,
BNA0318,DE,RhönEnergie Fulda GmbH,Kraftwerk Fulda,36043,Fulda,,Hessen,,2011,2011.0,,,operating,oil,ST,,no,no,24.8,,,,,0.3971,,,20,OsthessenNetz GmbH,,50.566359999999996,9.68614,
BNA0324,DE,VERBUND-Innkraftwerke GmbH,Gars,83536,Gars,Agg 4,Bayern,,1938,1938.0,,,operating,run_of_river,ROR,,no,no,25.0,,,,,,,UW Gars,110,Bayernwerk AG,,48.15395,12.311069999999999,
BNA0327,DE,Vattenfall Europe Generation AG,Geesthacht,21502,Geesthacht,Elbuferstr. 49,Schleswig-Holstein,PSS A,1958,1958.0,,,operating,pumped_storage,PSP,,no,no,119.1,120.0,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,,,Bergedorf,110,Stromnetz Hamburg GmbH,Geesthacht A-C / Elbe,53.42605,10.3359,
BNA0328,DE,Vattenfall Europe Generation AG,Geesthacht,21502,Geesthacht,Elbuferstr. 49,Schleswig-Holstein,PSS B,1958,1958.0,,,operating,pumped_storage,PSP,,no,no,,,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,,,Bergedorf,110,Stromnetz Hamburg GmbH,Geesthacht A-C / Elbe,53.42605,10.3359,
BNA0329,DE,Vattenfall Europe Generation AG,Geesthacht,21502,Geesthacht,Elbuferstr. 49,Schleswig-Holstein,PSS C,1958,1958.0,,,operating,pumped_storage,PSP,,no,no,,,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,,,Bergedorf,110,Stromnetz Hamburg GmbH,Geesthacht A-C / Elbe,53.42605,10.3359,
BNA0331,DE,E.ON Kraftwerke GmbH,Scholven,45896,Gelsenkirchen,,Nordrhein-Westfalen,C,1969,1969.0,,,operating,coal,ST,,no,yes,345.0,370.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.34750000000000014,,Scholven,220,Amprion GmbH,Gelsenkirchen-Scholven C,51.60236802,7.009894096,
BNA0332,DE,E.ON Kraftwerke GmbH,Scholven,45896,Gelsenkirchen,,Nordrhein-Westfalen,B,1968,1968.0,,,operating,coal,ST,,no,yes,345.0,370.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.34499999999999975,,Scholven,220,Amprion GmbH,Gelsenkirchen-Scholven B,51.60236802,7.009894096,
BNA0333,DE,E.ON Kraftwerke GmbH,Scholven,45896,Gelsenkirchen,,Nordrhein-Westfalen,D,1970,1970.0,,2014.0,shutdown,coal,ST,,no,yes,345.0,,,,,0.34999999999999964,,Scholven,220,Amprion GmbH,,51.60236802,7.009894096,
BNA0334,DE,E.ON Kraftwerke GmbH,Scholven,45896,Gelsenkirchen,,Nordrhein-Westfalen,E,1971,1971.0,,2014.0,shutdown,coal,ST,,no,yes,345.0,,,,,0.35250000000000004,,Scholven,220,Amprion GmbH,,51.60236802,7.009894096,
BNA0335,DE,E.ON Kraftwerke GmbH,Scholven,45896,Gelsenkirchen,,Nordrhein-Westfalen,F,1979,1979.0,,2014.0,shutdown,coal,ST,,no,no,676.0,,,,,0.3724999999999996,,Scholven,380,Amprion GmbH,,51.60236802,7.009894096,
BNA0336,DE,E.ON Kraftwerke GmbH,FWK Buer,45896,Gelsenkirchen,,Nordrhein-Westfalen,,1985,1985.0,,,operating,coal,ST,,no,yes,70.0,,,,,0.3875000000000002,,Scholven,35,Amprion GmbH,,51.596959999999996,7.004519999999999,
BNA0337,DE,Donau-Wasserkraft AG,PSW Langenprozelten,97737,Gemünden,,Bayern,entfällt,1974,1974.0,,,operating,pumped_storage,PSP,,no,no,164.0,168.4,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,,,loco Kraftwerk,110,DB Energie GmbH (110 kV Anschluß in das Netz der DB und 20 kV Anschluß an E.ON Bayern für den Eigenbedarf),Langenprozelten / Main,50.053129999999996,9.58137,
BNA0343,DE,Energieversorgung Gera GmbH,Heizkraftwerk Gera-Nord,07546,Gera,Siemensstraße 45,Thüringen,,1996,1996.0,,,operating,gas,ST,,no,yes,74.0,,,,,0.38060000000000027,,,110,GeraNetz GmbH ,,50.9076,12.06102,
BNA0347,DE,Biomasse Heizkraftwerk Herbrechtingen GmbH,,89537,Giengen,,Baden-Württemberg,,2004,2004.0,,,operating,biomass,ST,,yes,,15.7,,,,,0.38,,,HS,Netze BW GmbH,,48.62833,10.20078,
BNA0350,DE,Vattenfall Europe Generation AG,Goldisthal,98746,Goldisthal,Am Rotseifenbach,Thüringen,PSS A,2004,2004.0,,,operating,pumped_storage,PSP,,no,no,1052.0,265.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.8,,https://www.vde.com/de/fg/ETG/Archiv/Aktuelles/Seiten/Goldisthal.aspx,Altenfeld,380,50 Hertz Transmission GmbH,Goldisthal A / Schwarzatal,50.50975864,11.02087498,
BNA0351,DE,Vattenfall Europe Generation AG,Goldisthal,98746,Goldisthal,Am Rotseifenbach,Thüringen,PSS B,2003,2003.0,,,operating,pumped_storage,PSP,,no,no,,265.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,,,Altenfeld,380,50 Hertz Transmission GmbH,Goldisthal B / Schwarzatal,50.50975864,11.02087498,
BNA0352,DE,Vattenfall Europe Generation AG,Goldisthal,98746,Goldisthal,Am Rotseifenbach,Thüringen,PSS C,2004,2004.0,,,operating,pumped_storage,PSP,,no,no,,265.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,,,Altenfeld,380,50 Hertz Transmission GmbH,Goldisthal C / Schwarzatal,50.50975864,11.02087498,
BNA0353,DE,Vattenfall Europe Generation AG,Goldisthal,98746,Goldisthal,Am Rotseifenbach,Thüringen,PSS D,2004,2004.0,,,operating,pumped_storage,PSP,,no,no,,265.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,,,Altenfeld,380,50 Hertz Transmission GmbH,Goldisthal D / Schwarzatal,50.50975864,11.02087498,
BNA0354,DE,Georg-August-Universität Göttingen Stiftung Öffentlichen Rechts,HKW Göttingen,37075,Göttingen,Rudolf-Diesel-Straße 1,Niedersachsen,,1998,1998.0,,,operating,gas,ST,,no,yes,18.8,,,,,0.38280000000000003,,DE0003303707310300000000001902150,20,EnergieNetz Mitte GmbH ,,51.55337,9.93374,
BNA0355,DE,E.ON Kernkraft GmbH,Grafenrheinfeld,97506,Grafenrheinfeld,,Bayern,KKG,1982,1982.0,,2015.0,shutdown,uranium,ST,,no,no,1275.0,,,,,0.33,,Grafenrheinfeld,380,TenneT TSO GmbH ,,49.984424,10.181753,
BNA0360,DE,Energieerzeugungsgesellschaft Greifswald GmbH,"HKW ""Helmshäger Berg""",17489,Greifswald,,Mecklenburg-Vorpommern,Gasturbine,1996,1996.0,,,operating,gas,GT,,no,yes,14.7,,,,,0.36959999999999926,,MSA HKW,20,Stromversorgung Greifswald GmbH,,54.07039,13.39886,
BNA0361,DE,KGW - Kraftwerk Grenzach-Wyhlen GmbH,Kraftwerk Grenzach-Wyhlen,79639,Grenzach-Wyhlen,,Baden-Württemberg,,2004,2004.0,,,operating,gas,ST,,no,yes,40.0,,,,,0.3894000000000002,,"79639 Grenzach-Wyhlen, Rheinallee, FlSt-Nr. 478/5; US KGW Kraftwerk Grenzach-Wyhlen GmbH",110,ED Netze GmbH,,47.53971,7.706923,
BNA0362,DE,Energiedienst AG,KW Wyhlen,79639,Grenzach-Wyhlen,,Baden-Württemberg,KW Wyhlen,1912,1912.0,,,operating,run_of_river,ROR,,no,no,37.9,,,,,,,Umspannwerk Wyhlen,20,ED Netze GmbH,,47.5523554,7.6580881,
BNA0364,DE,Innwerk AG,Jochenstein,94107,Griesbach,Am Kraftwerk 2,Bayern,Jochenstein,1955,1955.0,,,operating,run_of_river,ROR,,no,no,66.0,133.7,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,,,Schaltanlage vor Ort,220,Bayernwerk AG,Jochenstein / Donau,48.5195636,13.7085052,
BNA0369,DE,envia THERM GmbH,Spitzenlastkraftwerk Sermuth,04668,Großbothen,,Sachsen,,1995,1995.0,,,operating,oil,ST,,no,no,17.0,,,,,0.37950000000000017,,UW Sermuth,110,Mitteldeutsche Netzgesellschaft Strom mbH,,51.161367999999996,12.781496,
BNA0373,DE,envia THERM GmbH,Spitzenlastkraftwerk Großkayna,06242,Großkayna,,Sachsen-Anhalt,,1994,1994.0,,,operating,oil,GT,,no,no,120.0,129.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.36439999999999984,,UW Großkayna/neu,110,Mitteldeutsche Netzgesellschaft Strom mbH,Großkayna,51.291920000000005,11.94645,
BNA0374,DE,E.ON Kraftwerke GmbH,Staudinger,63538,Großkrotzenburg,,Hessen,4,1977,1977.0,,,reserve,gas,ST,,no,no,622.0,637.6,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.35970000000000013,,Großkrotzenburg,380,TenneT TSO GmbH ,Staudinger 4 (Großkrotzenburg),50.088553000000005,8.953399000000001,
BNA0375,DE,E.ON Kraftwerke GmbH,Staudinger,63538,Großkrotzenburg,,Hessen,1,1965,1965.0,,2013.0,shutdown,coal,ST,,no,yes,249.0,,,,,0.33750000000000036,,Großkrotzenburg,220,TenneT TSO GmbH ,,50.088553000000005,8.953399000000001,
BNA0376,DE,E.ON Kraftwerke GmbH,Staudinger,63538,Großkrotzenburg,,Hessen,3,1970,1970.0,,2012.0,shutdown,coal,ST,,no,no,293.0,,,,,0.34999999999999964,,Großkrotzenburg,380,TenneT TSO GmbH ,,50.088553000000005,8.953399000000001,
BNA0377,DE,E.ON Kraftwerke GmbH,Staudinger,63538,Großkrotzenburg,,Hessen,5,1992,1992.0,,,operating,coal,ST,CHP,no,yes,510.0,553.0,300.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.40500000000000025,,Großkrotzenburg,380,TenneT TSO GmbH ,Staudinger 5 (Großkrotzenburg),50.088553000000005,8.953399000000001,
BNA0378,DE,E.ON Kraftwerke GmbH,Ingolstadt,85098,Großmehring,,Bayern,3,1973,1973.0,,,reserve,oil,ST,,no,yes,386.0,420.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.35530000000000017,,Ingolstadt,220,TenneT TSO GmbH ,Ingolstadt 3 - Großmehring,48.761412,11.503001,
BNA0379,DE,E.ON Kraftwerke GmbH,Ingolstadt,85098,Großmehring,,Bayern,4,1974,1974.0,,,reserve,oil,ST,,no,yes,386.0,420.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.35640000000000027,,Ingolstadt,220,TenneT TSO GmbH ,Ingolstadt 4 - Großmehring,48.761412,11.503001,
BNA0380,DE,EEW Energy from Waste Großräschen GmbH,EEW Großräschen,01983,Großräschen,,Brandenburg,,2008,2008.0,,,operating,waste,ST,,no,yes,23.3,,,,,0.33,,110 kV Schaltanlage,110,Mitteldeutsche Netzgesellschaft Strom mbH,,51.5929,14.0241,
BNA0381,DE,Kernkraftwerk Gundremmingen GmbH (KGG),Kernkraft Gundremmingen ,89355,Gundremmingen,,Bayern,B,1984,1984.0,,,operating,uranium,ST,,no,no,1284.0,1344.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.35,0.33,http://www.kkw-gundremmingen.de/kkw_z.php,Gundelfingen,380,Amprion GmbH,Gundremmingen B (KRB),48.51504,10.401564800000001,
BNA0382,DE,Kernkraftwerk Gundremmingen GmbH (KGG),Kernkraft Gundremmingen ,89355,Gundremmingen,,Bayern,C,1984,1984.0,,,operating,uranium,ST,,no,no,1288.0,1344.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,0.35,0.33,http://www.kkw-gundremmingen.de/kkw_z.php,Gundelfingen,380,Amprion GmbH,Gundremmingen C (KRB),48.51608,10.39822,
BNA0385,DE,Pfleiderer Gütersloh GmbH,KWK Gütersloh,33332,Gütersloh,Stadtring Nordhorn 61,Nordrhein-Westfalen,,2001,2001.0,,,operating,biomass,ST,,yes,yes,12.1,,,,,0.38,,Schaltanlage KWK,10,Netzgesellschaft Gütersloh mbH ,,51.91537,8.400310000000001,
BNA0386,DE,Mohn Media Mohndruck GmbH,Energiezentrum Mohn Media,33334,Gütersloh,Carl Bertelsmann Straße 161,Nordrhein-Westfalen,,1994,1994.0,,,operating,gas,ST,,no,yes,22.0,,,,,0.37840000000000007,,Carl Bertelsmann Straße 161 ,10,Netzgesellschaft Gütersloh mbH ,,51.907326,8.408835,
BNA0388,DE,Mark-E AG,Biomasse-Verstromungs-Anlage,58099,Hagen,,Nordrhein-Westfalen,BVA,2004,2004.0,,,operating,biomass,ST,,yes,yes,20.0,,,,,0.38,,U 101,110,Enervie AssetNetWork GmbH ,,51.411114000000005,7.4916979999999995,
BNA0389,DE,Mark-E AG,Heizkraftwerk Hagen-Kabel,58099,Hagen,,Nordrhein-Westfalen,H4/5,1980,1980.0,2004.0,,operating,gas,CC,,no,yes,230.0,251.0,108.0,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.557999999999998,,U 101 und U 102,110,Enervie AssetNetWork GmbH ,Hagen-Kabel GuD,51.41103,7.49171,
BNA0392a,DE,EVH GmbH,HKW Halle Trotha,06130,Halle,,Sachsen-Anhalt,Block A und B,2005,2005.0,,,operating,gas,ST,,no,yes,97.0,,,,,0.3905000000000003,,UW Halle Dieselstraße,110,Energieversorgung Halle Netz GmbH,,51.480959999999996,11.964269999999999,
BNA0392b,DE,Heizkraftwerk Halle-Trotha GmbH,HKW Halle Trotha,06130,Halle,,Sachsen-Anhalt,GuD,2013,2013.0,,,operating,gas,CC,,no,yes,54.0,,,,0.525,0.5984999999999978,"https://www.google.de/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&ved=0ahUKEwiJ8rrU2qbJAhUF_iwKHSr1ChwQFgg4MAQ&url=http%3A%2F%2Fwww.halle.eu%2Fpush.aspx%3Fs%3Ddownloads%2FNews%2F29628%2Fpi_3_technische_daten.pdf&usg=AFQjCNEeZwy7_KGWV3OQKSVdwycEK9rspg&sig2=hitqR6YF1CTtgFZjp5oT6Q&bvm=bv.108194040,d.bGg&cad=rja",UW Halle Nord,110,Mitteldeutsche Netzgesellschaft Strom mbH,,51.52353,11.94337,
BNA0395,DE,ThyssenKrupp Steel Europe AG,Duisburg Hamborn 3,47166,Hamborn,,Nordrhein-Westfalen,Block 3,1958,1958.0,,,operating,other_non_renewable,ST,,no,yes,60.0,,,,,,,Anschluss im Werksnetz,110,ThyssenKrupp Steel Europe AG,,51.49100000000001,6.7274899999999995,
