PowerWatch ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language
1030828,An Khe - Kanak,Hydro,,,,173,2009,An Khe - Ka Nak Hydro Power Company,Operational,Ba,700,2016,,,,,,,14.014833333333334,108.679575,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/an-khe-kanak-hydropower,,,,,,,,,,,,Vietnam,
1030829,Ia Grai 3,Hydro,,,,7.5,2007,Song Da 4 JSC.,Operational,,40,2016,,,,,,,14.02216388888889,107.64902500000001,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ia-grai-3-hydropower,,,,,,,,,,Ia Kha,,Vietnam,
1030830,Se San 3A,Hydro,,,,108,2007,Se San 3A Hydropower JSC.,Operational,Se San,479,2016,,,,,,,14.106311111111111,107.65767222222223,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/se-san-3a-hydropower,,,,,,,,,,"Ia Khai, Mo Rai",,Vietnam,
1030831,Dinh Binh,Hydro,,,,9.9,2008,Dinh Binh Hydropower JSC,Operational,Kon,45,2016,,,,,,,14.156527777777779,108.77267222222223,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dinh-binh-hydropower,,,,,,,,,,Vinh Hiep,,Vietnam,
1030832,Dak Doa,Hydro,,,,14,2010,Dak Doa Hydropower JSC.,Operational,Ia Krom,56.3,2016,,,,,,,14.184733333333334,108.10635277777777,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-doa-hydropower,,,,,,,,,,Dak so mei,,Vietnam,
1030833,Ry Ninh,Hydro,,,,3.6,,Ry Ninh Hydro Power Enterprise,Operational,,,2016,,,,,,,14.20905,107.81405833333334,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ry-ninh-hydropower,,,,,,,,,,Ia Mo Nong,,Vietnam,
1030834,Se San 3,Hydro,,,,260,2006,Ialy Hydro Power Company (member of EVN),Operational,Se San,221,2016,,,,,,,14.215163888888888,107.72216388888889,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/se-san-3-hydropower,,,,,,,,,,,,Vietnam,
1030835,Ialy,Hydro,,,,720,2002,Ialy Hydro Power Company (member of EVN),Operational,Se San,3680,2016,,,,,,,14.227369444444445,107.82936111111111,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ia-ly-hydropower,,,,,,,,,,Ialy,,Vietnam,
1030836,Vinh Son 5,Hydro,,,,28,2014,Vinh Son Hydropower Investment JSC,Operational,Kon,103,2016,,,,,,,14.361094444444443,108.72030277777777,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/vinh-son-hydropower,,,,,,,,,,Vinh Kim,,Vietnam,
1030837,Vinh Son,Hydro,,,,66,2001,Vinh Son- Song Hinh Hydropower JSC,Operational,Hinh,228.5,2016,,,,,,,14.365630555555555,108.69425,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/vinh-son,,,,,,,,,,Vinh Son,,Vietnam,
1030838,PleiKrong,Hydro,,,,100,2009,Ialy Hydro Power Company ( a member of Vietnam Electricity (EVN)),Operational,"Krong Poko, nhanh thuong luu Se San",417,2016,,,,,,,14.408347222222222,107.86304444444444,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/pleikrong-hydropower,,,,,,,,,,"Sa Binh, Kroong",,Vietnam,
1030839,Dak Po ne 2,Hydro,,,,3.6,2008,"Gia Nghi Co., Ltd",Operational,Dak Po ne,15.78,2016,,,,,,,14.526025,108.29915833333334,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-po-ne-2-hydropower,,,,,,,,,,Dak Pne,,Vietnam,
1030840,Dak Ne,Hydro,,,,8.1,2010,Tan Phat JSC.,Operational,Dak Bla,60,2016,,,,,,,14.528122222222223,108.21905833333334,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-ne-hydropower,,,,,,,,,,"Dak To Lung, Tan Lap",,Vietnam,
1030841,Dak Po Ne,Hydro,,,,15.6,2009,PC 3 Investment JSC.,Operational,Dak Po ne,69.1,2016,,,,,,,14.575849999999999,108.30485,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-po-ne-hydropower,,,,,,,,,,"Mang Canh, Dak Long",,Vietnam,
1030842,Dak Psi 3,Hydro,,,,15,2012,Dak Psi Hydro Power Investment and Development JSC,Operational,Dak Psi,60,2016,,,,,,,14.661252777777777,107.93670833333334,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-psi-3,,,,,,,,,,Dak Ha,,Vietnam,
1030843,Dak Pia,Hydro,,,,2.2,2012,Trung Viet Co. Ltd.,Operational,Dak Pia,11.4,2016,,,,,,,14.665061111111111,108.15926944444445,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-pia-hydropower,,,,,,,,,,Dak Koi,,Vietnam,
1030844,Thuong Kon Tum,Hydro,,,,220,2014,Vinh Son- Song Hinh Hydropower JSC,Operational,Dak Snghe,1094,2016,,,,,,,14.694138888888888,108.2298888888889,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/thuong-kon-tum-hydropower,,,,,,,,,,"Dak Koi, Dak Long, Ngoc Tem, Mang Canh, Dak Tang",,Vietnam,
1030845,Kon Dao,Hydro,,,,1,1984,,Operational,Dak To Kan,,2016,,,,,,,14.69675,107.8258361111111,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/kon-dao-hydropower,,,,,,,,,,Dak Koi,,Vietnam,
1030846,Dak Ro Sa 2,Hydro,,,,2.4,2012,Dak Ro Sa Hydropower JSC,Operational,Dak To Kan,,2016,,,,,,,14.71346111111111,107.821075,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-ro-sa-2-hydropower,,,,,,,,,,Ngoc Tu,,Vietnam,
1030847,Dak Ro Sa,Hydro,,,,7.5,2007,Mien Trung Construction Corporation,Operational,Dak To Kan,143,2016,,,,,,,14.747277777777777,107.83580833333333,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-ro-sa-hydropower,,,,,,,,,,"Dak Tram, Ngoc Tu",,Vietnam,
1030848,Dak Psi 4,Hydro,,,,30,2010,Dak Psi Hydro Power Investment and Development JSC,Operational,Dak Psi,115,2016,,,,,,,14.768441666666668,108.00273333333334,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-psi-4-hydropower,,,,,,,,,,Dak Ha,,Vietnam,
1030849,Dak Lay,Hydro,,,,3.2,2015,"Dak Lay Hydropower Co., Ltd",Operational,Dak Lay,13,2016,,,,,,,14.7979,108.007375,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-lay-hydropower,,,,,,,,,,Ngoc Lay,,Vietnam,
1030850,DakDrinh,Hydro,,,,125,2014,Dak Drinh Hydro Power JSC. (PV Power),Operational,Dak Drinh,520,2016,,,,,,,14.978447222222222,108.30131388888888,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-drinh-hydropower,,,,,,,,,,"Son Tan, Son Mua, Son Dung,Son Lien, Dak Nen, Dak Ring",,Vietnam,
1030851,Nuoc Trong,Hydro,,,,16.5,2012,Nuoc Trong Hydropower JSC,Operational,Rin,70,2016,,,,,,,15.080886111111111,108.41175555555556,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nuoc-trong-hydropower,,,,,,,,,,"Son Bao, Tra Tho",,Vietnam,
1030852,Ta Vi,Hydro,,,,3,2011,Manh Nam Pressure Mechanical JSC,Operational,,10,2016,,,,,,,15.262430555555556,108.14664444444445,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ta-vi-hydropower,,,,,,,,,,Tra Giac,,Vietnam,
1030853,Song Tranh 2,Hydro,,,,190,2010,Vietnam Electricity (EVN),Operational,Thu Bon,680,2016,,,,,,,15.331213888888888,108.14778055555556,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-tranh-2-hydropower,,,,,,,,,,"Tra Doc, Tra Tan",,Vietnam,
1030854,Song Tranh 3,Hydro,,,,62,2013,Song Tranh 3 Hydro Power JSC,Operational,Thu Bon,230,2016,,,,,,,15.444313888888889,108.14300555555556,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-tranh-3-hydropower,,,,,,,,,,"Phuoc Gia, Tien Lãnh",,Vietnam,
1030855,Dak Mi 4,Hydro,,,,190,2012,Viet Nam Urban and Idustrial Zone Investing Developing Corporation,Operational,Dak Mi,752,2016,,,,,,,15.45898611111111,107.91235833333334,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-mi-4-hydropower,,,,,,,,,,Phuoc Xuan,,Vietnam,
1030856,Dak Mi 4C,Hydro,,,,18,2012,Viet Nam Urban and Idustrial Zone Investing Developing Corporation,Operational,Dak Mi,69,2016,,,,,,,15.464152777777777,107.92901388888889,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/dak-mi-4c-hydropower,,,,,,,,,,Phuoc Hoa,,Vietnam,
1030857,Song Bung 4,Hydro,,,,156,2015,Vietnam Electricity (EVN),Operational,Bung,586,2016,,,,,,,15.725833333333334,107.65117500000001,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-bung-4-hydropower,,,,,,,,,,"Ta Bhing, ZuoiH",,Vietnam,
1030858,Song Bung 4A,Hydro,,,,49,2012,Phu Thanh My JSC.,Operational,Bung,199,2016,,,,,,,15.764647222222223,107.6801638888889,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-bung-4a-hydropower,,,,,,,,,,"Thanh My, Ma Cooih",,Vietnam,
1030859,A Vuong,Hydro,,,,210,2008,A Vuong Hydro Power JSC,Operational,A Vuong,815,2016,,,,,,,15.799811111111111,107.61709166666667,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/a-vuong-hydropower,,,,,,,,,,Ma Cooih,,Vietnam,
1030860,Song Bung 5,Hydro,,,,57,2013,Power Engineering Consulting JSC.,Operational,Bung,225,2016,,,,,,,15.807652777777779,107.74715277777779,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-bung-5-hydropower,,,,,,,,,,Thanh My,,Vietnam,
1030861,Song Bung 6,Hydro,,,,29,2012,Bung River Hydro Power JSC,Operational,Bung,121,2016,,,,,,,15.818624999999999,107.77873611111112,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-bung-6-hydropower,,,,,,,,,,"Ma CooiH, Thanh My",,Vietnam,
1030862,ZaHung,Hydro,,,,30,2009,Za Hungt JSC.,Operational,A Vuong,122.7,2016,,,,,,,15.860025,107.65383055555556,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/za-hung-hydropower,,,,,,,,,,Za Hung,,Vietnam,
1030863,Song Con 2,Hydro,,,,63,2009,Geruco Song Con Hydropower JSC,Operational,Con,209,2016,,,,,,,15.933172222222222,107.80811944444444,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-con-2-hydropower,,,,,,,,,,"Song Con, Jo Ngay, A Ting, Ca Dang",,Vietnam,
1030864,A Luoi,Hydro,,,,170,2012,Central Hydro Power JSC,Operational,A Sap,690,2016,,,,,,,16.22663611111111,107.27276944444445,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/a-luoi-hydropower,,,,,,,,,,Hong Ha,,Vietnam,
1030865,Ta Trach,Hydro,,,,21,2013,Bitexco Group,Operational,Ta Trach,85,2016,,,,,,,16.31645277777778,107.63744722222224,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ta-trach-hydropower,,,,,,,,,,Duong Hoa,,Vietnam,
1030866,Binh Dien,Hydro,,,,44,2009,Binh Dien Hydro Power JSC,Operational,Huu Trach,181,2016,,,,,,,16.317241666666668,107.50276666666667,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/binh-dien-hydropower,,,,,,,,,,Binh Dien,,Vietnam,
1030867,Huong Dien,Hydro,,,,81,2010,HD Investment JSC,Operational,Bo,300,2016,,,,,,,16.460069444444443,107.42334166666667,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/huong-dien-hydropower,,,,,,,,,,Huong Van,,Vietnam,
1030868,Khe Ron,Hydro,,,,6,2009,Truong Thinh Group JSC.,Operational,,21,2016,,,,,,,17.91683888888889,105.97061111111111,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/khe-ron-hydropower,,,,,,,,,,Le Hoa,,Vietnam,
1030869,Ho Ho,Hydro,,,,14,2010,Nothern 1 Electricity Investment and Development JSC,Operational,Ngan Sau,55,2016,,,,,,,18.046366666666668,105.83341388888888,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ho-ho-hydropower,,,,,,,,,,"Tan Duc, Huong Lien, Huong Trach",,Vietnam,
1030870,Ke Go,Hydro,,,,2.3,1988,Ke Go Hydropower JSC,Operational,,,2016,,,,,,,18.19525,105.92803333333333,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ke-go-hydropower,,,,,,,,,,Cam My,,Vietnam,
1030871,Huong Son,Hydro,,,,33,2012,Huong Son Hydropower JSC,Operational,Nam Sot,143,2016,,,,,,,18.446022222222222,105.15127500000001,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/huong-son-hydropower,,,,,,,,,,Son Kim 1,,Vietnam,
1030872,Ban Ve,Hydro,,,,320,2010,Vietnam Electricity (EVN),Operational,Nam Non,1084,2016,,,,,,,19.340427777777776,104.48734722222223,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ban-ve-hydropower,,,,,,,,,,Yen Na,,Vietnam,
1030873,Nam Mo,Hydro,,,,18,2013,Nghe An Energy Development Corporation JSC,Operational,Ca,65,2016,,,,,,,19.414225,104.11232222222222,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-mo-hydropower,,,,,,,,,,Ta Ca,,Vietnam,
1030874,Nam Pong,Hydro,,,,32,2014,Za Hungt JSC.,Operational,Nam Pong,130,2016,,,,,,,19.518444444444444,105.03770833333333,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-pong-hydropower,,,,,,,,,,Chau Hanh Chau Phong,,Vietnam,
1030875,Ban Coc,Hydro,,,,18,2009,Que Phong Hydropower JSC,Operational,Nam Giai,80,2016,,,,,,,19.605330555555557,104.85898055555555,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ban-coc-hydropower,,,,,,,,,,Chau Kim,,Vietnam,
1030876,Song Muc,Hydro,,,,2,2008,"Song Muc Co.,Ltd",Operational,Muc,7,2016,,,,,,,19.610644444444446,105.54163333333334,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/song-muc-hydropower,,,,,,,,,,Hai Van,,Vietnam,
1030877,Sao Va,Hydro,,,,3,2010,Que Phong Hydropower JSC,Operational,Nam Viec,13.45,2016,,,,,,,19.660474999999998,104.93861944444444,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/sao-va-hydropower,,,,,,,,,,Hanh Dich,,Vietnam,
1030878,Hua Na,Hydro,,,,180,2013,Hua Na Hydropower JSC,Operational,Chu,717,2016,,,,,,,19.838130555555555,105.08458055555555,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/hua-na-hydropower,,,,,,,,,,"Dong Van, Thong Thu",,Vietnam,
1030879,Cua Dat,Hydro,,,,97,2010,Vinaconex P&C JSC.,Operational,Chu,430,2016,,,,,,,19.87818888888889,105.27312222222223,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/cua-dat-hydropower,,,,,,,,,,Xuan My,,Vietnam,
1030880,Ba Thuoc 2,Hydro,,,,80,2012,Hoang Anh Hydropower JSC,Operational,Ma,400,2016,,,,,,,20.321044444444443,105.32813055555555,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ba-thuoc-2-hydropower,,,,,,,,,,Dien Lu,,Vietnam,
1030881,Hoa Binh,Hydro,,,,1920,1988,Vietnam Electricity (EVN),Operational,Da,8160,2016,,,,,,,20.808208333333333,105.32327777777778,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/hoa-binh-hydropower,,,,,,,,,,Hoa Binh,,Vietnam,
1030882,Ta Niet,Hydro,,,,3.6,2014,Ta Niet Hydro Power JSC,Operational,Nam Sap,18,2016,,,,,,,20.89442222222222,104.52285,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ta-niet-hydropower,,,,,,,,,,Chieng Hac,,Vietnam,
1030883,Sap Viet,Hydro,,,,21,,Sap Viet Hydro Power JSC,Operational,Sap,84,2016,,,,,,,21.031533333333332,104.21383611111112,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/sap-viet-hydropower,,,,,,,,,,Sap Vat,,Vietnam,
1030884,Suoi Sap 3,Hydro,,,,14,2011,Bac Minh Development Investment JSC.,Operational,Sap,50.5,2016,,,,,,,21.223480555555554,104.49542777777778,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/suoi-sap-3-hydropower,,,,,,,,,,"Suoi Bau, Phieng Ban",,Vietnam,
1030885,Hang Dong A1,Hydro,,,,8.4,2012,Xuan Thien Trading Construction Investment and Development Co,Operational,Sap,,2016,,,,,,,21.265794444444445,104.54070277777778,,Open Development Vietnam,,,,,,,,,,,Hang Dong,,Vietnam,
1030886,Nam Mo 3,Hydro,,,,10,2009,Nam Mo Hydro Power JSC,Operational,Nam Mở,40,2016,,,,,,,21.319777777777777,104.30215277777778,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-mo-3-hydropower,,,,,,,,,,Khoen On,,Vietnam,
1030887,Nam Luc,Hydro,,,,24,,South East Asia Corporation,Operational,,100,2016,,,,,,,21.34121111111111,104.3498,,Open Development Vietnam,,,,,,,,,,,Nam Luc,,Vietnam,
1030888,Xim Vang 2,Hydro,,,,6.6,,Xim Vang Hydro Power JSC,Operational,,68,2016,,,,,,,21.34121111111111,104.3498,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/xim-vang-2-hydropower,,,,,,,,,,"Xim Vang, Chim Van, Lang Chieu",,Vietnam,
1030889,Nam Si Luong,Hydro,,,,0.5,2002,Song Da 7 JSC,Operational,,,2016,,,,,,,21.34121111111111,104.3498,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-si-luong-hydropower,,,,,,,,,,,,Vietnam,
1030890,Nam Hoa 1,Hydro,,,,18,2015,ANPHA Hydro Power JSC,Operational,Nam Hua,70,2016,,,,,,,21.35565,103.40759722222222,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-hoa-1-hydropower,,,,,,,,,,Muong Bam,,Vietnam,
1030891,Suoi Lum 1,Hydro,,,,20,2013,Nam Lum Hydro Power JSC.,Operational,Lum,80,2016,,,,,,,21.3884,104.23103888888889,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/suoi-lum-1-hydropower,,,,,,,,,,"Pac Nga, Hang chu",,Vietnam,
1030892,Nam La,Hydro,,,,32,2011,Noth West VIWASWEEN Hydro Power JSC.,Operational,Nam La,127.5,2016,,,,,,,21.404925,103.98364166666667,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-la-hydropower,,,,,,,,,,"Muong Bu, Chieng Xom",,Vietnam,
1030893,Nam Pia,Hydro,,,,15,2009,"Lam Son Construction & Commerce Co., Ltd",Operational,Nam Pia,61,2016,,,,,,,21.445197222222223,104.1691,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-pia-hydropower,,,,,,,,,,"Chieng Hoa, Chieng Cong",,Vietnam,
1030894,Chieng Cong 2,Hydro,,,,8,,"Lam Son Construction & Trading Co., Ltd",Operational,Pia,,2016,,,,,,,21.457177777777776,104.21036666666667,,Open Development Vietnam,,,,,,,,,,,,,Vietnam,
1030895,Thac Trang,Hydro,,,,6,2006,Song Da 11 JSC,Operational,Nam Ron,22,2016,,,,,,,21.457977777777778,103.0782,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/thac-trang-hydropower,,,,,,,,,,Na Nhan,,Vietnam,
1030896,Chieng Cong 1,Hydro,,,,4,,"Lam Son Construction & Trading Co., Ltd",Operational,Pia,,2016,,,,,,,21.470655555555552,104.18516944444445,,Open Development Vietnam,,,,,,,,,,,,,Vietnam,
1030897,Pa Chien,Hydro,,,,22,2013,Pa Chien Hydro Power JSC.,Operational,Chien,82,2016,,,,,,,21.476038888888887,104.04027222222221,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/pa-chien-hydropower,,,,,,,,,,Chieng San,,Vietnam,
1030898,Na Loi,Hydro,,,,9.3,2003,Na Loi Hydropower JSC,Operational,Nam Ron,46.3,2016,,,,,,,21.468674999999998,103.058425,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/na-loi-hydropower,,,,,,,,,,Thanh Minh,,Vietnam,
1030899,Son La,Hydro,,,,"2,400",2012,Vietnam Electricity (EVN),Operational,Da,9429,2016,,,,,,,21.497055555555555,103.99603333333333,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/son-la-hydropower,,,,,,,,,,It Ong,,Vietnam,
1030900,Nam Chien 2,Hydro,,,,32,2009,North - West Electricity Investment & Development JSC.,Operational,Chien,132,2016,,,,,,,21.500127777777777,104.09083333333332,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-chien-2,,,,,,,,,,Chieng San,,Vietnam,
1030901,Hat Liu,Hydro,,,,5,2014,Yen Bai Electricity Investment and Developmet JSC.(FDI),Operational,,,2016,,,,,,,21.506727777777776,104.36219444444444,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/hat-liu-hydropower,,,,,,,,,,Hat Liu,,Vietnam,
1030902,Cam Son,Hydro,,,,4.5,1973,Cam Son Hydro Power JSC.,Operational,Hoa,,2016,,,,,,,21.54376388888889,106.51049166666667,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/cam-son-hydropower,,,,,,,,,,Hoa Lac,,Vietnam,
1030903,Ho Nui Coc,Hydro,,,,1.89,2009,Nui Coc Lake Hydropower JSC.,Operational,,8,2016,,,,,,,21.556508333333333,105.73001944444445,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ho-nui-coc-hydropower,,,,,,,,,,Phuc Triu,,Vietnam,
1030904,Nam Khot,Hydro,,,,14,2011,Nam Khot Hydropower JSC.,Operational,Nam Khot,56,2016,,,,,,,21.631508333333333,104.17176388888889,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-khot-hydropower,,,,,,,,,,Ngoc Chien,,Vietnam,
1030905,Huoi Quang,Hydro,,,,520,2015,Vietnam Electricity (EVN),Operational,Nam Mu,1904,2016,,,,,,,21.69646388888889,103.87760277777777,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/huoi-quang-hydropower,,,,,,,,,,"Khoen On, Chieng Lao",,Vietnam,
1030906,Thac Ba,Hydro,,,,120,1971,Thac Ba Hydropower JSC.,Operational,Chay,400,2016,,,,,,,21.74706388888889,105.02325833333333,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/thac-ba-hydropower,,,,,,,,,,"Thac Ba, Yen Binh",,Vietnam,
1030907,Ngoi Hut 2,Hydro,,,,48,2014,Truong Thanh Investment Construction and Development JSC,Operational,Ngoi Hut,209,2016,,,,,,,21.793847222222222,104.332375,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ngoi-hut-2-hydropower,,,,,,,,,,"Nam Co, Tu Le, Phong Du Thuong",,Vietnam,
1030908,Nam Muc,Hydro,,,,44,2014,Nam Muc Hydro Power JSC,Operational,Nam Muc,176,2016,,,,,,,21.798080555555558,103.29349444444445,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-muc-hydropower,,,,,,,,,,"Muong Mun, Pa Ham",,Vietnam,
1030909,Ngoi Hut 1,Hydro,,,,8.4,2011,Song Hong Joint Stock Corporation,Operational,Ngoi Hut,36,2016,,,,,,,21.809255555555556,104.43606944444444,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ngoi-hut-1-hydropower,,,,,,,,,,Phong Du Thuong,,Vietnam,
1030910,Ban Chat,Hydro,,,,220,2013,Vietnam Electricity (EVN),Operational,Nam Mu,770,2016,,,,,,,21.861172222222223,103.82858888888889,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ban-chat-hydropower,,,,,,,,,,Muong Kim,,Vietnam,
1030911,Muong Kim,Hydro,,,,13.5,2010,Hanoi Electrical Equipment JSC.,Operational,Nam Kim,54,2016,,,,,,,21.871827777777778,103.9062138888889,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/muong-kim-hydropower,,,,,,,,,,Ho Bon,,Vietnam,
1030912,Ho Bon,Hydro,,,,18,2012,Forth Lake Hydropower JSC,Operational,Nam Kim,73,2016,,,,,,,21.877755555555556,103.941975,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/ho-bon-hydropower,,,,,,,,,,Ho Bon,,Vietnam,
1030913,Lai Chau,Hydro,,,,1200,2015,Vietnam Electricity (EVN),Operational,Da,4670,2016,,,,,,,22.137922222222223,102.98385,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/lai-chau-hydropower,,,,,,,,,,Nam Hang,,Vietnam,
1030914,Nam Cat,Hydro,,,,5,,Northern Cement Comercial JSC,Operational,,18,2016,,,,,,,22.137922222222223,102.98385,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam,,,,,,,,,,Hoang Then,,Vietnam,
1030915,Nam Cat,Hydro,,,,3.2,2012,"Bac Kan Hydropower, Petro & Gasoline JSC",Operational,Nam Cat,12,2016,,,,,,,22.201605555555556,105.77756944444444,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-cat-hydropower,,,,,,,,,,Don Phong,,Vietnam,
1030916,Seo Chong Ho,Hydro,,,,22,2013,"Vietnam-China Electricity Investment Co., Ltd",Operational,,100,2016,,,,,,,22.248083333333334,103.89629444444445,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/seo-chong-ho-hydropower,,,,,,,,,,"Ban Ho, Ta Van",,Vietnam,
1030917,Su Pan 2,Hydro,,,,34.5,2011,Song da- Hoang Lien Hydropower JSC.,Operational,Ngoi Bo,165,2016,,,,,,,22.26466111111111,103.96221666666666,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/su-pan-2-hydropower,,,,,,,,,,"Ban Ho, Su Pan",,Vietnam,
1030918,Coc Ly,Hydro,,,,90,2012,Bac Ha Hydropower Company,Operational,Chay,378,2016,,,,,,,22.298508333333334,103.16125555555556,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/coc-ly-hydropower,,,,,,,,,,Coc Ly,,Vietnam,
