Controlling corporation,Facility Name,Type,State,Electricity Production (GJ),Electricity Production (Mwh),Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Total Emissions (t CO2-e),Emission Intensity (t/Mwh),Grid Connected,Grid,Primary Fuel,Important Notes
POWER AND WATER CORPORATION,Ti Tree Generation,F,NT,"9,424","2,618","1,660",0,"1,660",0.63,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Timber Creek Generation,F,NT,"10,699","2,972","2,138",0,"2,138",0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Titjikala (Maryvale),F,NT,"4,254","1,182",810,0,810,0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Umbakumba,F,NT,"9,443","2,623","1,979",0,"1,979",0.75,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Wadeye (Port Keats),F,NT,"34,366","9,546","6,032",0,"6,032",0.63,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Walungurru (Kintore),F,NT,"6,796","1,888","1,353",0,"1,353",0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Warruwi (Goulburn Is),F,NT,"6,719","1,866","1,283",0,"1,283",0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Wilora (Stirling),F,NT,"1,158",322,274,0,274,0.85,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Wirliyatjarrayi (Willowra),F,NT,"3,412",948,654,0,654,0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Yarralin,F,NT,"5,181","1,439",987,0,987,0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Yuendumu,F,NT,"18,780","5,217","3,702",0,"3,702",0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Corporate Total,C,,"470,679","130,744","87,503",0,"847,503"
POWER GENERATION CORPORATION,Channel Island Power Station,F,NT,"3,846,381","1,068,439","589,467",0,"589,467",0.55,On,DKIS,Gas,
POWER GENERATION CORPORATION,Katherine Power Station,F,NT,"40,490","11,247","5,931",0,"5,931",0.53,On,DKIS,Gas,
POWER GENERATION CORPORATION,Kings Canyon,F,NT,"4,338","1,205",862,0,862,0.72,Off,Off-grid,Solar,
POWER GENERATION CORPORATION,Owen Springs Power Station,F,NT,"331,359","92,044","50,416",0,"50,416",0.55,Off,Off-grid,Gas,
POWER GENERATION CORPORATION,Ron Goodin Power Station,F,NT,"319,342","88,706","54,059",0,"54,059",0.61,Off,Off-grid,Gas,
POWER GENERATION CORPORATION,Tennant Creek Power Station,F,NT,"110,408","30,669","20,867",0,"20,867",0.68,Off,Off-grid,Gas,
POWER GENERATION CORPORATION,Weddell Power Station,F,NT,"1,550,009","430,558","243,586",0,"243,586",0.57,On,DKIS,Gas,
POWER GENERATION CORPORATION,Yulara Power Station,F,NT,"82,958","23,044","15,203",0,"15,203",0.66,Off,Off-grid,Gas/Diesel,
POWER GENERATION CORPORATION,Corporate Total,C,,"6,285,285","1,745,912","980,391",0,"980,391"
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,Visy Energy - Coolaroo Co-gen,F,VIC,"55,901","15,528","22,729","11,949","34,678",1.46,On,NEM,Biofuel,
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,Corporate Total,C,,"55,901","15,528","22,729","11,949","34,678"
RATCH - AUSTRALIA CORPORATION LIMITED,Kemerton Power Station,F,WA,"431,232","119,787","77,320","2,504","79,824",0.65,On,SWIS,Gas/Diesel,
RATCH - AUSTRALIA CORPORATION LIMITED,Starfish Hill Wind Farm,F,SA,"326,439","90,678",55,59,114,0.00,On,NEM,Wind,
RATCH - AUSTRALIA CORPORATION LIMITED,Toora Wind Farm,F,VIC,"186,575","51,826",16,238,254,0.00,On,NEM,Wind,
RATCH - AUSTRALIA CORPORATION LIMITED,Townsville Power Station,F,QLD,"629,309","174,808","75,650","2,469","78,119",0.43,On,NEM,Gas,
RATCH - AUSTRALIA CORPORATION LIMITED,Windy Hill Wind Farm,F,QLD,"98,228","27,286",19,16,35,0.00,On,NEM,Wind,
RATCH - AUSTRALIA CORPORATION LIMITED,Corporate Total,C,,"1,671,783","464,384","153,060","5,286","158,346"
REGIONAL POWER CORPORATION,Carnarvon Power Station,F,WA,"160,886","44,691","26,706",0,"26,706",0.60,Off,Off-grid,Gas,
REGIONAL POWER CORPORATION,Horizon Power Aggregated Minor Power Stations,F,WA,"42,816","11,893","8,299",0,"8,299",0.70,Off,Off-grid,Diesel,
REGIONAL POWER CORPORATION,South Hedland Temporary Generation Power Station,F,WA,"292,255","81,182","58,945",0,"58,945",0.73,On,NWIS,Gas,
REGIONAL POWER CORPORATION,Corporate Total,C,,"495,957","137,766","93,950",0,"93,950"
RIO TINTO LIMITED,Paraburdoo Power Station,F,WA,"2,060,232","572,287","308,432",0,"308,432",0.54,On,NWIS,Gas,
RIO TINTO LIMITED,West Angelas Power Station,F,WA,"647,820","179,950","98,197",0,"98,197",0.55,On,NWIS,Gas,
RIO TINTO LIMITED,Yurralyi Maya Power Station,F,WA,"3,404,008","945,558","523,898",0,"523,898",0.55,On,NWIS,Gas,
RIO TINTO LIMITED,Corporate Total,C,,"6,112,060","1,697,794","930,527",0,"930,527"
SANTOS LIMITED,Wilga Park Power Station,F,NSW,"319,619","88,783","47,689",73,"47,762",0.54,On,NEM,Coal Seam Methane,
SANTOS LIMITED,Corporate Total,C,,"319,619","88,783","47,689",73,"47,762"
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED                                                           ,Musselroe Wind Farm Pty Ltd,F,TAS,"1,958,343","543,984",159,"1,747","1,906",0.00,On,NEM,Wind,
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED                                                           ,Woolnorth Bluff point Wind Farm Pty Ltd,F,TAS,"845,275","234,799",84,"1,565","1,649",0.00,On,NEM,Wind,
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED                                                           ,Woolnorth Studland Bay Wind Farm Pty Ltd,F,TAS,"976,551","271,264",85,"1,805","1,890",0.00,On,NEM,Wind,
SHENHUA CLEAN ENERGY HOLDINGS PTY LIMITED                                                           ,Corporate Total,C,,"3,780,169","1,050,047",328,"5,117","5,445"
SNOWTOWN SOUTH WIND FARM PTY. LTD.,SNOWTOWN SOUTH WIND FARM,F,SA,"1,595,739","443,261",104,505,609,0.00,On,NEM,Wind,
SNOWTOWN SOUTH WIND FARM PTY. LTD.,Corporate Total,C,,"1,595,739","443,261",104,505,609
SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,F,SA,"1,254,374","348,437",0,238,238,0.00,On,NEM,Wind,
SNOWTOWN WIND FARM PTY LTD,Corporate Total,C,,"1,254,374","348,437",0,238,238
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,SNOWTOWN WIND FARM STAGE 2,F,SA,"1,608,296","446,749",119,600,719,0.00,On,NEM,Wind,
SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,Corporate Total,C,,"1,608,296","446,749",119,600,719
SNOWY HYDRO LIMITED,Angaston Power Station,F,SA,"19,083","5,301","3,518",371,"3,889",0.66,On,NEM,Liquid Fuel,
SNOWY HYDRO LIMITED,Colongra Power Station,F,NSW,"104,192","28,942","19,025","6,299","25,324",0.66,On,NEM,Gas,
SNOWY HYDRO LIMITED,Laverton North Power Station,F,VIC,"80,753","22,431","18,990","3,227","22,217",0.85,On,NEM,Gas,
SNOWY HYDRO LIMITED,Lonsdale/Port Stanvac Power Station,F,SA,"39,016","10,838","5,911",268,"6,179",0.55,On,NEM,Diesel,
SNOWY HYDRO LIMITED,Snowy Hydro Ltd,F,NSW,"16,667,773","4,629,937","1,309","69,757","71,066",0.00,On,NEM,Hydro,
SNOWY HYDRO LIMITED,Valley Power,F,VIC,"38,440","10,678","8,234","3,246","11,480",0.77,On,NEM,Gas,
SNOWY HYDRO LIMITED,Corporate Total,C,,"16,949,257","4,708,127","56,987","83,168","140,155"
SOLAR FARM INVESTMENTS PTY LTD,Moree Solar Farm ,F,NSW,"122,650","34,069",363,301,664,0.01,On,NEM,Solar,
SOLAR FARM INVESTMENTS PTY LTD,Corporate Total,C,,"122,650","34,069",363,301,664
STANWELL CORPORATION LIMITED,Barron Gorge Power Station,F,QLD,"384,782","106,884",207,779,986,0.00,On,NEM,Hydro,
STANWELL CORPORATION LIMITED,Kareeya Power Station,F,QLD,"1,062,265","295,074",21,"3,212","3,233",0.00,On,NEM,Hydro,
STANWELL CORPORATION LIMITED,Mackay Gas Turbine,F,QLD,"1,160",322,390,1,391,1.21,On,NEM,Diesel,
STANWELL CORPORATION LIMITED,Mica Creek Power Station,F,QLD,"710,016","197,227","98,861",0,"98,861",0.50,On,Mt Isa,Gas,
STANWELL CORPORATION LIMITED,Stanwell Power Station,F,QLD,"32,721,704","9,089,362","7,687,987","8,378","7,696,365",0.85,On,NEM,Black Coal,
STANWELL CORPORATION LIMITED,Tarong Power Stations,F,QLD,"37,432,441","10,397,900","9,060,958","33,457","9,094,415",0.87,On,NEM,Black Coal,
STANWELL CORPORATION LIMITED,Corporate Total,C,,"72,312,368","20,086,769","16,848,424","45,827","16,894,251"
SUNSET POWER INTERNATIONAL PTY LTD,Vales Point Power Station,F,NSW,"14,153,978","3,931,661","3,402,450","36,823","3,439,273",0.87,On,NEM,Black Coal,
SUNSET POWER INTERNATIONAL PTY LTD,Corporate Total,C,,"14,153,978","3,931,661","3,402,450","36,823","3,439,273"
SYNERGEN POWER PTY LIMITED,Dry Creek Power Station,F,SA,"22,309","6,197","7,402",476,"7,878",1.19,On,NEM,Gas,
SYNERGEN POWER PTY LIMITED,Mintaro Power Station,F,SA,"46,992","13,053","11,027",140,"11,167",0.84,On,NEM,Gas,
SYNERGEN POWER PTY LIMITED,Port Lincoln Power Station,F,SA,"1,769",491,805,242,"1,047",1.64,On,NEM,Diesel,
SYNERGEN POWER PTY LIMITED,Snuggery Power Station,F,SA,"3,549",986,"1,125",560,"1,685",1.14,On,NEM,Diesel,
SYNERGEN POWER PTY LIMITED,Corporate Total,C,,"74,619","20,727","20,359","1,418","21,777"
TASMANIAN IRRIGATION PTY LTD,Midlands Power Station,F,TAS,"125,687","34,913",0,0,0,0.00,On,NEM,Hydro,
TASMANIAN IRRIGATION PTY LTD,Corporate Total,C,,"125,687","34,913",0,0,0
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,F,WA,"780,449","216,791","124,167",0,"124,167",0.57,On,SWIS,Gas,
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,F,WA,"836,830","232,453","132,050",0,"132,050",0.57,On,SWIS,Gas,
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,F,WA,"1,065,136","295,871","165,110",0,"165,110",0.56,Off,Off-grid,Gas/Diesel,
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,F,WA,"1,220,153","338,931","193,130",0,"193,130",0.57,Off,Off-grid,Gas,
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Solomon Power Station,F,WA,"949,506","263,752","203,274",0,"203,274",0.77,Off,Off-grid,Gas/Diesel,
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,,"4,852,074","1,347,798","817,731",0,"817,731"
WATER CORPORATION,Cocos Keeling Islands - Home Island Generation,F,WA,"9,249","2,569","1,827",0,"1,827",0.71,Off,Off-grid,Liquid Fuel,
WATER CORPORATION,Cocos Keeling Islands - West Island Generation,F,WA,"4,765","1,324","1,031",0,"1,031",0.78,Off,Off-grid,Liquid Fuel,
WATER CORPORATION,Corporate Total,C,,"14,014","3,893","2,858",0,"2,858"
Grand Total "824,932,962","229,148,045","180,923,628","1,591,770","183,275,398"
Grid Connected Total"813,211,033","225,891,954","179,099,614","1,591,737","180,691,351"
