Reporting Entity ,Facility Name,Type,State,Electricity Production (GJ),Electricity Production (Mwh),Scope 1 (t CO2-e),Scope 2 (t CO2-e),Total Emissions (t CO2-e),Emission  Intensity (t/Mwh),Grid Connected,Grid,Primary Fuel,Important Notes
ENERGYAUSTRALIA HOLDINGS LIMITED,Cathedral Rocks Wind Farm,F,SA,620421,172339,65,128,193,0.00,On,NEM,Wind,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Hallett Power Station,F,SA,80235,22288,23349,2735,26084,1.05,On,NEM,Gas/Diesel,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Mt Piper Power Station,F,NSW,22617530,6282647,5432906,35153,5468059,0.86,On,NEM,Black Coal,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Tallawarra Power Station,F,NSW,7496610,2082392,758611,2381,760992,0.36,On,NEM,Gas,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Waterloo Wind Farm,F,SA,1063581,295439,66,226,292,0.00,On,NEM,Wind,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Yallourn Power Station,F,VIC,40512852,11253570,14318960,301769,14620729,1.27,On,NEM,Brown Coal,N/A
ENERGYAUSTRALIA HOLDINGS LIMITED,Corporate Total,C,N/A,72391229,20108675,20533957,342392,20876349,,N/A,N/A,N/A,N/A
ERM POWER LIMITED,Newgen Neerabup Power Station,F,WA,449321,124811,75996,3033,79029,0.61,On,SWIS,Gas,N/A
ERM POWER LIMITED,Oakey Power Station,F,QLD,1796909,499141,311168,1956,313124,0.62,On,NEM,Gas,N/A
ERM POWER LIMITED,Corporate Total,C,N/A,2246230,623953,387164,4989,392153,,N/A,N/A,N/A,N/A
ESPERANCE POWER STATION PTY LTD,Esperance Power Station,F,WA,271834,75509,58134,0,58134,0.77,Off,Off-grid,Gas/Diesel,N/A
ESPERANCE POWER STATION PTY LTD,Corporate Total,C,N/A,271834,75509,58134,0,58134,,N/A,N/A,N/A,N/A
ESSENTIAL ENERGY,Essential Energy Generation Facilities,FA,NSW,1795,499,692,183,875,1.39,On,NEM,Multiple sources,N/A
ESSENTIAL ENERGY,Corporate Total,C,N/A,1795,499,692,183,875,,N/A,N/A,N/A,N/A
FPC 30 LIMITED,FPC Green Energy,F,QLD,355463,98740,3769,1645,5414,0.04,On,NEM,Biofuel,N/A
FPC 30 LIMITED,Corporate Total,C,N/A,355463,98740,3769,1645,5414,,N/A,N/A,N/A,N/A
GOLDFIELDS POWER PTY LTD,Parkeston Power Station,F,WA,814460,226239,134782,0,134782,0.60,On,SWIS,Gas/Diesel,N/A
GOLDFIELDS POWER PTY LTD,Corporate Total,C,N/A,814460,226239,134782,0,134782,,N/A,N/A,N/A,N/A
GSP ENERGY PTY LTD,Blayney Wind Farm,F,NSW,72296,20082,0,49,49,0.00,On,NEM,Wind,N/A
GSP ENERGY PTY LTD,Burrinjuck Power Station,F,NSW,305092,84748,0,105,105,0.00,On,NEM,Hydro,N/A
GSP ENERGY PTY LTD,Crookwell Wind Farm,F,NSW,28521,7923,0,33,33,0.00,On,NEM,Wind,N/A
GSP ENERGY PTY LTD,Hume Power Station,F,NSW,755051,209736,0,298,298,0.00,On,NEM,Hydro,N/A
GSP ENERGY PTY LTD,Keepit Power Station,F,NSW,10253,2848,0,0,0,0.00,On,NEM,Hydro,N/A
GSP ENERGY PTY LTD,Corporate Total,C,N/A,1171213,325337,0,485,485,,N/A,N/A,N/A,N/A
HRL LIMITED,Energy Brix Australia Corporation,F,VIC,150097,41694,100703,18935,119638,2.42,On,NEM,Brown Coal,N/A
HRL LIMITED,Corporate Total,C,N/A,150097,41694,100703,18935,119638,,N/A,N/A,N/A,N/A
HYDRO POWER PTY. LIMITED,Wyangala A,F,NSW,138482,38467,0,0,0,0.00,On,NEM,Hydro,N/A
HYDRO POWER PTY. LIMITED,Corporate Total,C,N/A,138482,38467,0,0,0,,N/A,N/A,N/A,N/A
HYDRO-ELECTRIC CORPORATION,Bastyan Hydro Power Station,F,TAS,1289717,358255,0,221,221,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Butlers Gorge Hydro Power Station,F,TAS,330501,91806,0,0,0,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Catagunya Hydro Power Station,F,TAS,781824,217173,0,22,22,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Cethana Hydro Power Station,F,TAS,870760,241878,0,98,98,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Cluny Hydro Power Station,F,TAS,293141,81428,0,9,9,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Devils Gate Hydro Power Station,F,TAS,942101,261695,0,27,27,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Fisher Hydro Power Station,F,TAS,460680,127967,0,3,3,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Flinders Island Power Station,F,TAS,13110,3642,2457,4,2461,0.67,Off,Off-grid,Wind/Diesel,N/A
HYDRO-ELECTRIC CORPORATION,Gordon Hydro Power Station,F,TAS,3822412,1061781,0,114,114,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,John Butters Hydro Power Station,F,TAS,1766518,490699,0,631,631,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,King Island Power Station,F,TAS,45436,12621,5037,4,5041,0.40,Off,Off-grid,Wind/Diesel,N/A
HYDRO-ELECTRIC CORPORATION,Lake Echo Hydro Power Station,F,TAS,120795,33554,0,21,21,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Lake Margaret Lower Hydro Power station,F,TAS,20435,5676,0,3,3,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Lake Margaret Upper Hydro Power Station,F,TAS,170131,47259,0,1,1,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Lemonthyme Hydro Power Station,F,TAS,926469,257353,0,55,55,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Liapootah Hydro Power Station,F,TAS,1491643,414345,0,467,467,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Mackintosh Hydro Power Station,F,TAS,1227923,341090,0,776,776,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Meadowbank Hydro Power Station,F,TAS,158933,44148,0,56,56,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Paloona Hydro Power Station,F,TAS,335083,93079,0,45,45,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Parangana Hydro Power Station,F,TAS,15066,4185,0,0,0,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Poatina Hydro Power Station,F,TAS,3798355,1055099,0,1994,1994,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Reece Hydro Power Station,F,TAS,3295055,915293,0,1976,1976,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Repulse Hydro Power Station,F,TAS,500556,139043,0,10,10,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Rowallan Hydro Power Station,F,TAS,84911,23586,0,8,8,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Tamar Valley Power Station,F,TAS,63619,17672,9276,2570,11846,0.52,On,NEM,Gas,N/A
HYDRO-ELECTRIC CORPORATION,Tarraleah Hydro Power Station,F,TAS,2275240,632011,0,102,102,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Tods Corner Hydro Power Station,F,TAS,20731,5759,0,3,3,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Trevallyn Hydro Power Station,F,TAS,1256107,348919,0,80,80,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Tribute Hydro Power Station,F,TAS,788456,219016,0,67,67,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Tungatinah Hydro Power Station,F,TAS,1530728,425202,0,156,156,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Wayatinah Hydro Power Station,F,TAS,874109,242808,0,29,29,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Wilmot Hydro Power Station,F,TAS,411351,114264,0,47,47,0.00,On,NEM,Hydro,N/A
HYDRO-ELECTRIC CORPORATION,Corporate Total,C,N/A,29981896,8328304,16770,9599,26369,,N/A,N/A,N/A,N/A
IFM RENEWABLE ENERGY PTY LTD,Challicum Hills Wind Farm,F,VIC,487533,135426,93,0,93,0.00,On,NEM,Wind,N/A
IFM RENEWABLE ENERGY PTY LTD,Clements Gap Wind Farm,F,SA,615683,171023,26,0,26,0.00,On,NEM,Wind,N/A
IFM RENEWABLE ENERGY PTY LTD,Codrington Wind Farm,F,VIC,160914,44698,24,0,24,0.00,On,NEM,Wind,N/A
IFM RENEWABLE ENERGY PTY LTD,Eildon Pondage Hydro,F,VIC,53020,14728,0,0,0,0.00,On,NEM,Hydro,N/A
IFM RENEWABLE ENERGY PTY LTD,Glenmaggie Hydro,F,VIC,24404,6779,0,0,0,0.00,On,NEM,Hydro,N/A
IFM RENEWABLE ENERGY PTY LTD,Ord Hydro,F,WA,742103,206140,18,0,18,0.00,Off,Off-grid,Hydro,N/A
IFM RENEWABLE ENERGY PTY LTD,Portland Wind Farms,F,VIC,1483286,412024,21,0,21,0.00,On,NEM,Wind,N/A
IFM RENEWABLE ENERGY PTY LTD,The Drop Hydro,F,NSW,28205,7835,0,0,0,0.00,On,NEM,Hydro,N/A
IFM RENEWABLE ENERGY PTY LTD,William Hovell Hydro,F,VIC,10659,2961,0,0,0,0.00,On,NEM,Hydro,N/A
IFM RENEWABLE ENERGY PTY LTD,Yambuk Wind Farm,F,VIC,324867,90241,107,0,107,0.00,On,NEM,Wind,N/A
IFM RENEWABLE ENERGY PTY LTD,Corporate Total,C,N/A,3930674,1091854,289,0,289,,N/A,N/A,N/A,N/A
INFIGEN ENERGY LIMITED,Alinta Wind Farm,F,WA,1190284,330634,47,624,671,0.00,On,SWIS,Wind,N/A
INFIGEN ENERGY LIMITED,Capital East Solar Farm,F,NSW,689,191,0,8,8,0.00,On,NEM,Solar,N/A
INFIGEN ENERGY LIMITED,Capital Wind Farm,F,NSW,1184184,328940,105,871,976,0.00,On,NEM,Wind,N/A
INFIGEN ENERGY LIMITED,"Lake Bonney Stage 1,2 & 3 Wind Farm",F,SA,2477929,688314,88,888,976,0.00,On,NEM,Wind,N/A
INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,F,NSW,462471,128464,33,186,219,0.00,On,NEM,Wind,N/A
INFIGEN ENERGY LIMITED,Corporate Total,C,N/A,5315557,1476544,273,2577,2850,,N/A,N/A,N/A,N/A
IPM (KWINANA) PTY LTD,Kwinana Cogeneration Plant,F,WA,3212159,892266,462837,96,462933,0.52,On,SWIS,Gas,N/A
IPM (KWINANA) PTY LTD,Corporate Total,C,N/A,3212159,892266,462837,96,462933,,N/A,N/A,N/A,N/A
IPM AUSTRALIA LIMITED,Loy Yang B Power Station,F,VIC,31039276,8622021,9755875,1932,9757807,1.13,On,NEM,Brown Coal,N/A
IPM AUSTRALIA LIMITED,Corporate Total,C,N/A,31039276,8622021,9755875,1932,9757807,,N/A,N/A,N/A,N/A
LMS ENERGY PTY LTD,Albury Renewable Energy Facility,F,NSW,28779,7994,435,0,435,0.05,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Atlas Renewable Energy Facility,F,WA,16710,4642,266,0,266,0.06,On,SWIS,Landfill Gas,N/A
LMS ENERGY PTY LTD,Awaba Renewable Energy Facility,F,NSW,33021,9173,507,0,507,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Ballarat Renewable Energy Facility,F,VIC,18286,5079,295,0,295,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Bendigo Renewable Energy Facility,F,VIC,14097,3916,225,0,225,0.06,On,NEM,Solar,N/A
LMS ENERGY PTY LTD,Birkdale Renewable Energy Facility,F,QLD,24124,6701,364,0,364,0.05,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Darwin Renewable Energy Facility,F,NT,32365,8990,528,0,528,0.06,On,DKIS,Landfill Gas,N/A
LMS ENERGY PTY LTD,Eastern Creek 2 Renewable Energy Facility,F,NSW,229019,63616,3323,0,3323,0.05,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Hampton Park Renewable Energy Facility,F,VIC,220584,61273,3222,0,3222,0.05,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Ipswich Renewable Energy Facility,F,QLD,30219,8394,484,0,484,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Mornington Peninsula Renewable Energy Facility,F,VIC,20560,5711,320,0,320,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Newcastle Renewable Energy Facility,F,NSW,64817,18005,993,0,993,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Remount Renewable Energy Facility,F,TAS,52039,14455,816,0,816,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Rochedale Renewable Energy Facility,F,QLD,122074,33909,1927,0,1927,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Shepparton Renewable Energy Facility,F,VIC,16923,4701,279,0,279,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,South Cardup Renewable Energy Facility,F,WA,94101,26139,1508,0,1508,0.06,On,SWIS,Landfill Gas,N/A
LMS ENERGY PTY LTD,Stapylton Renewable Energy Facility,F,QLD,15768,4380,265,0,265,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Suntown Renewable Energy Facility,F,QLD,135,38,1,0,1,0.03,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Swanbank Renewable Energy Facility,F,QLD,34266,9518,537,0,537,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Tweed Shire Renewable Energy Facility,F,NSW,6224,1729,106,0,106,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Wollert Renewable Energy Facility,F,VIC,196497,54583,2968,0,2968,0.05,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Wyndham Renewable Energy Facility,F,VIC,55620,15450,764,0,764,0.05,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Wyong Renewable Energy Facility,F,NSW,60714,16865,929,0,929,0.06,On,NEM,Landfill Gas,N/A
LMS ENERGY PTY LTD,Corporate Total,C,N/A,1386942,385262,21062,0,21062,,N/A,N/A,N/A,N/A
MACQUARIE GENERATION ,Bayswater Power Station,F,NSW,11250900,3125250,2650584,0,2650584,0.85,On,NEM,Black Coal,"AGL Energy Limited purchased Macquarie Generation in September 2014. This includes the Bayswater Power Station, Liddell Power Station and Hunter Valley Gas Turbines facilities.  Macquarie Generation reported these facilities for part of the 2014-15 financial year and AGL Energy Limited reported for the remainder of the year."
MACQUARIE GENERATION ,Hunter Valley Gas Turbines,F,NSW,238,66,102,191,293,1.54,On,NEM,Gas,"AGL Energy Limited purchased Macquarie Generation in September 2014. This includes the Bayswater Power Station, Liddell Power Station and Hunter Valley Gas Turbines facilities.  Macquarie Generation reported these facilities for part of the 2014-15 financial year and AGL Energy Limited reported for the remainder of the year."
MACQUARIE GENERATION ,Liddell Power Station,F,NSW,4182213,1161726,1061536,4426,1065962,0.91,On,NEM,Black Coal,"AGL Energy Limited purchased Macquarie Generation in September 2014. This includes the Bayswater Power Station, Liddell Power Station and Hunter Valley Gas Turbines facilities.  Macquarie Generation reported these facilities for part of the 2014-15 financial year and AGL Energy Limited reported for the remainder of the year."
MACQUARIE GENERATION ,Corporate Total,C,N/A,15433351,4287042,3712222,4617,3716839,,N/A,N/A,N/A,N/A
MERIDIAN ENERGY AUSTRALIA PTY LIMITED,Mt Mercer Wind farm Pty Ltd,F,VIC,1259336,349816,91,623,714,0.00,On,NEM,Wind,N/A
MERIDIAN ENERGY AUSTRALIA PTY LIMITED,Mt Millar Wind Farm Pty Ltd,F,SA,672546,186818,16,24,40,0.00,On,NEM,Wind,N/A
MERIDIAN ENERGY AUSTRALIA PTY LIMITED,Corporate Total,C,N/A,1931882,536634,107,647,754,,N/A,N/A,N/A,N/A
MITSUI & CO (AUSTRALIA) LTD,Bald Hills Wind Farm,F,VIC,237597,65999,45,431,476,0.00,On,NEM,Wind,N/A
MITSUI & CO (AUSTRALIA) LTD,Corporate Total,C,N/A,237597,65999,45,431,476,,N/A,N/A,N/A,N/A
MOMENTUM ENERGY PTY LIMITED,Alfred Hospital Cogeneration Plant,F,VIC,56229,15619,13869,590,14459,0.89,On,NEM,Gas,N/A
MOMENTUM ENERGY PTY LIMITED,Dandenong Hospital Cogeneration Plant,F,VIC,54404,15112,11329,429,11758,0.75,On,NEM,Gas,N/A
MOMENTUM ENERGY PTY LIMITED,Geelong Hospital Cogeneration Plant,F,VIC,55751,15486,12359,563,12922,0.80,On,NEM,Gas,N/A
MOMENTUM ENERGY PTY LIMITED,Royal Melbourne Hospital Cogeneration Plant,F,VIC,114442,31789,25321,953,26274,0.80,On,NEM,Gas,N/A
MOMENTUM ENERGY PTY LIMITED,ST. Vincent's Hospital Cogeneration Plant,F,VIC,56462,15684,13743,632,14375,0.88,On,NEM,Gas,N/A
MOMENTUM ENERGY PTY LIMITED,Corporate Total,C,N/A,337288,93691,76621,3167,79788,,N/A,N/A,N/A,N/A
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Mortons Lane Windfarm Pty Ltd,F,VIC,224297,62305,0,0,0,0.00,On,NEM,Wind,N/A
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Corporate Total,C,N/A,224297,62305,0,0,0,,N/A,N/A,N/A,N/A
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Hazelwood Power Station,F,VIC,39489921,10969423,15354936,192118,15547054,1.40,On,NEM,Brown Coal,N/A
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Corporate Total,C,N/A,39489921,10969423,15354936,192118,15547054,,N/A,N/A,N/A,N/A
NEW GULLEN RANGE WIND FARM  (HOLDING) PTY LTD,New Gullen Range Wind Farm Pty Ltd,F,NSW,1295661,359906,0,397,397,0.00,On,NEM,Wind,N/A
NEW GULLEN RANGE WIND FARM  (HOLDING) PTY LTD,Corporate Total,C,N/A,1295661,359906,0,397,397,,N/A,N/A,N/A,N/A
NEWGEN KWINANA HOLDINGS PTY LTD,Kwinana Gas Fired Power Station,F,WA,7750392,2152887,851682,3081,854763,0.40,On,SWIS,Gas,N/A
NEWGEN KWINANA HOLDINGS PTY LTD,Corporate Total,C,N/A,7750392,2152887,851682,3081,854763,,N/A,N/A,N/A,N/A
NRG VICTORIA I PTY LTD,Gladstone Power Station,F,QLD,23336871,6482464,6301561,55547,6357108,0.97,On,NEM,Black Coal,N/A
NRG VICTORIA I PTY LTD,Corporate Total,C,N/A,23336871,6482464,6301561,55547,6357108,,N/A,N/A,N/A,N/A
ORIGIN ENERGY LIMITED,Australand,F,NSW,4031,1120,668,48,716,0.60,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Ballarat Solar Park,F,VIC,658,183,0,2,2,0.00,On,NEM,Solar,N/A
ORIGIN ENERGY LIMITED,Bendigo Solar Park,F,VIC,1881,523,0,4,4,0.00,On,NEM,Solar,N/A
ORIGIN ENERGY LIMITED,Blackmores,F,NSW,4190,1164,807,50,857,0.69,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Bond,F,NSW,4349,1208,668,52,720,0.55,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Chifley Square,F,NSW,4395,1221,650,52,702,0.53,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Cullerin Wind Farm,F,NSW,325681,90467,19,105,124,0.00,On,NEM,Wind,N/A
ORIGIN ENERGY LIMITED,Dandenong,F,VIC,13681,3800,2129,232,2361,0.56,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Darling Downs Power Station,F,QLD,15616147,4337819,1767735,1581,1769316,0.41,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Drapac,F,VIC,2312,642,393,38,431,0.61,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Eraring Power Station,F,NSW,51539324,14316479,12289095,14022,12303117,0.86,On,NEM,Black Coal,N/A
ORIGIN ENERGY LIMITED,Exhibition Street,F,VIC,11341,3150,1710,186,1896,0.54,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Kent Street,F,NSW,11297,3138,1571,250,1821,0.50,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,La Trobe,F,VIC,3089,858,521,83,604,0.61,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Ladbroke Grove Power Station,F,SA,663862,184406,96421,516,96937,0.52,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Mirvac,F,NSW,17071,4742,2584,220,2804,0.54,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Mortlake Power Station,F,VIC,4188517,1163477,617279,5853,623132,0.53,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Mount,F,NSW,5847,1624,891,70,961,0.55,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Mt Stuart Power Station,F,QLD,110955,30821,27037,4121,31158,0.88,On,NEM,Kerosene,N/A
ORIGIN ENERGY LIMITED,Quarantine Power Station,F,SA,774888,215247,157160,2065,159225,0.73,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Roma Power Station,F,QLD,746188,207274,134645,681,135326,0.65,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Shoalhaven Scheme,F,NSW,276441,76789,2,73496,73498,0.00,On,NEM,Hydro,N/A
ORIGIN ENERGY LIMITED,Stockland Headquarters,F,NSW,4647,1291,745,56,801,0.58,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,University of NSW,F,NSW,8740,2428,1294,104,1398,0.53,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Uranquinty Power Station,F,NSW,1537782,427162,221484,5449,226933,0.52,On,NEM,Gas,N/A
ORIGIN ENERGY LIMITED,Corporate Total,C,N/A,75877314,21077032,15325508,109336,15434844,,N/A,N/A,N/A,N/A
OZGEN HOLDINGS AUSTRALIA PTY LTD,Callide C Power Station (facility),F,QLD,19988727,5552424,4961514,20952,4982466,0.89,On,NEM,Black Coal,"Please note that in some circumstances Joint Venture partners are required to report a full amount for each facility they have in a Joint Venture. This results in that facility appearing twice. The identified Joint Venture participants have each included the same data for the Callide C Power Station in their NGER reports. This is because neither participant had the greatest ability to introduce and implement the operating and environmental policies in relation to the facility, and a nomination of operational control has not been made."
OZGEN HOLDINGS AUSTRALIA PTY LTD,Millmerran Power Station (facility),F,QLD,23865350,6629264,5384007,4129,5388136,0.81,On,NEM,Black Coal,N/A
OZGEN HOLDINGS AUSTRALIA PTY LTD,Corporate Total,C,N/A,43854077,12181688,10345521,25081,10370602,,N/A,N/A,N/A,N/A
PELICAN POINT POWER LIMITED,Pelican Point Power Station,F,SA,3708417,1030116,411975,6659,418634,0.40,On,NEM,Gas,N/A
PELICAN POINT POWER LIMITED,Corporate Total,C,N/A,3708417,1030116,411975,6659,418634,,N/A,N/A,N/A,N/A
POWER AND WATER CORPORATION,Katherine Region,FA,NT,63066,17518,12363,0,12363,0.08,Off,Off-grid,Multiple sources,N/A
POWER AND WATER CORPORATION,Northern (Darwin) Region,FA,NT,224073,62243,43878,0,43878,0.70,Off,Off-grid,Multiple sources,N/A
POWER AND WATER CORPORATION,Remote Centres Generation,FA,NT,51189,14219,10283,0,10283,0.72,Off,Off-grid,Multiple sources,N/A
POWER AND WATER CORPORATION,Southern Region,FA,NT,100879,28022,19683,0,19683,0.70,Off,Off-grid,Multiple sources,N/A
POWER AND WATER CORPORATION,Corporate Total,C,N/A,439207,122002,86207,0,86207,,N/A,N/A,N/A,N/A
POWER GENERATION CORPORATION,Channel Island Power Station,F,NT,3520970,978047,607777,0,607777,0.62,On,DKIS,Gas,N/A
POWER GENERATION CORPORATION,Katherine Power Station,F,NT,55966,15546,12589,0,12589,0.81,On,DKIS,Gas,N/A
POWER GENERATION CORPORATION,Kings Canyon,F,NT,6202,1723,1141,0,1141,0.66,Off,Off-grid,Solar,N/A
POWER GENERATION CORPORATION,Owen Springs Power Station,F,NT,286571,79603,40674,0,40674,0.51,Off,Off-grid,Gas,N/A
POWER GENERATION CORPORATION,Ron Goodin Power Station,F,NT,334973,93048,62680,0,62680,0.67,Off,Off-grid,Gas,N/A
POWER GENERATION CORPORATION,Tennant Creek Power Station,F,NT,109184,30329,23220,0,23220,0.77,Off,Off-grid,Gas,N/A
POWER GENERATION CORPORATION,Weddell Power Station,F,NT,1576552,437931,270679,0,270679,0.62,On,DKIS,Gas,N/A
POWER GENERATION CORPORATION,Yulara Power Station,F,NT,86710,24086,15800,0,15800,0.66,Off,Off-grid,Gas/Diesel,N/A
POWER GENERATION CORPORATION,Corporate Total,C,N/A,5977128,1660313,1034560,0,1034560,,N/A,N/A,N/A,N/A
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,Visy Energy - Coolaroo Co-gen,F,VIC,57190,15886,20066,11653,31719,1.26,On,NEM,Biofuel,N/A
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,Corporate Total,C,N/A,57190,15886,20066,11653,31719,,N/A,N/A,N/A,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Kemerton Power Station,F,WA,302277,83966,54862,2534,57396,0.65,On,SWIS,Gas/Diesel,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Starfish Hill Wind Farm,F,SA,326963,90823,45,59,104,0.00,On,NEM,Wind,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Toora Wind Farm,F,VIC,186002,51667,20,269,289,0.00,On,NEM,Wind,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Townsville Power Station,F,QLD,290779,80772,39843,2758,42601,0.49,On,NEM,Gas,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Windy Hill Wind Farm,F,QLD,112473,31243,18,15,33,0.00,On,NEM,Wind,N/A
RATCH - AUSTRALIA CORPORATION LIMITED,Corporate Total,C,N/A,1218494,338471,94788,5635,100423,,N/A,N/A,N/A,N/A
REGIONAL POWER CORPORATION,Carnarvon Power Station,F,WA,165889,46080,26831,0,26831,0.58,Off,Off-grid,Gas,N/A
REGIONAL POWER CORPORATION,Horizon Power Aggregated Minor Power Stations,FA,WA,42232,11731,7794,0,7794,0.66,Off,Off-grid,Diesel,N/A
REGIONAL POWER CORPORATION,South Hedland Temporary Generation Power Station,F,WA,215850,59958,43013,0,43013,0.72,On,NWIS,Gas,N/A
REGIONAL POWER CORPORATION,Corporate Total,C,N/A,423971,117770,77638,0,77638,,N/A,N/A,N/A,N/A
RIO TINTO LIMITED,Paraburdoo Power Station,F,WA,2051703,569918,322110,0,322110,0.57,On,NWIS,Gas,N/A
RIO TINTO LIMITED,West Angelas Power Station,F,WA,2247,624,4670,0,4670,7.48,On,NWIS,Gas,N/A
RIO TINTO LIMITED,Yurralyi Maya Power Station,F,WA,3518017,977227,527491,0,527491,0.54,On,NWIS,Gas,N/A
RIO TINTO LIMITED,Corporate Total,C,N/A,5571967,1547769,854271,0,854271,,N/A,N/A,N/A,N/A
ROYALLA HOLDINGS ASSET PTY LTD,Royalla Solar Farm,F,ACT,49475,13743,0,85,85,0.00,On,NEM,Solar,N/A
