company,locationid,plant,iso3,lon,lat,plant.id
US DEPT OF DEFENSE,35561,GREERS FERRY LAKE,USA,-91.9953,35.5207,15882
US DEPT OF DEFENSE,35538,BULL SHOALS,USA,-92.5763,36.3635,6208
US DEPT OF DEFENSE,35581,NORFORK,USA,-92.2401,36.2491,31522
ASSOCIATED ELECTRIC COOP INC,47211,DELL POWER STATION,USA,-90.0253,35.8619,10513
ENTERGY CORP,13529,ROBERT E RITCHIE,USA,-90.5987,34.4629,51473
WHITE RIVER HYDROELECTRIC,,WHITE RIVER LOCK AND DAM 2,USA,-91.7644,35.7436,72843
ENTERGY CORP,13525,INDEPENDENCE (6641),USA,-91.4083,35.6733,19302
WHITE RIVER HYDROELECTRIC,,WHITE RIVER LOCK AND DAM 1,USA,-91.6356,35.7569,72842
ARKANSAS ELEC COOP CORP,13510,CARL BAILEY,USA,-91.3631,35.2597,2902
ARKANSAS ELEC COOP CORP,13515,DAM 2,USA,-91.3159,33.9864,18589
ENTERGY CORP,13523,HAMILTON MOSES,USA,-90.8722,34.9806,54401
PARAGOULD LIGHT & WATER COMM,,PARAGOULD TURBINE,USA,-91.3428,36.0242,71152
ENTERGY ARKANSAS INC,,CECIL LYNCH,USA,-92.1987,34.7535,70377
ENTERGY ARKANSAS INC,,MABELVALE,USA,-92.4105,34.6342,70379
WM RENEWABLE ENERGY LLC,,TWO PINE GAS RECOVERY,USA,-92.1656,34.8364,72531
LITTLE ROCK WASTEWATER UTILITY,,FOURCHE CREEK WASTEWATER,USA,-92.1519,34.6953,71366
ARKANSAS ELEC COOP CORP,13511,WHILLOCK,USA,-92.7897,35.1258,7136
NO LITTLE ROCK ELEC DEPT,27973,MURRAY,USA,-92.3569,34.7956,31620
ARKANSAS ELECTRIC COOP CORP,,HARRY L. OSWALD,USA,-92.2166,34.5923,72130
US DEPT OF DEFENSE,35531,BEAVER (182),USA,-93.8462,36.4226,3742
AMERICAN ELECTRIC POWER CO INC,33268,FLINT CREEK,USA,-94.5241,36.2561,13582
ENTERGY CORP,19599,ARKANSAS NUCLEAR ONE,USA,-93.23138889,35.31027778,2036
US DEPT OF DEFENSE,35550,DARDANELLE,USA,-93.1686,35.2503,10218
ARKANSAS ELEC COOP CORP,13513,THOMAS FITZHUGH,USA,-93.8053,35.4617,45277
