Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Generation Data Source,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1019131,Gars,Hydro,,Run of River,,25,1938,Wien Energie,,,149.4,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51545,,,,,,,,,,,,Austria,,
1019133,Perach,Hydro,,Run of River,,19.4,1977,Wien Energie,,,128,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51547,,,,,,,,,,,,Austria,,
1019134,Rosenheim,Hydro,,Run of River,,35.1,1960,Wien Energie,,,176.5,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51548,,,,,,,,,,,,Austria,,
1019135,Stammham,Hydro,,Run of River,,23.2,1955,Wien Energie,,,153.3,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51549,,,,,,,,,,,,Austria,,
1019136,Tuefelsbruck,Hydro,,Run of River,,25,1938,Wien Energie,,,144.2,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51550,,,,,,,,,,,,Austria,,
1019138,Wasserburg,Hydro,,Run of River,,24.1,1938,Wien Energie,,,119,,ENTSOE,,,,,,,,,,Wien Energie,http://www.wienenergie.at/eportal3/ep/channelView.do/pageTypeId/67860/channelId/-51552,,,,,,,,,,,,Austria,,
1005149,Abwinden-Asten,Hydro,,Run of River,,168,1980,Verbund,,,995,,ENTSOE,,,,,,,48.24798,14.4305,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005154,Aschach,Hydro,,Run of River,,287,1964,Verbund,,,"1,686",,ENTSOE,,,,,,,48.3853,14.023,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005155,Bischofshofen,Hydro,,Run of River,,16,1986,Verbund,,,70,,ENTSOE,,,,,,,47.407,13.2205,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005166,Feistritz-Ludmannsdorf,Hydro,,Run of River,,88,1968,Verbund,,,354,,ENTSOE,,,,,,,46.5347,14.1712,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005167,Ferlach Maria Rain,Hydro,,Run of River,,75,1975,Verbund,,,318,,ENTSOE,,,,,,,46.5462,14.2985,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005179,Greifenstein,Hydro,,Run of River,,293,1985,Verbund,,,"1,717",,ENTSOE,,,,,,,48.3553,16.2424,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005188,Jochenstein,Hydro,,Run of River,,132,1956,Verbund,,,850,,ENTSOE,,,,,,,48.5184,13.7076,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005194,Klammsee,Hydro,,Run of River,,1,1947,Verbund,,,3,,ENTSOE,,,,,,,47.2591,12.7389,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005197,Kreuzbergmaut,Hydro,,Run of River,,18,1996,Verbund,,,80,,ENTSOE,,,,,,,47.4412,13.2108,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005211,Melk,Hydro,,Run of River,,187,1982,Verbund,,,"1,222",,ENTSOE,,,,,,,48.2232,15.3042,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005219,Ottensheim-Wilhering,Hydro,,Run of River,,179,1975,Verbund,,,"1,135",,ENTSOE,,,,,,,48.31663,14.1512,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005222,Paternion,Hydro,,Run of River,,24,1988,Verbund,,,95,,ENTSOE,,,,,,,46.72089,13.6453,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005232,Rosegg-St. James,Hydro,,Run of River,,80,1974,Verbund,,,338,,ENTSOE,,,,,,,46.5696,14.0268,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005239,Schwabeck,Hydro,,Run of River,,79,1943,Verbund,,,378,,ENTSOE,,,,,,,46.658,14.8726,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005244,St. Johann,Hydro,,Run of River,,16,1991,Verbund,,,71,,ENTSOE,,,,,,,47.33856,13.1974,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005247,St. Veit,Hydro,,Run of River,,16,1989,Verbund,,,67,,ENTSOE,,,,,,,47.32135,13.1744,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005255,Tuxbach,Hydro,,Run of River,,1,1930,Verbund,,,3,,ENTSOE,,,,,,,47.1485,11.8225,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005256,Low Tuxbach - Small power plant Stillupp,Hydro,,Run of River,,2,,Verbund,,,0,,ENTSOE,,,,,,,47.1485,11.8225,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005257,Urreiting,Hydro,,Run of River,,16,1986,Verbund,,,76,,ENTSOE,,,,,,,47.37485,13.2101,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005258,Villach,Hydro,,Run of River,,25,1984,Verbund,,,100,,ENTSOE,,,,,,,46.6329,13.8294,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005260,Wallnerau Salzach stage,Hydro,,Run of River,,13,1990,Verbund,,,38,,ENTSOE,,,,,,,47.316,13.14095,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005262,Wallsee-Mitterkirchen,Hydro,,Run of River,,210,1969,Verbund,,,"1,319",,ENTSOE,,,,,,,48.16656,14.6953,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
1005265,Werfen-Pfarrwerfen,Hydro,,Run of River,,16,2009,Verbund,,,82,,ENTSOE,,,,,,,47.4698,13.1945,,Verbund,http://www.verbund.com/pp/de/region/oesterreich,,,,,,,,,,,,Austria,,GEODB
