Power Plant ID,Name,Fuel,Secondary Fuel,Generator Technology,Units,Capacity (MW),Commissioning Date,Owner,Operational Status,Location,Annual Generation (GWh),Year of Data,Cooling Technology,Cooling Source,Fuel Consumption (g/kWh),CO2 Annual Reported,CO2 Specific Emissions (tCO2/MWh),Efficiency,Latitude,Longitude,Other,Source,URL,Source 2,URL 2,Peak Load (MW),Load Factor,Capacity Factor,Availability,Grid Connection (kV),Grid Balancing Area,Address,Municipality,Postal Code,Country,Natural Language,Geolocation Source
1070441,Linzhou - Datang Coal,Coal,,,,700,2011,Datang Linzhou Power Station,,Shuimoshan Village  Hongqiqv Development District  Linzhou  Anyang Prefecture  Henan Province,,,,,,,,,36.108677,113.862735,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33142-linzhou-datang-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070442,Luoyang - Shoulong Coal,Coal,,,,110,2004,China Resources Power Holdings Co Ltd,,Yanshi City  Luoyang Prefecture  Henan Province,,,,,,,,,34.742549,112.772862,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33145-luoyang-shoulong-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070443,Anshun Coal,Coal,,,,1200,1998,Guizhou CLP Power Co (Anshun-1); China Guodian Corp (Anshun-2),,Taiping Village  Puding County  Anshun City  Guizhou Province,,,,,,,,,26.220264,105.686597,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25511-anshun-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070444,Longgang Coal,Coal,,,,270,1995,Xuchang Longgang Power Station,,Yuzhou City  Xuchang Prefecture  Henan Province,,,,,,,,,34.167275,113.440034,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33144-longgang-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070445,Luoyang - Shouyangshan 3 Coal,Coal,,,,1200,2006,China Resources Power Holdings Co Ltd,,Shouyangshanzhen  Yanshi City  Luoyang Prefecture  Henan Province,,,,,,,,,34.737147,112.684009,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33147-luoyang-shouyangshan-3-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070446,Luoyang - Shouyangshan 1-2 Coal,Coal,,,,1000,,Datang Shouyangshan Power Station,,Shouyangshanzhen  Yanshi City  Luoyang Prefecture  Henan Province,,,,,,,,,34.731203,112.75536,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33146-luoyang-shouyangshan-1-2-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070447,Heshan 9-10 Coal,Coal,,,,660,2003,Guangxi Guiguan Electric Power Co Ltd,,Lingnan Village  Heshan Town  Laibin City  Guangxi Zhuang Autonomous Region,,,,,,,,,23.826205,108.867481,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/25671-heshan-9-10-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070448,Yueqing Coal,Coal,,,,1320,2008,Zhejiang Zheneng Electric Power Co Ltd,,Yueqing City  Wenzhou Prefecture  Zhejiang Province,,,,,,,,,28.17039,121.088872,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/32925-yueqing-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070449,Datong - Guodian 9-10 Coal,Coal,,,,1320,2008,Guodian Shanxi Branch Co Ltd,,Qili Village  Nanjiao district  Datong  Shanxi Province,,,,,,,,,40.02627,113.296708,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33538-datong-guodian-9-10-coal-power-plant,,,,,,,,,,,,China,,Industry About
1070450,Datong - SDIC Coal,Coal,,,,270,2010,,,Qili Village  Nanjiao District  Datong  Shanxi Province,,,,,,,,,39.947442,113.105264,,Industry About,https://industryabout.com/country-territories-3/1705-china/fossil-fuels-energy/33539-datong-sdic-coal-power-plant,,,,,,,,,,,,China,,Industry About
