eic_p,eic_g,type_g,cyear,Generation,cf,time_coverage,co2emitted
32W001100100153D,32W001100100043K,"Fossil Brown coal/Lignite",2015,763028,0.492,1.000,9.23645e+08
32W001100100153D,32W001100100044I,"Fossil Brown coal/Lignite",2015,1137844,0.734,1.000,1.37736e+09
32W001100100153D,32W001100100045G,"Fossil Brown coal/Lignite",2015,1422106,0.706,1.000,1.72146e+09
32W001100100153D,32W001100100046E,"Fossil Brown coal/Lignite",2015,1382770,0.686,1.000,1.67384e+09
32W001100100153D,32W001100100047C,"Fossil Brown coal/Lignite",2015,1388666,0.727,1.000,1.63004e+09
32W001100100153D,32W001100100048A,"Fossil Brown coal/Lignite",2015,1373927,0.682,1.000,1.61274e+09
32W001100100063E,32W001100100037F,"Fossil Brown coal/Lignite",2015,1227086,0.617,1.000,1.35807e+09
32W001100100063E,32W001100100038D,"Fossil Brown coal/Lignite",2015,1310116,0.659,1.000,1.44996e+09
32W001100100063E,32W001100100039B,"Fossil Brown coal/Lignite",2015,1315711,0.662,1.000,1.45615e+09
32W001100100063E,32W001100100040Q,"Fossil Brown coal/Lignite",2015,1312573,0.660,1.000,1.45268e+09
32W001100100089X,32W001100100024O,"Fossil Hard coal",2015,8775,0.009,1.000,1.11267e+07
46WPU0000000018Q,46WGU0000000002A,"Hydro Water Reservoir",2015,206283,0.271,0.869,0
46WPU0000000018Q,46WGU00000000038,"Hydro Water Reservoir",2015,237050,0.311,0.869,0
46WPU0000000018Q,46WGU00000000046,"Hydro Water Reservoir",2015,285074,0.288,0.869,0
17W100P100P0231Q,17W100P100P0149B,Nuclear,2015,5718260,0.769,0.928,0
17W100P100P0232O,17W100P100P0150Q,Nuclear,2015,6053562,0.799,0.945,0
17W100P100P0233M,17W100P100P0152M,Nuclear,2015,7135286,0.891,0.999,0
17W100P100P0234K,17W100P100P0153K,Nuclear,2015,6563264,0.821,0.997,0
18WTRL1-12345-0Y,18WTRL1-12345-BC,Nuclear,2015,7902910,0.899,1.000,0
48WSTN0000TULWBN,48W00000TULWW-2S,"Wind Onshore",2015,43098,0.237,0.830,0
47W0000000001699,47W0000000001982,"Hydro Pumped Storage",2015,45758,0.326,0.219,0
47W0000000001699,47W0000000001990,"Hydro Pumped Storage",2015,0,0.000,0.219,0
47W0000000001699,47W0000000002004,"Hydro Pumped Storage",2015,22138,0.158,0.219,0
47W0000000001699,47W0000000002012,"Hydro Pumped Storage",2015,0,0.000,0.219,0
19W000000000199I,19W000000000201K,"Fossil Brown coal/Lignite",2015,1193012,0.581,0.997,1.23985e+09
19W000000000199I,19W000000000203G,"Fossil Brown coal/Lignite",2015,1263020,0.615,0.997,1.31261e+09
19W000000000199I,19W000000000205C,"Fossil Brown coal/Lignite",2015,1309383,0.638,0.997,1.36079e+09
19W000000000199I,19W0000000002078,"Fossil Brown coal/Lignite",2015,1334508,0.585,0.997,1.3869e+09
19W000000000199I,19W0000000002094,"Fossil Brown coal/Lignite",2015,1163660,0.510,0.997,1.20935e+09
19W000000000199I,19W000000000211H,"Fossil Brown coal/Lignite",2015,1089804,0.478,0.997,1.13259e+09
47W000000000172K,47W0000000000978,"Fossil Gas",2015,521878,0.151,0.975,
18WARRU1-1234-0J,18WARRU1-1234-CW,"Fossil Gas",2015,57,0.000,1.000,21280
18WARRU2-1234-0A,18WARRU2-1234-CN,"Fossil Gas",2015,586201,0.172,1.000,2.18848e+08
46WPU0000000055K,46WGU0000000047P,"Fossil Peat",2015,58180,0.064,0.869,
26WIMPITOADDA-1T,26WUUUALTOADDA15,"Hydro Run-of-river and poundage",2015,542744,0.191,0.992,0
26WIMPI-S18EADS0,26WUUALTOMONTE1Z,"Fossil Gas",2015,2710064,0.386,0.992,1.06943e+09
26WIMYI-S19ANPAB,26WUUANAPO-C-L1O,"Hydro Pumped Storage",2015,430809,0.099,0.992,0
26WIMPI-S02AVSIS,26WUUUUUUAVISE1Z,"Hydro Run-of-river and poundage",2015,288124,0.261,0.992,0
26WIMPI-S05AZTT6,26WUUUUAZOTATI5V,"Fossil Gas",2015,112302,0.055,0.992,4.18989e+07
26WIMPI-S08BCRGX,26WUUBARGI-CEN11,"Hydro Pumped Storage",2015,72284,0.030,0.992,0
26WIMPI-0111491E,26WUBDDSLDSRDI17,"Wind Onshore",2015,282691,0.236,0.992,0
26WIMPI-S16BSCRY,26WUBRNDSSUDCE1N,"Fossil Hard coal",2015,2765037,0.526,0.992,2.75495e+09
26WIMPI-S16BSCRY,26WUBRNDSSUDCE2L,"Fossil Hard coal",2015,3276706,0.623,0.992,3.26476e+09
26WIMPI-S16BSCRY,26WUBRNDSSUDCE3J,"Fossil Hard coal",2015,3559639,0.677,0.992,3.54666e+09
26WIMPI-S16BSCRY,26WUBRNDSSUDCE4H,"Fossil Hard coal",2015,3649609,0.694,0.992,3.6363e+09
26WIMPI-S13BSSUZ,26WUUUUUUBUSSI19,"Fossil Gas",2015,77962,0.074,0.992,2.90869e+07
26WIMPI-S16CNDLL,26WUUUUCANDELA1R,"Fossil Gas",2015,2397591,0.688,0.992,9.46126e+08
26WIMPI-S15CPRTZ,26WUUUCAPRIATI1B,"Hydro Pumped Storage",2015,48754,0.050,0.992,0
26WIMPI-S04CRDA9,26WUUUUCARDANO16,"Hydro Run-of-river and poundage",2015,645354,0.614,0.992,0
26WIMPI-S03ACMNW,26WUUUUCASSANO2I,"Fossil Gas",2015,582573,0.090,0.989,2.29892e+08
26WIMPI-0300653B,26WUCCGTPRILIA15,"Fossil Gas",2015,790969,0.116,0.992,3.12129e+08
26WIMPI-S01CHVSE,26WUUUCHIVASSO1V,"Fossil Gas",2015,365129,0.056,0.992,1.44086e+08
26WIMPI-S01CHVSE,26WUUUCHIVASSO2T,Other,2015,0,0.000,0.992,
26WIMPI-S04CMGI4,26WUUUUUCIMEGO1U,"Hydro Water Reservoir",2015,272712,0.143,0.992,0
26WIMPI-S18SCNDX,26WUCNTRLDSCND16,"Fossil Gas",2015,185132,0.052,0.992,7.16775e+07
26WIMPI-S18SCNDX,26WUCNTRLDSCND24,"Fossil Gas",2015,433864,0.121,0.992,1.67979e+08
26WIMPI-S03CDTL1,26WUCNTRLDTRNL1C,"Fossil Gas",2015,1337457,0.192,0.992,5.17823e+08
26WIMPI-S15STTV3,26WUCNTRLDTVRL1D,"Fossil Gas",2015,789909,0.225,0.992,3.1171e+08
26WIMPI-S04NATRE,26WCNTRLNTRNO118,"Hydro Water Reservoir",2015,334518,0.220,0.992,0
26WIMPI-S08CENT6,26WUCNTRNRGFRR12,Other,2015,40608,0.063,0.540,
26WIMPI-S19AGGPO,26WUUUCTE-RAGE1N,Other,2015,27334,0.037,0.849,
26WIMPI-S03ACMSM,26WUUCTE-DEL-M2E,"Fossil Gas",2015,392730,0.113,0.992,1.54977e+08
26WIMPI-S19APGPP,26WUCTNUCENORD1T,"Fossil Gas",2015,2085989,0.586,0.992,8.73561e+08
26WIMPI-S13CTTM2,26WUCTTAMARETE11,Other,2015,111181,0.111,0.992,
26WIMPI-S06SDDT9,26WUUUUUUDUINO1A,"Fossil Gas",2015,160369,0.154,0.992,7.83517e+07
26WIMPI-S03EDLO9,26WUUUUUUEDOLO19,"Hydro Pumped Storage",2015,470335,0.057,0.992,0
26WIMPI-S01ENTRP,26WUETQCHIOTAS1O,"Hydro Pumped Storage",2015,712416,0.077,0.992,0
26WIMPI-R01ENTRX,26WUETQ-ROVINA1Y,"Hydro Pumped Storage",2015,24104,0.022,0.992,0
26WIMPI-S05FDLTJ,26WUUUUFADALTO1G,"Hydro Pumped Storage",2015,257068,0.141,0.992,0
26WIMPI-S20FOMSR,26WUUFIUMESANT3F,"Fossil Hard coal",2015,1083853,0.467,0.992,1.11262e+09
26WIMPI-S20FOMSR,26WUUFIUMESANT4D,"Fossil Hard coal",2015,1221952,0.527,0.992,1.25439e+09
26WIMPI-S05FTSNK,26WUUUFUSINA-T18,"Fossil Hard coal",2015,955011,0.758,0.992,1.19822e+09
26WIMPI-S05FTSNK,26WUUUFUSINA-T26,"Fossil Hard coal",2015,1111647,0.825,0.992,1.17682e+09
26WIMPI-S05FTSNK,26WUUUFUSINA-T34,"Fossil Hard coal",2015,1833423,0.754,0.992,1.94091e+09
26WIMPI-S05FTSNK,26WUUUFUSINA-T42,"Fossil Hard coal",2015,1940442,0.798,0.992,2.0542e+09
26WIMPI-S10GLLT5,26WUUUUGALLETO2T,"Hydro Run-of-river and poundage",2015,263805,0.183,0.992,0
26WIMPI-S03GRGNY,26WUUUGARGNANO18,"Hydro Pumped Storage",2015,70266,0.059,0.992,0
26WIMPI-S07GTNV2,26WUUUGENOVA-T68,"Fossil Hard coal",2015,758347,0.642,0.992,9.51473e+08
26WIMPI-S13CDGNT,26WUUUUUUGISSI19,"Fossil Gas",2015,370380,0.101,0.992,1.434e+08
26WIMPI-S13CDGNT,26WUUUUUUGISSI27,"Fossil Gas",2015,271920,0.075,0.992,1.05279e+08
26WIMPI-S19EPRGR,26WUUUUUIMPSUD2Q,"Fossil Gas",2015,117336,0.221,0.992,4.91374e+07
26WIMPI-S19IESBL,26WUISABENERGY2N,"Fossil Gas",2015,760158,0.463,0.732,4.10485e+08
26WIMPI-S19IESBL,26WUISABENERGY3L,"Fossil Gas",2015,1322091,0.716,0.732,7.13929e+08
26WIMPI-S03CLTCO,26WUULAMARMORA16,Other,2015,142856,0.141,0.992,
26WIMPI-S04LNAAQ,26WUUUUUUULANA1R,"Hydro Run-of-river and poundage",2015,167302,0.160,0.992,0
26WIMPI-S03LNZDP,26WUUUULANZADA1E,"Hydro Water Reservoir",2015,365070,0.223,0.992,0
26WIMPI-S14LTRNT,26WUULARINO-TG1C,Other,2015,364,0.000,0.992,
26WIMPI-S14LTRNT,26WUULARINO-TG2A,Other,2015,203,0.000,0.992,
26WIMPI-S08LCCS4,26WUULA-CASELL1P,"Fossil Gas",2015,266786,0.082,0.992,1.01379e+08
26WIMPI-S08LCCS4,26WUULA-CASELL2N,"Fossil Gas",2015,112363,0.035,0.992,4.26979e+07
26WIMPI-S08LCCS4,26WUULA-CASELL3L,"Fossil Gas",2015,105379,0.033,0.992,4.0044e+07
26WIMPI-S08LCCS4,26WUULA-CASELL4J,"Fossil Gas",2015,35947,0.014,0.992,1.36599e+07
26WIMPI-S01LNEIG,26WUUUUUULEINI1V,"Fossil Gas",2015,1736812,0.526,0.992,6.59989e+08
26WIMPI-S05PMAR7,26WUUUULEVANTE35,"Fossil Gas",2015,1899303,0.563,0.992,7.21735e+08
26WIMPI-S05PMAR7,26WUUUULEVANTE43,"Fossil Gas",2015,266087,0.084,0.992,1.18698e+08
26WIMPII-LIRO-1L,26WUUUUUUULIRO13,"Hydro Water Reservoir",2015,205030,0.200,0.992,0
26WIMPI-S09LMVRE,26WUULIVORNO-M1P,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPI-S09LMVRE,26WUULIVORNO-M2N,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPI-0420910Z,26WULVTRNTCET31X,"Fossil Coal-derived gas",2015,49797,0.014,0.992,
26WIMPI-S03SMLPC,26WUUMALPENSA-1D,"Fossil Gas",2015,30068,0.088,0.490,1.40226e+07
26WIMPI-S03XMCMK,26WUUUUUUUMESE16,"Hydro Run-of-river and poundage",2015,484585,0.340,0.992,0
26WIMPI-S19TMRC9,26WUUUUMILAZZO1Z,"Fossil Gas",2015,966828,0.732,0.992,4.31289e+08
26WIMPI-S01MNCLB,26WUMONCALIERI36,"Fossil Gas",2015,1035660,0.314,0.992,3.93551e+08
26WIMPI-S01MNCLB,26WUUMONCALRPW2S,"Fossil Gas",2015,1250673,0.360,0.992,4.75256e+08
26WIMPI-S06MTNFA,26WUUUMONFALCO12,"Fossil Hard coal",2015,1038190,0.781,0.992,1.00485e+09
26WIMPI-S06MTNFA,26WUUUMONFALCO20,"Fossil Hard coal",2015,1071411,0.761,0.992,1.037e+09
26WIMPI-S12MCNTU,26WUUUMONTALTO1L,"Fossil Gas",2015,0,0.000,0.992,0
26WIMPI-S12MCNTU,26WUUUMONTALTO2J,"Fossil Gas",2015,3078,0.001,0.992,1.31584e+06
26WIMPI-S12MCNTU,26WUUUMONTALTO3H,"Fossil Gas",2015,1,0.000,0.992,446.087
26WIMPI-S12MCNTU,26WUUUMONTALTO4F,"Fossil Gas",2015,0,0.000,0.992,0
26WIMPI-S13MNTR3,26WUUUMONTORIO1P,"Hydro Run-of-river and poundage",2015,267564,0.280,0.992,0
26WIMPI-S18M1CN9,26WUUZMUCONE1S1I,"Hydro Water Reservoir",2015,201211,0.229,0.992,0
26WIMPI-S15NLPLI,26WUUUUNAPOLIL48,"Fossil Gas",2015,715235,0.206,0.992,2.66848e+08
26WIMPI-S01ECLF6,26WUNCTLVRNFRR1D,"Fossil Gas",2015,2390802,0.342,0.992,9.08505e+08
26WIMPIVELINO-1Q,26WUNERAVELINO11,"Hydro Run-of-river and poundage",2015,731238,0.285,0.992,0
26WIMPII-NOCE-1C,26WUUUUUUUNOCE1E,"Hydro Water Reservoir",2015,377941,0.270,0.992,0
26WIMPI-S16EBNPL,26WNPWRBRNDSI10U,"Fossil Gas",2015,1570586,0.502,0.992,5.96823e+08
26WIMPI-S16EBNPL,26WUNPWRBRNDSI4A,"Fossil Gas",2015,0,0.000,0.992,0
26WIMPI-S16EBNPL,26WUNPWRBRNDSI82,"Fossil Gas",2015,1154292,0.369,0.992,4.38631e+08
26WIMPI-S16EBNPL,26WUNPWRBRNDSI90,"Fossil Gas",2015,1720105,0.550,0.992,6.5364e+08
26WIMPI-S03FERRD,26WNPWRFRRRRB10Q,"Fossil Gas",2015,941646,0.471,0.992,3.71588e+08
26WIMPI-S03FERRD,26WUNPWRFRRRRB8C,"Fossil Gas",2015,1563771,0.467,0.992,5.94233e+08
26WIMPI-S03FERRD,26WUNPWRFRRRRB9A,"Fossil Gas",2015,1626096,0.486,0.992,6.17916e+08
26WIMPI-S09AGPP4,26WUNPWRLVORNO77,Other,2015,457298,0.353,0.992,
26WIMPI-S03EMC43,26WUNPWRMNTOVA2N,"Fossil Gas",2015,1650863,0.507,0.992,6.27328e+08
26WIMPI-S03EMC43,26WUNPWRMNTOVA3L,"Fossil Gas",2015,1669518,0.512,0.992,6.34417e+08
26WIMPI-S08ERNPQ,26WNPWRRVENNA10P,"Fossil Gas",2015,1753142,0.538,0.992,6.66194e+08
26WIMPI-S08ERNPQ,26WNPWRRVENNA11N,"Fossil Gas",2015,1545390,0.445,0.992,5.87248e+08
26WIMPI-S08ERNPQ,26WUNPWRRVENNA3F,Other,2015,0,0.000,0.992,
26WIMPI-S08ERNPQ,26WUNPWRRVENNA93,"Fossil Gas",2015,175351,0.168,0.992,7.82218e+07
26WIMPI-S14TERME,26WUNRGAMOLISE1H,"Fossil Gas",2015,827525,0.124,0.992,3.26554e+08
26WIMPI-S01FMTRO,26WUOMIRAFIORI3M,"Fossil Gas",2015,49335,0.061,0.756,2.02471e+07
26WIMPIORTICA-13,26WUUUUUORTICA1F,"Hydro Run-of-river and poundage",2015,590911,0.188,0.907,0
26WIMPI-S03OSTG2,26WUUUOSTIGLIA33,"Fossil Gas",2015,656978,0.203,0.992,2.59254e+08
26WIMPI-S08PLCNW,26WUUUPIACENZA4O,"Fossil Gas",2015,1068744,0.153,0.992,4.06123e+08
26WIMPI-S10PTRFC,26WUUPIETRAFIT51,"Fossil Gas",2015,14102,0.004,0.992,5.35876e+06
26WIMPI-S09PTMBP,26WUUUPIOMBINO18,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPI-S09PTMBP,26WUUUPIOMBINO26,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPI-S09PTMBP,26WUUUPIOMBINO34,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPI-S09PTMBP,26WUUUPIOMBINO42,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPI-S15SGTL1,26WUPZGLNDARCO14,"Fossil Gas",2015,1591,0.002,0.992,615987
26WIMPI-S11ACPNS,26WUPNRGIAIGCC1R,"Fossil Gas",2015,10816,0.005,0.992,4.62384e+06
26WIMPI-S09CPLR3,26WUUUUPORCARI17,"Fossil Gas",2015,401446,0.453,0.992,1.55428e+08
26WIMPI-S08PCRTB,26WUUPORTO-COR3N,"Fossil Gas",2015,39098,0.012,0.992,1.48572e+07
26WIMPI-S08PCRTB,26WUUPORTO-COR4L,"Fossil Gas",2015,59867,0.018,0.992,2.27495e+07
26WIMPI-S20PSRTI,26WUUPORTO-SCU1N,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPI-S20PSRTI,26WUUPORTO-SCU2L,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPI-S05PTRTZ,26WUUPORTO-TOL1Y,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPI-S05PTRTZ,26WUUPORTO-TOL2W,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPI-S05PTRTZ,26WUUPORTO-TOL3U,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPI-S05PTRTZ,26WUUPORTO-TOL4S,"Fossil Oil",2015,0,0.000,0.296,0
26WIMPIGROSIO-11,26WPREM-GROSIO10,"Hydro Run-of-river and poundage",2015,1381804,0.243,0.992,0
26WIMPI-S15PRSN8,26WUUPRESENZAN11,"Hydro Pumped Storage",2015,620946,0.071,0.992,0
26WIMPI-S19PCRLE,26WUUUPRIOLO-C13,"Fossil Gas",2015,1617089,0.500,0.992,6.14494e+08
26WIMPI-S19PCRLE,26WUUUPRIOLO-C21,"Fossil Gas",2015,1533627,0.474,0.992,5.82778e+08
26WIMPI-S13PRVVW,26WUUPROVVIDEN13,"Hydro Pumped Storage",2015,152805,0.127,0.992,0
26WIMPI-S16CSSCB,26WUUUUURATINO1O,"Fossil Gas",2015,1469775,0.402,0.992,5.69053e+08
26WIMPI-S04RDGLX,26WUUUURIVADEL38,"Hydro Pumped Storage",2015,124593,0.123,0.992,0
26WIMPI-S18RCZZW,26WUURIZZICONI1S,"Fossil Gas",2015,1808081,0.542,0.992,6.87071e+08
26WIMPI-S18RCZZW,26WUURIZZICONI2Q,"Fossil Gas",2015,1827720,0.548,0.992,6.94534e+08
26WIMPI-S03RNCVS,26WUURONCOVALG13,"Hydro Pumped Storage",2015,508595,0.059,0.992,0
26WIMPI-S09RSLCK,26WUROSELECTRA1D,"Fossil Gas",2015,1424360,0.431,0.992,5.41257e+08
26WIMPI-S09RSNOR,26WUUUUUUROSEN1B,"Fossil Gas",2015,2463590,0.872,0.992,9.19143e+08
26WIMPI-S01RASNN,26WUUUUUROSONE16,"Hydro Water Reservoir",2015,451446,0.385,0.992,0
26WIMPI-S18RTSN9,26WUUROSSANO-T1T,"Fossil Gas",2015,0,0.000,0.992,0
26WIMPI-S18RTSN9,26WUUROSSANO-T3P,"Fossil Gas",2015,0,0.000,0.992,0
26WIMPI-S19SDMCS,26WUUUS-F--DEL16,"Fossil Oil",2015,303820,0.241,0.992,2.82553e+08
26WIMPI-S19SDMCS,26WUUUS-F--DEL24,"Fossil Oil",2015,348811,0.277,0.992,3.24394e+08
26WIMPI-S19SDMCS,26WUUUS-F--DEL5Z,"Fossil Oil",2015,798123,0.319,0.992,7.42254e+08
26WIMPI-S19SDMCS,26WUUUS-F--DEL6X,"Fossil Oil",2015,730338,0.292,0.992,6.79214e+08
26WIMPI-S03SFRNQ,26WUUZ-FIORANO1X,"Hydro Pumped Storage",2015,366741,0.155,0.992,0
26WIMPIASS-CL-1D,26WUUS-MASS-CL10,"Hydro Pumped Storage",2015,583210,0.178,0.992,0
26WIMPI-S20SRLXH,26WUUUUUSARLUX1W,"Fossil Gas",2015,4429482,0.809,0.992,1.97593e+09
26WIMPI-S08SERM2,26WUUUUSARMATO16,"Fossil Gas",2015,0,0.000,0.992,0
26WIMPI-S09SBRBU,26WUUUSBARBARA3W,"Fossil Gas",2015,147999,0.044,0.992,5.62396e+07
26WIMPI-S08EFNP0,26WUSCTNPWPFRR28,"Fossil Gas",2015,1215759,0.400,0.992,4.61988e+08
26WIMPI-S08EFNP0,26WUSCTNPWPFRR36,"Fossil Gas",2015,1320413,0.434,0.992,5.01757e+08
26WIMPI-S03SRMDD,26WUUUUSERMIDE3O,"Fossil Gas",2015,12141,0.004,0.992,4.79103e+06
26WIMPI-S03SRMDD,26WUUUUSERMIDE4M,"Fossil Gas",2015,926795,0.139,0.992,3.65728e+08
26WIMPI-S06ECLTM,26WUUUUSERVOLA2X,"Fossil Gas",2015,62300,0.159,0.992,2.71999e+07
26WIMPI-S04SFLVM,26WUUSFLORIANO2R,"Hydro Run-of-river and poundage",2015,174890,0.168,0.992,0
26WIMPI-S13S2GCF,26WUUUSGIACOMO3I,Other,2015,424492,0.100,0.992,
26WIMPI-S18SCMR8,26WUSMRICRICHI16,"Fossil Gas",2015,2621364,0.341,0.992,1.03443e+09
26WIMPI-S03SNDOY,26WUUUUSONDRIO19,"Hydro Run-of-river and poundage",2015,392158,0.313,0.992,0
26WIMPI-S05SVRZ0,26WUUSOVERZENE1M,"Hydro Water Reservoir",2015,471752,0.344,0.992,0
26WIMPI-S15SCPRH,26WUUSPARANISE1Q,"Fossil Gas",2015,948230,0.284,0.992,3.60327e+08
26WIMPI-S15SCPRH,26WUUSPARANISE2O,"Fossil Gas",2015,1896901,0.546,0.992,7.20822e+08
26WIMPI-S07SCPZX,26WUUSPEZIA-CE3T,"Fossil Hard coal",2015,2540820,0.562,0.992,2.15182e+09
26WIMPI-S16CDMNU,26WUSRGNPGLCNT1P,"Fossil Gas",2015,947406,0.135,0.992,3.66807e+08
26WIMPI-S20EONCO,26WUSTTNNRGSRL1T,"Fossil Oil",2015,63289,0.091,0.992,4.9049e+07
26WIMPI-S20SCLC8,26WUSULCIS-CEN2C,"Fossil Hard coal",2015,859685,0.396,0.992,8.5655e+08
26WIMPI-S20SCLC8,26WUUSULCIS-CE3T,"Fossil Hard coal",2015,440275,0.278,0.992,4.38669e+08
26WIMPI-S20EPYPZ,26WUSYNDLSPPRT1X,Other,2015,0,0.000,0.608,
26WIMPIAMENTO-1T,26WTAGLIAMENTO1J,"Hydro Run-of-river and poundage",2015,302276,0.158,0.992,0
26WIMPI-T20TLRAJ,26WUUUUTALORO11V,"Hydro Pumped Storage",2015,239431,0.115,0.992,0
26WIMPI-S03TVZZK,26WUUTAVAZZANO5Z,"Fossil Gas",2015,1833669,0.276,0.992,7.23594e+08
26WIMPI-S03TVZZK,26WTAVAZZANO-C64,"Fossil Gas",2015,531633,0.159,0.992,2.09791e+08
26WIMPI-S19TCRMT,26WUUTERMINI-I4H,"Fossil Gas",2015,78138,0.036,0.992,4.45387e+07
26WIMPI-S19TCRMT,26WUTERMINI-I42G,"Fossil Gas",2015,102438,0.100,0.992,6.36978e+07
26WIMPI-S19TCRMT,26WUUTERMINI-I5F,"Fossil Gas",2015,66178,0.065,0.992,4.11507e+07
26WIMPI-S19TCRMT,26WUUTERMINI-I6D,"Fossil Gas",2015,3163964,0.495,0.992,1.20231e+09
26WIMPI-S03DBLMQ,26WUTNRSDLMNSP15,Other,2015,109684,0.103,0.992,
26WIMPI-S04TRBLJ,26WUUUUTORBOLE1H,"Hydro Run-of-river and poundage",2015,248794,0.260,0.992,0
26WIMPI-0066050X,26WUTORINONORD1C,"Fossil Gas",2015,2127362,0.620,0.992,8.08398e+08
26WIMPI-S12TRRVU,26WUUTORREVALD49,"Fossil Gas",2015,0,0.000,0.992,0
26WIMPI-S12TRRLD,26WUUTORREVALN2K,"Fossil Hard coal",2015,3520391,0.659,0.992,3.13834e+09
26WIMPI-S12TRRLD,26WUUTORREVALN3I,"Fossil Hard coal",2015,4117634,0.771,0.992,3.67076e+09
26WIMPI-S12TRRLD,26WUUTORREVALN4G,"Fossil Hard coal",2015,4341886,0.813,0.992,3.87068e+09
26WIMPI-S06TRVC2,26WUTORVISCOSA1F,"Fossil Gas",2015,2027917,0.281,0.992,8.00247e+08
26WIMPI-S12ATCRM,26WUUTOR-DI-VA1F,"Fossil Gas",2015,0,0.000,0.992,0
26WIMPI-S19TCRPN,26WUUTRAPANI-C1M,"Fossil Gas",2015,49318,0.054,0.992,2.97649e+07
26WIMPI-S19TCRPN,26WUUTRAPANI-C2K,"Fossil Gas",2015,50421,0.055,0.992,3.04306e+07
26WIMPI-S15TDARG,26WUTRMVLRZZTR3M,Other,2015,609640,0.709,0.992,
26WIMPI-S12TRRVU,26WUTRRVLDLIGA55,"Fossil Gas",2015,653279,0.095,0.992,2.57794e+08
26WIMPI-S12TRRVU,26WUTRRVLDLIGA63,"Fossil Gas",2015,145060,0.043,0.992,5.72429e+07
26WIMPI-S03TRBGZ,26WUUUUTURBIGO3M,"Fossil Gas",2015,0,0.000,0.992,0
26WIMPI-S03TRBGZ,26WUUUUTURBIGO4K,"Fossil Gas",2015,1617071,0.233,0.992,6.14487e+08
26WIMPI-S07VTDR2,26WUUUVADOTERM5P,"Fossil Gas",2015,1239457,0.188,0.992,4.70994e+08
26WIMPI-S07VTDR2,26WUUVADO-TERM3T,"Fossil Hard coal",2015,0,0.000,0.992,0
26WIMPI-S07VTDR2,26WUUVADO-TERM4R,"Fossil Hard coal",2015,0,0.000,0.992,0
26WIMPIMONICA-1D,26WVALCAMONICA1Y,"Hydro Run-of-river and poundage",2015,282466,0.250,0.992,0
26WIMPI-S09VSLLJ,26WUUVALLE-SEC1Z,Geothermal,2015,811136,0.819,0.992,
26WIMPI-S02VLPL3,26WUUVALPELLIN15,"Hydro Water Reservoir",2015,390260,0.345,0.992,0
26WIMPI-S01VNSE6,26WUUUUUVENAUS10,"Hydro Water Reservoir",2015,345636,0.173,0.992,0
26WIMZI-S01BVRG0,26WUUUVERZUOLO2R,"Fossil Gas",2015,21296,0.018,0.992,1.01626e+07
26WIMPI-S03VEGHN,26WUUUUVOGHERA14,"Fossil Gas",2015,1648780,0.498,0.992,6.26536e+08
48WSTN00000USKMZ,48W00000USKM-13T,"Fossil Hard coal",2015,11899,0.656,0.017,1.56591e+07
48WSTN00000USKMZ,48W00000USKM-14R,"Fossil Hard coal",2015,180805,0.550,0.310,2.37939e+08
48WSTN00000USKMZ,48W00000USKM-15P,"Fossil Hard coal",2015,0,0.000,0.000,0
16WFRADES------T,16WFRADES1-----F,"Hydro Pumped Storage",2015,220257,0.265,0.997,0
16WFRADES------T,16WFRADES2-----8,"Hydro Pumped Storage",2015,220551,0.266,0.997,0
17W100P100P02675,17W100P100P0046L,"Fossil Oil",2015,15706,0.010,1.000,1.28715e+07
17W100P100P02683,17W100P100P0047J,"Fossil Oil",2015,14709,0.009,1.000,1.20545e+07
17W100P100P02691,17W100P100P0048H,"Fossil Oil",2015,17405,0.011,1.000,1.42639e+07
16WVALEIRA-----B,16WVALEIR1-----0,"Hydro Run-of-river and poundage",2015,217773,0.312,0.997,0
16WVALEIRA-----B,16WVALEIR2-----U,"Hydro Run-of-river and poundage",2015,168096,0.241,0.997,0
16WVALEIRA-----B,16WVALEIR3-----N,"Hydro Run-of-river and poundage",2015,145724,0.209,0.997,0
18WVAN2-12345-0W,18WVAN2-12345-BA,Nuclear,2015,7452839,0.814,1.000,0
44W-T-YT-000012L,44W-T-YT-1000174,"Fossil Hard coal",2015,940967,0.488,0.987,9.61839e+08
44W-T-YT-000012L,44W-T-LV-1000078,"Fossil Hard coal",2015,0,0.000,0.987,0
41W3185595680EL8,41WVE3------TG16,"Fossil Gas",2015,233796,0.161,0.923,
41W3185595680EL8,41WVE3------TG24,"Fossil Gas",2015,41,0.000,0.923,
49W000000000046W,49W0000000000229,"Fossil Gas",2015,590554,0.195,0.989,3.33663e+08
49W000000000046W,49W0000000000237,"Fossil Gas",2015,1453842,0.447,0.989,8.21421e+08
