eic_p,eic_g,min_load,ramp_up,ramp_down,minimum_up_time,minimum_down_time,eff,best_source
26WIMPI-S12MCNTU,26WUUUMONTALTO3H,0.282,0.014,-0.014,60,105,0.340,Class_derived
26WIMPI-S12MCNTU,26WUUUMONTALTO2J,0.282,0.014,-0.014,60,105,0.340,Class_derived
26WIMPI-S12MCNTU,26WUUUMONTALTO4F,0.282,0.014,-0.014,60,105,0.340,Class_derived
26WIMPI-S05PMAR7,26WUUUULEVANTE35,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S05PMAR7,26WUUUULEVANTE43,0.335,0.011,-0.013,77,71,0.460,OEM_derived
26WIMPI-C16FERT1,26WUSANCHIRICO1P,0.052,0.014,-0.014,837,60,,
26WIMPI-07660933,26WUTVRNCADUTA1X,0.052,0.014,-0.014,837,60,,
26WIMPI-S16GRC2Q,26WUUUUUGRECI21E,0.052,0.014,-0.014,837,60,,
26WIMPI-0390312K,26WUVNTPANSANO1D,0.052,0.014,-0.014,837,60,,
26WIMPI-S13PECR1,26WUPRCLCCCLLO1O,0.052,0.014,-0.014,837,60,,
26WIMPI-S13BCRGJ,26WUUUAVEZZANO10,,,,,,,
26WIMPI-S15STTV3,26WUCNTRLDTVRL1D,0.308,0.012,-0.014,152,76,0.520,OEM_derived
26WIMPI-0137768T,26WUSNTNDRNRGP1M,,,,,,,
26WIMPI-S18PEMAC,26WUPRCLCMRCRL15,0.052,0.014,-0.014,837,60,,
26WIMPI-S02CHVNI,26WUUUCHAVONNE1C,0.2,0.015,-0.015,307,63,,
26WIMPI-M03IMSLN,26WUUMANTELERA1I,0.2,0.015,-0.015,307,63,,
26WIMPI-S07SMNC8,26WUSNMCHLCRSO10,0.211,0.014,-0.014,60,60,,
26WIMPI-S01CSTD6,26WUUCASTELDEL1X,0.211,0.014,-0.014,60,60,,
26WIMPI-S09CRFNL,26WUUUUCORFINO1R,0.2,0.015,-0.015,307,63,,
26WIMPI-S08LCCS4,26WUULA-CASELL1P,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S08LCCS4,26WUULA-CASELL2N,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S08LCCS4,26WUULA-CASELL3L,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S08LCCS4,26WUULA-CASELL4J,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S13SMSZ1,26WUUUUSAGITTA1H,0.2,0.015,-0.015,307,63,,
26WIMPI-S13SMSZ1,26WUUUUSAGITTA2F,0.2,0.015,-0.015,307,63,,
26WIMPI-S01KMBRG,26WUUUUUUUUCHP1G,,,,,,,
26WIMPI-0089078L,26WUSTBLMNTVLL19,,,,,,,
26WIMPI-01113115,26WUUUUILPRIMO1H,,,,,,,
26WIMPI-0604090P,26WUHPTSTSLAR22Z,,,,,,,
26WIMPI-S09R2NC7,26WUUUURANCIA21K,,,,,,,
26WIMPI-04529968,26WUUUTRETORRI1J,0.052,0.014,-0.014,837,60,,
26WIMPI-S19TCRMT,26WUUTERMINI-I6D,0.308,0.012,-0.014,152,76,0.540,OEM_derived
26WIMPI-S19TCRMT,26WUUTERMINI-I5F,0.139,0.014,-0.013,86,105,0.330,emissions_15_derived
26WIMPI-S19TCRMT,26WUUTERMINI-I4H,0.268,0.008,-0.009,60,132,0.360,emissions_15_derived
26WIMPI-S19TCRMT,26WUTERMINI-I42G,0.139,0.014,-0.013,86,105,0.330,emissions_15_derived
26WIMPI-S16CRNTX,26WUMNRVNMRGCN1D,0.052,0.014,-0.014,837,60,,
26WIMPI-S15B4SC7,26WUBSCCIA48MW1H,0.052,0.014,-0.014,837,60,,
26WIMPII-LIRO-1L,26WUUUUUUULIRO13,0.211,0.014,-0.014,60,60,,
26WIMPI-S12ASCL1,26WUUUSALISANO21,0.2,0.015,-0.015,307,63,,
26WIMYI-S04BZZOB,26WUUUUUBOAZZO1Z,0.211,0.014,-0.014,60,60,,
26WIMPI-S09C2RBZ,26WUUUCARBOLI21Y,,,,,,,
26WIMPI-S20SBSDQ,26WUSANBASILIO1Z,0.052,0.014,-0.014,837,60,,
26WIMPI-S01PTRRQ,26WUUPIETRAPOR1F,0.2,0.015,-0.015,307,63,,
26WIMPI-S03ACMNW,26WUUUUCASSANO2I,0.308,0.012,-0.014,152,76,0.520,OEM_derived
26WIMPI-S18SCMR8,26WUSMRICRICHI16,0.308,0.012,-0.014,152,76,0.520,OEM_derived
26WIMPI-S18S2TRR,26WUUUSATRIANO28,0.2,0.015,-0.015,307,63,,
26WIMPI-S18MRCR8,26WUUUUMERCURE1Q,,,,,,,
26WIMPI-06840776,26WUSGTBOMASSA12,,,,,,,
26WIMPI-S08CTRPG,26WUUCARPI-TUR2E,,,,,,,
26WIMPI-S08CTRPG,26WUUCARPI-TUR1G,,,,,,,
26WIMPI-0073522R,26WUNDRMDA45MW11,,,,,,,
26WIMPI-S07RCNTJ,26WCNTRLDRLTT49Q,0.2,0.015,-0.015,307,63,,
26WIMPI-S04GRGNS,26WUUUUUGRIGNO1W,0.2,0.015,-0.015,307,63,,
26WIMPI-S19CECEJ,26WUUUUCACCAMO1A,0.052,0.014,-0.014,837,60,,
26WIMPI-S08CENT6,26WUCNTRNRGFRR12,,,,,,,
26WIMPI-S02GRSSV,26WUUGRESSONEY17,0.211,0.014,-0.014,60,60,,
26WIMZI-S13SCNDR,,,,,,,,
26WIMPI-S05AGRD9,26WUUUUUAGORDO1W,0.2,0.015,-0.015,307,63,,
26WIMPI-S16CDMNU,26WUSRGNPGLCNT1P,0.308,0.012,-0.014,152,76,0.530,OEM_derived
26WIMPI-S12FIRFK,26WUUUUFARFA-I17,0.2,0.015,-0.015,307,63,,
26WIMPI-S03GCRD7,26WUUUUGORDONA1F,0.2,0.015,-0.015,307,63,,
26WIMPIAMENTO-1T,26WTAGLIAMENTO1J,0.185,0.013,-0.013,36,37,,
26WIMPI-S07CRSBI,26WUCRSBRZNSCA1S,0.211,0.014,-0.014,60,60,,
26WIMPI-S01LMEIK,26WUUUUUULEMIE16,0.2,0.015,-0.015,307,63,,
26WIMPI-S14MCCH1,26WUUMACCHIAVF1H,0.052,0.014,-0.014,837,60,,
26WIMPI-0604444G,26WURMNRZNPRMR1R,,,,,,,
26WIMPI-S16T2RO9,26WUUUUUTROIA22Z,0.052,0.014,-0.014,837,60,,
26WIMPI-S20NTLV1,26WUNULVITERGU1Z,0.052,0.014,-0.014,837,60,,
26WIMPI-S08EFNP0,26WUSCTNPWPFRR28,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S08EFNP0,26WUSCTNPWPFRR36,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S01VRZAE,26WUUUUUUVARZO1M,0.2,0.015,-0.015,307,63,,
26WIMPI-S04MRLNK,26WUUMARLENG-M1Q,0.2,0.015,-0.015,307,63,,
26WIMPI-S03CLTCO,26WUULAMARMORA16,0.169,0.009,-0.011,110,60,0.230,Class_derived
26WIMPI-0604578W,26WUUHPRILPE021Y,0.2,0.015,-0.015,307,63,,
26WIMPI-0580565K,26WUFRRRRANOVA1E,,,,,,,
26WIMPI-S01ENRBQ,26WUUENERBIELL1T,,,,,,,
26WIMPI-S04ALAAF,26WUUUUUUUUALA1I,0.2,0.015,-0.015,307,63,,
26WIMPI-S19MDENN,26WUMONTEDURRA1R,0.052,0.014,-0.014,837,60,,
26WIMPI-S12FIRAU,26WUUUFARFA-II1B,0.2,0.015,-0.015,307,63,,
26WIMPI-0304850Q,26WULCNTARASUD1E,0.052,0.014,-0.014,837,60,,
26WIMPI-S20BSPWE,26WUBPWRSRDGNA12,,,,,,,
26WIMPI-0684906U,26WUUUUUUELCE214,0.052,0.014,-0.014,837,60,,
26WIMPI-0086935I,26WUPSCINAWIND1Y,0.052,0.014,-0.014,837,60,,
26WIMPI-0304845J,26WULCLCRBRGSN1P,0.052,0.014,-0.014,837,60,,
26WIMPI-S16O1LV5,26WULIVOLA16MW19,0.052,0.014,-0.014,837,60,,
26WIMPI-S15CASTI,26WUCSTLNVDCNZ1Z,0.052,0.014,-0.014,837,60,,
26WIMPI-R16CRSTQ,26WUFRANCIOSA21X,0.052,0.014,-0.014,837,60,,
26WIMPI-01417304,26WUPRCDSTALLA1E,,,,,,,
26WIMPI-S12SCLLM,26WUUUSCALELLE18,0.2,0.015,-0.015,307,63,,
26WIMPI-S05BTRGK,26WUUBORGO-TRE15,,,,,,,
26WIMPI-0043227A,26WULLSVTTRDLL2Y,,,,,,,
26WIMPI-0043227A,26WULLSVTTRDLL3W,,,,,,,
26WIMPI-0043227A,26WULZSVTTRDLL1U,,,,,,,
26WIMPI-S02CHMP4,26WUUCHAMPAGNE3P,0.2,0.015,-0.015,307,63,,
26WIMPI-0364301N,26WUSNTLBERTO212,,,,,,,
26WIMPI-0410150O,26WUMPNTLCSMBC1P,0.052,0.014,-0.014,837,60,,
26WIMPI-01128175,26WUSNNRGYPRTN1Q,,,,,,,
26WIMPI-0817510V,26WUCSSINOMETA1Y,,,,,,,
26WIMPI-S03MSNA5,26WUUUUUMASINO1X,0.2,0.015,-0.015,307,63,,
26WIMPI-S19GRRTK,26WUGIARRATANA14,0.052,0.014,-0.014,837,60,,
26WIMPI-0304843N,26WULCNTRANORD1P,0.052,0.014,-0.014,837,60,,
26WIMPI-0206435Z,26WUFRRRFCMRT218,,,,,,,
26WIMPI-0675918O,26WUSZGVNNWNDF1F,0.052,0.014,-0.014,837,60,,
26WIMPI-S05STNGL,26WUUUUUSTANGA15,0.2,0.015,-0.015,307,63,,
26WIMPI-S19PCRLE,26WUUUPRIOLO-C13,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S19PCRLE,26WUUUPRIOLO-C21,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S18MRCLK,26WUMRCLLINARA1R,0.052,0.014,-0.014,837,60,,
26WIMPI-S09PNCC3,26WUUUPIANACCE11,,,,,,,
26WIMPI-S11PRRTN,26WUUPORTA-ROM1S,0.2,0.015,-0.015,307,63,,
26WIMPINAGRTT-1O,26WUTROINAGRTT14,0.211,0.014,-0.014,60,60,,
26WIMPI-S01MNRFF,26WUUMIRAFIORI1S,,,,,,,
26WIMPI-S20ESNC8,26WUUUS20ESNC01Q,0.169,0.009,-0.011,110,60,0.360,Class_derived
26WIMPI-S20ESNC8,26WUPLMREUROPA1B,0.169,0.009,-0.011,110,60,0.360,Class_derived
26WIMPI-S05MCPLT,26WUUM--CIAPEL11,0.211,0.014,-0.014,60,60,,
26WIMPI-0460320W,26WUCNTRLLTTRC7J,,,,,,,
26WIMPI-S15IESIV,26WUUSAVIGNANO1A,0.052,0.014,-0.014,837,60,,
26WIMPI-S16CEPNH,26WUCLLCPTRMNT17,0.052,0.014,-0.014,837,60,,
26WIMPI-S16BTRAJ,26WUUUUBARI-TE19,,,,,,,
26WIMPI-S16BTRAJ,26WUUUUBARI-TE35,,,,,,,
26WIMPI-S16BTRAJ,26WUUUUBARI-TE27,,,,,,,
26WIMPI-S09RSNOR,26WUUUUUUROSEN1B,0.335,0.011,-0.013,77,71,0.550,Class_derived
26WIMPI-S03VEGHN,26WUUUUVOGHERA14,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S09PTMBP,26WUUUPIOMBINO18,0.196,0.009,-0.013,97,112,0.360,Class_derived
26WIMPI-S09PTMBP,26WUUUPIOMBINO26,0.196,0.009,-0.013,97,112,0.360,Class_derived
26WIMPI-S09PTMBP,26WUUUPIOMBINO34,0.196,0.009,-0.013,97,112,0.360,Class_derived
26WIMPI-S09PTMBP,26WUUUPIOMBINO42,0.196,0.009,-0.013,97,112,0.360,Class_derived
26WIMPI-0686464Q,26WUULACEDONIA16,0.052,0.014,-0.014,837,60,,
26WIMPI-S18M1CN9,26WUUZMUCONE1S1I,0.211,0.014,-0.014,60,60,,
26WIMPI-01473496,26WUPSCUSOEOLO1Q,0.052,0.014,-0.014,837,60,,
26WIMPI-S03EMC43,26WUNPWRMNTOVA2N,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S03EMC43,26WUNPWRMNTOVA1P,0.286,0.011,-0.012,69,89,0.470,Class_derived
26WIMPI-S03EMC43,26WUNPWRMNTOVA3L,0.335,0.011,-0.013,77,71,0.540,OEM_derived
26WIMPI-S12PFNT3,26WUUPONTE-FEL1S,0.2,0.015,-0.015,307,63,,
26WIMPI-S15IFVP4,26WUUIVPC-FOIA1N,0.052,0.014,-0.014,837,60,,
26WIMPI-S17VIBGU,26WUUUUUVAGLIO3Y,0.052,0.014,-0.014,837,60,,
26WIMPI-S04SRNT9,26WUUSARENTINO1R,0.2,0.015,-0.015,307,63,,
26WIMPI-S19CCNR5,26WUCZTRDCOLLA1F,0.052,0.014,-0.014,837,60,,
26WIMPI-S02CHMGM,26WUUCHAMPAGNE4N,0.2,0.015,-0.015,307,63,,
26WIMPI-S15ICDVL,26WUUZASALBORE15,0.052,0.014,-0.014,837,60,,
26WIMPI-M04CMGIF,26WUCMGMRANDIN1W,0.2,0.015,-0.015,307,63,,
26WIMPI-S12TRRLD,26WUUTORREVALN2K,0.28,0.011,-0.013,211,69,0.380,emissions_15_derived
26WIMPI-S12TRRLD,26WUUTORREVALN4G,0.28,0.011,-0.013,211,69,0.380,emissions_15_derived
26WIMPI-S12TRRLD,26WUUTORREVALN3I,0.28,0.011,-0.013,211,69,0.380,emissions_15_derived
26WIMPI-S01SNFRY,26WUUUSANFRONT13,0.2,0.015,-0.015,307,63,,
26WIMPI-0403629N,26WUUUUBONORVA1C,0.052,0.014,-0.014,837,60,,
26WIMPI-S19TCRPN,26WUUTRAPANI-C2K,0.139,0.014,-0.013,86,105,0.340,Class_derived
26WIMPI-S19TCRPN,26WUUTRAPANI-C1M,0.139,0.014,-0.013,86,105,0.340,Class_derived
26WIMPI-S09NSVSF,26WUUNUOVA-SAS1Y,,,,,,,
26WIMPI-S03ACMSM,26WUUCTE-DEL-M2E,0.335,0.011,-0.013,77,71,0.520,OEM_derived
26WIMPI-S19CCNT1,26WUUCONTRASTO1S,0.2,0.015,-0.015,307,63,,
26WIMPI-S16ORDNF,26WURDNVLLSCDL1V,0.052,0.014,-0.014,837,60,,
26WIMPI-S19APGPP,26WUCTNUCENORD3P,0.335,0.011,-0.013,77,71,0.480,Class_derived
26WIMPI-S19APGPP,26WUCTNUCENORD2R,0.335,0.011,-0.013,77,71,0.480,Class_derived
26WIMPI-S19APGPP,26WUCTNUCENORD1T,0.308,0.012,-0.014,152,76,0.490,OEM_derived
26WIMPI-S08DCSTV,26WUDSTRCGNRZN1F,,,,,,,
26WIMPI-S16CDDT8,26WUPRCLCCSTLN12,0.052,0.014,-0.014,837,60,,
26WIMPI-S01TLSSX,26WUUUTELESSIO1Q,0.121,0.015,-0.015,60,60,,
26WIMPI-S18PELCB,26WUPRCOEOLICO15,0.052,0.014,-0.014,837,60,,
26WIMPI-S03RDLMM,26WUUREA-DALMI1I,,,,,,,
26WIMPI-S03GCRV8,26WUUGRAVEDONA1T,0.2,0.015,-0.015,307,63,,
26WIMPI-0601951E,26WUPPLMBNTLNT1C,,,,,,,
26WIMPI-0693963H,26WUUGIRIFALCO1O,,,,,,,
26WIMPI-S03CRVER,26WUUUUUUCREVA1S,0.2,0.015,-0.015,307,63,,
26WIMPI-S04RVRTN,26WUCNTRLCGNRZ7A,,,,,,,
26WIMPI-S04RVRTN,26WUUUS04RVRT010,,,,,,,
26WIMPI-S20NMGRF,26WUUUUUUNURRI18,0.052,0.014,-0.014,837,60,,
26WIMPITOADDA-1T,26WUUUALTOADDA15,0.185,0.013,-0.013,36,37,,
26WIMPI-S03PSCI7,26WUUUUUPAISCO1Q,0.2,0.015,-0.015,307,63,,
26WIMPI-S19SBCLB,26WUSCLFNBGNI216,0.052,0.014,-0.014,837,60,,
26WIMPI-0604630J,26WUUUSSPC00181K,0.052,0.014,-0.014,837,60,,
26WIMPI-S05FTSNK,26WUUUFUSINA-T26,0.479,0.009,-0.013,221,134,0.320,Class_derived
26WIMPI-S05FTSNK,26WUUUFUSINA-T34,0.479,0.009,-0.013,221,134,0.320,Class_derived
26WIMPI-S05FTSNK,26WUUUFUSINA-T42,0.479,0.009,-0.013,221,134,0.320,Class_derived
26WIMPI-S05FTSNK,26WUUUUFUSINAT63,,,,,,,
26WIMPI-S05FTSNK,26WUUUFUSINA-T18,0.485,0.009,-0.012,151,83,0.270,Class_derived
26WIMPI-S15CLRAF,26WUUUUUCALORE1S,0.2,0.015,-0.015,307,63,,
26WIMPI-S09AMBNQ,26WUUUAMBIENTE1W,,,,,,,
26WIMPI-0430053A,26WUMPNTDGNRZN1B,,,,,,,
26WIMPI-0604631H,26WUUUSSPC00191H,0.052,0.014,-0.014,837,60,,
26WIMPI-S01QNCNO,26WUUQUINCINET1Y,0.2,0.015,-0.015,307,63,,
26WIMPI-S09PNCNI,26WUUPIANCASTA6P,,,,,,,
26WIMPI-0685617W,26WUSMRCRCHLCO18,0.052,0.014,-0.014,837,60,,
26WIMPI-S06CNVAX,26WUUUUUCANEVA2N,0.2,0.015,-0.015,307,63,,
26WIMPI-S15RCGLO,26WURICIGLIANO15,0.052,0.014,-0.014,837,60,,
26WIMPI-S16IVVP8,26WUUVOLTURARA20,0.052,0.014,-0.014,837,60,,
26WIMPI-S06TRVC2,26WUTORVISCOSA1F,0.308,0.012,-0.014,152,76,0.520,OEM_derived
26WIMPI-S04FBNTR,26WUUFONTANA-B1Q,0.211,0.014,-0.014,60,60,,
26WIMPI-0561577K,26WUUUUGUARDIA21,0.052,0.014,-0.014,837,60,,
26WIMPI-S11FRLUF,26WUUUUUUFURLO1X,0.2,0.015,-0.015,307,63,,
26WIMPI-S02MNTJW,26WUUMONTJOVET1V,0.2,0.015,-0.015,307,63,,
26WIMPI-S09NPMVB,26WUNVPGNONEMS1X,,,,,,,
26WIMPI-S18ETAEZ,26WUUUUUETASRL1F,,,,,,,
26WIMPI-07709193,26WUUUULAVELLO1T,0.052,0.014,-0.014,837,60,,
26WIMPI-S08MSCHV,26WUUMUSCHIOSO1W,0.2,0.015,-0.015,307,63,,
26WIMPI-S05QRUEM,26WUUUUUUQUERO1Y,0.2,0.015,-0.015,307,63,,
26WIMPI-0302023Y,26WUUSDOMENICA1Y,0.052,0.014,-0.014,837,60,,
26WIMPI-S20CWFTT,26WUUCWFITALIA1U,0.485,0.009,-0.012,151,83,0.270,Class_derived
26WIMPI-S01NNVLN,26WUUUUUUNOVEL1U,0.286,0.011,-0.012,69,89,0.470,Class_derived
26WIMPI-0092784R,26WUFTVLTCNRSL1E,,,,,,,
26WIMPI-S05FDLTJ,26WUUUUFADALTO1G,0.078,0.015,-0.015,60,57,,
26WIMPI-S09PNCT6,26WUUPIANCASTA7N,,,,,,,
26WIMPI-S19PEVRJ,26WUUUUVIZZINI23,0.052,0.014,-0.014,837,60,,
26WIMPI-S14ENRGS,26WUNRGNTSRLBM1V,,,,,,,
26WIMPI-S01PDMCO,26WUUPIEDIMULE1C,0.2,0.015,-0.015,307,63,,
26WIMPI-S19SNNTP,26WUSANTANINFA1Q,0.052,0.014,-0.014,837,60,,
26WIMYI-S15MNTNB,26WUUMONTELUNG1I,0.2,0.015,-0.015,307,63,,
26WIMPI-S12CTLOS,26WUUUUCOTILIA15,0.211,0.014,-0.014,60,60,,
26WIMPI-S01TRNI7,26WUUUUUUTRINO2P,0.335,0.011,-0.013,77,71,0.500,Class_derived
26WIMPI-05777205,26WUPRCLCPGGML1D,0.052,0.014,-0.014,837,60,,
26WIMPI-S02H1NO5,26WUUUUUUHONE11O,0.2,0.015,-0.015,307,63,,
26WIMPI-S03BCNNO,26WUUISOLA-E-M1P,0.2,0.015,-0.015,307,63,,
26WIMPI-S12TRRVU,26WUUTORREVALD49,0.196,0.009,-0.013,97,112,0.360,Class_derived
26WIMPI-S12TRRVU,26WUTRRVLDLIGA55,0.308,0.012,-0.014,152,76,0.520,OEM_derived
26WIMPI-S12TRRVU,26WUTRRVLDLIGA63,0.335,0.011,-0.013,77,71,0.520,OEM_derived
26WIMPI-S14LTRNT,26WUULARINO-TG1C,0.139,0.014,-0.013,86,105,0.340,Class_derived
26WIMPI-S14LTRNT,26WUULARINO-TG2A,0.139,0.014,-0.013,86,105,0.340,Class_derived
26WIMPI-S14RPBTE,26WURPABOTTONI1W,0.052,0.014,-0.014,837,60,,
26WIMPI-S20CGHNP,26WUUUCOGHINAS18,0.211,0.014,-0.014,60,60,,
26WIMPI-S20CTNTH,26WUUUUTIRSO1S11,0.2,0.015,-0.015,307,63,,
26WIMPI-S03CMMPF,26WUUCAMPO-MOR14,0.121,0.015,-0.015,60,60,,
26WIMPI-S03CRTPB,26WUUUUUCPIGNA19,,,,,,,
26WIMPI-S03BFFTO,26WUUUBOFFETTO17,0.2,0.015,-0.015,307,63,,
26WIMPI-S08IPSL7,26WUUISOLA-PAL13,0.2,0.015,-0.015,307,63,,
26WIMPI-S04NATRE,26WCNTRLNTRNO118,0.124,0.014,-0.014,60,60,,
26WIMPI-S04PGRDE,26WUUP-GARD-ME1H,0.2,0.015,-0.015,307,63,,
26WIMPI-S18SCNDX,26WUCNTRLDSCND24,0.308,0.012,-0.014,152,76,0.530,OEM_derived
26WIMPI-S18SCNDX,26WUCNTRLDSCND16,0.308,0.012,-0.014,152,76,0.530,OEM_derived
26WIMPI-S03IMSLC,26WUUUUUUISOLA17,0.2,0.015,-0.015,307,63,,
26WIMPI-S03IMSLC,26WUUUS03IMSL014,,,,,,,
26WIMPI-0602190V,26WUUUBAGNORE41S,,,,,,,
26WIMZI-S14CMPM0,26WUUCAMPOMARI1F,,,,,,,
26WIMPI-S17PECRE,26WUCMPMGGIORE1S,0.052,0.014,-0.014,837,60,,
26WIMPI-S16EVDNC,26WUUVOLTURARA12,0.052,0.014,-0.014,837,60,,
26WIMPI-0393807F,26WUTRCANCARRO1J,,,,,,,
26WIMPI-S02AVSIS,26WUUUUUUAVISE1Z,0.2,0.015,-0.015,307,63,,
26WIMPI-S17COVDA,26WUUCENTRO-OL1X,,,,,,,
26WIMPI-S20FOMSR,26WUUFIUMESANT3F,0.479,0.009,-0.013,221,134,0.330,emissions_15_derived
26WIMPI-S20FOMSR,26WUUFIUMESANT4D,0.479,0.009,-0.013,221,134,0.330,emissions_15_derived
26WIMPI-S04SCLMF,26WUCNTRLSCLMB5S,0.2,0.015,-0.015,307,63,,
26WIMPI-S04CMGI4,26WUUUUUCIMEGO1U,0.124,0.014,-0.014,60,60,,
26WIMPI-S08ISSLW,26WUUISOLA-SER1S,0.2,0.015,-0.015,307,63,,
26WIMPI-S03SGNCJ,26WUSANGIACOMO1K,0.211,0.014,-0.014,60,60,,
26WIMPI-S04LMSAD,26WUUUULASA-ME1P,0.211,0.014,-0.014,60,60,,
26WIMPI-S09CSPLS,26WUVERFALESIA1X,,,,,,,
26WIMPI-S03ISLIF,26WUUUIIISALTO1E,0.2,0.015,-0.015,307,63,,
26WIMPI-S16MCNT6,26WUMNTCLVELLO1K,0.052,0.014,-0.014,837,60,,
26WIMPI-S05ARSIQ,26WUUUUUUARSIE1C,0.2,0.015,-0.015,307,63,,
26WIMPI-S07SCPZX,26WUUSPEZIA-CE3T,0.483,0.005,-0.011,120,60,0.400,Class_derived
26WIMZI-05933690,26WUUUUJASMINE1K,0.052,0.014,-0.014,837,60,,
26WIMPI-S08TDFRR,26WUCLHRFRLIBG11,,,,,,,
26WIMPI-S01SCPGX,26WUUSPIGNO-CE1U,0.2,0.015,-0.015,307,63,,
26WIMPI-S16DWMNN,26WUUMONTAGUTO1S,0.052,0.014,-0.014,837,60,,
26WIMPI-S19SMCRT,26WUSRRMRROCCO1K,0.052,0.014,-0.014,837,60,,
26WIMPI-S09SLMNI,26WUUUS09SLMN01P,,,,,,,
26WIMPI-S09SLMNI,26WUNVASOLMINE11,,,,,,,
26WIMPI-S05CCCL7,26WUCGCNTRCTTA1C,,,,,,,
26WIMPI-S08UCNGO,26WUNGRCNSLICE11,,,,,,,
26WIMPI-S03ECDVN,26WUUEDIS-CIVI16,0.2,0.015,-0.015,307,63,,
26WIMPI-05318347,26WUGTG1GTG5011C,,,,,,,
26WIMPI-S09GLLCT,26WUUGALLICANO11,0.2,0.015,-0.015,307,63,,
26WIMPI-A16IAVC3,26WUUIVPC-ANZA1R,0.052,0.014,-0.014,837,60,,
26WIMZI-09119890,26WUPGNNI138301D,,,,,,,
26WIMPI-S19PTRNG,26WUPATERNOCLE1L,0.2,0.015,-0.015,307,63,,
26WIMYI-S19ANPAB,26WUUANAPO-C-L1O,0.057,0.014,-0.013,60,60,,
26WIMPI-S15GDSSP,26WUGNSTRDGLSC2L,0.052,0.014,-0.014,837,60,,
26WIMPI-S19CCMR8,26WUCNTRDCORVO1Z,0.052,0.014,-0.014,837,60,,
26WIMPI-S03RGLDS,26WUUUREGOLEDO10,0.2,0.015,-0.015,307,63,,
26WIMPI-S02PNSME,26WUPNTSTMRTIN1W,0.2,0.015,-0.015,307,63,,
26WIMPI-S04SNTNJ,26WUUS-ANTONIO1G,0.2,0.015,-0.015,307,63,,
26WIMPI-S03CCHVL,26WUUCHIAVENNA11,0.2,0.015,-0.015,307,63,,
26WIMPI-S01PMNTP,26WUUPONTE-MAR1S,0.2,0.015,-0.015,307,63,,
26WIMPI-S08CRCBN,26WUCBTRVNNCT11U,,,,,,,
26WIMPI-03342034,26WUUGUARNIERI1M,0.052,0.014,-0.014,837,60,,
26WIMPI-0057309J,26WUSRRDLVNTSD1B,0.052,0.014,-0.014,837,60,,
26WIMPI-S03CDTL1,26WUCNTRLDTRNL1C,0.308,0.012,-0.014,152,76,0.530,emissions_16_derived
26WIMPI-S12ADRR4,26WCNTRLDCGNR48G,,,,,,,
26WIMPI-S20F3LMF,26WUUFLUMENDOS5W,0.211,0.014,-0.014,60,60,,
26WIMPI-S09RDCNB,26WUUNUOVA-RAD1A,,,,,,,
26WIMPI-S17TCNPA,26WUCNTRLTRMLT8I,,,,,,,
26WIMPI-S15GDSNZ,26WUGNSTRDGLSC1N,0.052,0.014,-0.014,837,60,,
26WIMPI-S17AGRIH,26WUUUUUUUAGRI1N,0.211,0.014,-0.014,60,60,,
26WIMPI-S16CRLVZ,26WUCRLUVA16MW1L,0.052,0.014,-0.014,837,60,,
26WIMPI-S13CDGNT,26WUUUUUUGISSI19,0.308,0.012,-0.014,152,76,0.530,OEM_derived
26WIMPI-S13CDGNT,26WUUUUUUGISSI27,0.308,0.012,-0.014,152,76,0.530,OEM_derived
26WIMPI-S02VLPL3,26WUUVALPELLIN15,0.211,0.014,-0.014,60,60,,
26WIMPI-07978333,26WUFNLMLBMSSA1H,,,,,,,
26WIMPI-S19MPWPS,26WUMNTPETRASI1E,0.052,0.014,-0.014,837,60,,
26WIMPI-S01CCBLY,26WCNTRLDCGNR47I,,,,,,,
26WIMPI-M03SFRN0,26WUSZRNGNRZNE21,0.124,0.014,-0.014,60,60,,
26WIMPI-S16TLSVR,26WUTVRNLSTRTN1B,0.052,0.014,-0.014,837,60,,
26WIMPI-S19RFCZ9,26WURCCFICUZZA1G,0.052,0.014,-0.014,837,60,,
26WIMPI-S05CNTRB,,,,,,,,
26WIMPI-S09LPNNY,26WUUULA-PENNA12,0.2,0.015,-0.015,307,63,,
26WIMPI-S14V1LTN,26WUUUVOLTUR1S18,0.2,0.015,-0.015,307,63,,
26WIMPI-0543164A,26WUBGNCHVASSO1N,0.286,0.011,-0.012,69,89,0.470,Class_derived
26WIMPI-0606738Q,26WUCSTLLNTWND1E,0.052,0.014,-0.014,837,60,,
26WIMPI-S08BRLLI,26WUPBRLLPARMA1I,,,,,,,
