gppd_id,name,dukes_name,repd_name,capacity,fuel,repd_id,geo_id,carma_id,repd_id2,owner,year_of_data,source,url,latitude,longitude,geolocation_source
GBR0001772,Ketton Solar Phase 2,Ketton Solar Phase 2,Ketton solar farm - phase 2,3.0855,Solar,1772,,,,Lark Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.6441,-0.5588,UK Renewable Energy Planning Database
GBR2000695,Barra,Barra,,3.0,Oil,,,68610,,,None,,,None,None,
GBR0000376,Hogsbrook Farm - Farm AD,,Hogsbrook Farm - Farm AD,1.0,Biomass,376,,,,Greener for Life Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.6928,-3.3841,UK Renewable Energy Planning Database
GBR0000371,Millerhill AD (Waste AD),,Millerhill AD (Waste AD),1.5,Biomass,371,,,,Ancala Bioenergy (formerly Biogen/Aluana Renewable Energy),2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,55.9255,-3.0834,UK Renewable Energy Planning Database
GBR0000370,Coursers Farm AD Plant (Waste AD),,Coursers Farm AD Plant (Waste AD),3.0,Biomass,370,,,,Agrivert,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.7267,-0.2575,UK Renewable Energy Planning Database
GBR0001774,Oak Cottage,Oak Cottage,Oak Cottage,4.8672,Solar,1774,,,,Anesco,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.8233,-4.8613,UK Renewable Energy Planning Database
GBR0001775,Sycamore Farm,,Sycamore Farm,20.0,Solar,1775,,,,BNRG Renewables,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.9924,0.8763,UK Renewable Energy Planning Database
GBR0005273,Ashby,Ashby,Ashby Solar Farm (a),4.954,Solar,5273,,,,Primrose Solar,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.7227,-1.4853,UK Renewable Energy Planning Database
GBR0005271,Land South Of Bryn Cyrnau Isaf (resubmission),,Land South Of Bryn Cyrnau Isaf (resubmission),5.9,Solar,5271,,,,Green Switch Solutions - Liquidated,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.8338,-4.2807,UK Renewable Energy Planning Database
GBR0005277,Burton Wold Wind Farm South,,Burton Wold Wind Farm South,7.5,Wind,5277,,,,Infinergy/ Muirhall Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.3536,-0.6565,UK Renewable Energy Planning Database
GBR0001198,Upper Clayhill,Upper Clayhill,Land at Upper Clayhill Farm,4.7492,Solar,1198,,,,Lightsource Renewable Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.9159,0.0554,UK Renewable Energy Planning Database
GBR1000377,Didcot GT,Didcot GT,,100.0,Gas,,2929,,,RWE Npower Plc,2017,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,51.6246,-1.2683,GEODB
GBR0005694,Peterlee Solar Farm,,Peterlee Solar Farm,5.0,Solar,5694,,,,Zaravolt Development,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,54.7752,-1.3655,UK Renewable Energy Planning Database
GBR0004684,Mynydd Clogau,Mynydd Clogau,Mynydd Clogau Wind Farm,14.5,Wind,4684,,30066,,Renewable Energy Systems (RES),2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.5784,-3.4285,UK Renewable Energy Planning Database
GBR0004908,Quarrendon Fields,,Quarrendon Fields,1.5,Wind,4908,,,,AWE Renewables,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.8424,-0.836,UK Renewable Energy Planning Database
GBR0004909,Llyn Celyn,,Llyn Celyn,4.5,Hydro,4909,,,,Dwr Cymru Welsh Water,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,52.9438,-3.6712,UK Renewable Energy Planning Database
GBR0005131,Land East Of Wadbrook Farm,,Land East Of Wadbrook Farm,5.0,Solar,5131,,,,INRG Solar,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.8117,-2.959,UK Renewable Energy Planning Database
GBR0004350,Cairnborrow - resubmission,,Cairnborrow - resubmission,10.0,Wind,4350,,,,Engie (GDF Suez),2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,57.4639,-2.8992,UK Renewable Energy Planning Database
GBR1000373,Staythorpe C,Staythorpe C,,1772.0,Gas,,5543,,,RWE Npower Plc,2017,Department for Business Energy & Industrial Strategy,https://www.gov.uk/government/collections/digest-of-uk-energy-statistics-dukes,53.073,-0.8585,GEODB
GBR0004906,Arla Dairy Site,,Arla Dairy Site,5.0,Biomass,4906,,,,Olleco and Arla Foods,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.8206,-0.7382,UK Renewable Energy Planning Database
GBR0005132,Fell View,Fell View,Land at Fell View Farm (Phase 1),4.258,Solar,5132,,,,Anesco,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.7918,-2.6203,UK Renewable Energy Planning Database
GBR0006490,Rye Meads Sewerage Treatment Works,,Rye Meads Sewerage Treatment Works,2.3,Biomass,6490,,,,Thames Water Utilities,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.7749,0.0171,UK Renewable Energy Planning Database
GBR0001516,Woodlands Farm Solar Park,,Woodlands Farm Solar Park,10.0,Solar,1516,,,,Lightsource Renewable Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.3252,1.124,UK Renewable Energy Planning Database
GBR0004155,Monnaboy Wind Farm,,Monnaboy Wind Farm,12.0,Wind,4155,,,,Gaelectric Developments/ CGN Europe Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,54.9791,-7.1341,UK Renewable Energy Planning Database
GBR0001515,Wilsom Farm,,Wilsom Farm,11.0,Solar,1515,,,,Canadian solar,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.1424,-0.9501,UK Renewable Energy Planning Database
GBR0001513,Vantage Point,,Vantage Point,1.4,Solar,1513,,,,Bee Green Solar,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.8676,-2.4853,UK Renewable Energy Planning Database
GBR0000579,Beddingham 'B' Landfill Scheme,,Beddingham 'B' Landfill Scheme,7.5,Waste,579,,,,Haul Waste Disposal Ltd,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.849,0.0513,UK Renewable Energy Planning Database
GBR0000578,Shelford Landfill Scheme,,Shelford Landfill Scheme,1.9,Waste,578,,,,Brett Waste Management Ltd,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.2981,1.0999,UK Renewable Energy Planning Database
GBR0000577,Butchersfield Landfill Site,,Butchersfield Landfill Site,3.0,Waste,577,,,,NORWEB Generation Limited,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.3977,-2.4842,UK Renewable Energy Planning Database
GBR0000576,Deerplay Landfill Site,,Deerplay Landfill Site,2.0,Waste,576,,,,CAIRD ENVIRONMENTAL LTD,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,53.7509,-2.2199,UK Renewable Energy Planning Database
