NOTE: The Global Power Plant Database is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,geolocation_source,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
MIRASH,CARMA0060503,,,ALB,,CARMA,http://carma.org/,40.5092,20.9283,CARMA,,,,,,,,
MUHUR,CARMA0060501,,,ALB,,CARMA,http://carma.org/,41.6797,20.3314,CARMA,,,,,,,,
NIKOLICE,CARMA0060526,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
OJORICE,CARMA0060533,,,ALB,,CARMA,http://carma.org/,41.1794,20.3150,CARMA,,,,,,,,
ORGJOST,CARMA0060528,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
PICAR,CARMA0060510,,,ALB,,CARMA,http://carma.org/,40.0758,20.1389,CARMA,,,,,,,,
PIQERAS,CARMA0060544,,,ALB,,CARMA,http://carma.org/,39.8756,20.0053,CARMA,,,,,,,,
POTGOZHAN,CARMA0060540,,,ALB,,CARMA,http://carma.org/,40.9025,20.6525,CARMA,,,,,,,,
QARRISHTE,CARMA0060535,,,ALB,,CARMA,http://carma.org/,41.1794,20.3150,CARMA,,,,,,,,
QELIDHONE,CARMA0060523,,,ALB,,CARMA,http://carma.org/,40.6186,20.7808,CARMA,,,,,,,,
QEPARO,CARMA0036174,,,ALB,,CARMA,http://carma.org/,40.4667,19.4897,CARMA,,,,,,,,
RAJAN,CARMA0060520,,,ALB,,CARMA,http://carma.org/,40.3378,20.6789,CARMA,,,,,,,,
REHOVE,CARMA0060494,,,ALB,,CARMA,http://carma.org/,40.3378,20.6789,CARMA,,,,,,,,
SELCE,CARMA0060529,,,ALB,,CARMA,http://carma.org/,42.5047,19.6044,CARMA,,,,,,,,
SHKOPETI,CARMA0041361,,,ALB,,CARMA,http://carma.org/,41.7061,19.8250,CARMA,,,,,,,,
