country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
AUS,Australia,Tamala Park,AUS0000356,4.65,-31.7078,115.7266,Waste,,,,,Landfill Gas and Power Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tamar Valley,AUS0000138,390.0,-41.1401,146.9036,Gas,,,,,Aurora Energy (Tamar Valley),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tarong,AUS0000171,1400.0,-26.7824,151.9153,Coal,,,,,Stanwell Corporation Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tarong,AUS0000169,15.0,-26.7858,151.9172,Oil,,,,,Tarong Energy Corporation,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tarong North,AUS0000170,450.0,-26.7758,151.9146,Coal,,,,,Tarong Energy Corporation,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tarraleah,AUS0000119,90.0,-42.3012,146.4572,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tatiara Meats,AUS0000377,0.5,-36.3266,140.7368,Oil,,,,,Vibe Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tatura Biogas Generation Plant,AUS0000018,1.1,-36.4793,145.2350,Waste,,,,,Diamond Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tea Tree Gully,AUS0000344,1.0,-34.8303,138.7129,Waste,,,,,EDL LFG SA Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Telfer Gold Mine,AUS0000230,159.0,-21.7129,122.2091,Gas,,,,,Newcrest Mining Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tennant Creek,AUS0000253,18.2,-19.6549,134.1753,Gas,,,,,NT Power and Water,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Teralba,AUS0000289,4.0,-32.9455,151.6119,Gas,,,,,EnviroGen Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Terminal Storage,AUS0000058,2.5,-34.8393,138.7112,Hydro,,,,,Hydro-Electric Corp Tasmania/SA Water,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,The Drop,AUS0000011,2.5,-35.6043,145.7837,Hydro,,,,,Pacific Hydro Investments Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Ti Tree Bioenergy,AUS0000070,3.3,-27.6802,152.6593,Waste,,,,,Veolia Environmental Services (Aust) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tods Corner,AUS0000118,1.7,-41.9707,146.7938,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tomago Aluminium Smelter,AUS0000290,810.0,-32.8217,151.7178,Gas,,,,,Tomago Aluminium,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Toora Wind Farm,AUS0000069,21.0,-38.6451,146.3441,Wind,,,,,RATCH-Australia,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Torrens Island A,AUS0000240,480.0,-34.8068,138.5213,Gas,,,,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Torrens Island B,AUS0000241,800.0,-34.8052,138.5226,Gas,,,,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tower Mine,AUS0000291,41.2,-34.2207,150.7179,Gas,,,,,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Townsville RSL Stadium Solar Array,AUS0000434,0.34,-19.3079,146.8011,Solar,,,,,Townsville RSL Stadium,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Trevallyn,AUS0000032,95.8,-41.4231,147.1128,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tribute,AUS0000128,84.0,-41.8118,145.6536,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tulla Calder Interchange Solar Array,AUS0000427,0.24,-37.7353,144.8948,Solar,,,,,Tullamarine Calder Alliance,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tully Sugar Mill,AUS0000310,21.4,-17.9373,145.9267,Biomass,,,,,COFCO,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tumut 1 (Upper Tumut),AUS0000292,384.0,-35.9517,148.3637,Hydro,,,,,Snowy Hydro Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tumut 2 (Upper Tumut),AUS0000293,336.0,-35.8813,148.3673,Hydro,,,,,Snowy Hydro Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tumut 3,AUS0000031,1500.0,-35.6112,148.2917,Hydro,,,,,Snowy Hydro Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Tungatinah,AUS0000117,125.0,-42.2967,146.4565,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Umuwa,AUS0000464,0.35,-26.4736,132.0147,Solar,,,,,Silex Systems,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,University of New South Wales,AUS0000319,0.8,-33.9167,151.2354,Gas,,,,,Cogent Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,University of Queensland (St Lucia Campus) Solar Array,AUS0000425,1.2,-27.4950,153.0101,Solar,,,,,University of Queensland,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Upper Lake Margaret,AUS0000133,8.4,-42.0046,145.5437,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Uranquinty,AUS0000294,664.0,-35.1794,147.2157,Gas,,,,,Origin Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Uterne Solar,AUS0000470,1.0,-23.7685,133.8682,Solar,,,,,Epuron,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2014,,,,,
AUS,Australia,Vales Point B,AUS0000295,1320.0,-33.1607,151.5431,Coal,,,,,Delta Electricity,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Valley (Peaking Facility),AUS0000098,300.0,-38.2536,146.5892,Gas,,,,,Snowy Hydro Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Victoria Sugar Mill,AUS0000175,24.0,-18.6508,146.2016,Biomass,,,,,Sucrogen Pty ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Visy Paper Gibson Island,AUS0000445,2.0,-27.4405,153.1158,Biomass,,,,,Visy Pulp & Paper,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,,,,,,
AUS,Australia,Wagerup,AUS0000204,380.0,-32.9160,115.9186,Gas,,,,,Alinta Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Wagerup Bauxite Mine and Alumina Refinery,AUS0000203,98.0,-32.9145,115.9170,Gas,,,,,Alcoa of Australia Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Walkaway Wind Farm,AUS0000002,89.1,-28.9229,114.9282,Wind,,,,,Infigen Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Wallerawang C,AUS0000296,1000.0,-33.4028,150.0833,Coal,,,,,TRUenergy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Warmun,AUS0000369,1.3,-17.0259,128.2113,Oil,,,,,Energy Developments Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Warragamba,AUS0000297,50.0,-33.8832,150.5965,Hydro,,,,,Eraring Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Warrego,AUS0000262,19.0,-19.4434,133.8236,Gas,,,,,,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
AUS,Australia,Waterloo Wind Farm,AUS0000050,111.0,-34.0004,138.9153,Wind,,,,,TRUenergy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,
