CHE,1004024,GEODB,"CARMA/GEO Location Integration [lat: 47.0378, lon: 7.272]"
CHE,1004119,GEODB,"CARMA/GEO Location Integration [lat: 46.1604, lon: 5.9766]"
CHE,1004128,GEODB,"CARMA/GEO Location Integration [lat: 46.0615, lon: 6.9586]"
CHE,1004136,GEODB,"CARMA/GEO Location Integration [lat: 46.30874, lon: 7.43558]"
CHE,1004149,GEODB,"CARMA/GEO Location Integration [lat: 47.5748, lon: 8.4733]"
CHE,1004171,GEODB,"CARMA/GEO Location Integration [lat: 46.9688, lon: 7.4391]"
CHE,1004178,GEODB,"CARMA/GEO Location Integration [lat: 46.0731, lon: 7.4034]"
CHE,1004179,GEODB,"CARMA/GEO Location Integration [lat: 46.15726, lon: 7.20922]"
CHE,1004187,GEODB,"CARMA/GEO Location Integration [lat: 46.72717, lon: 8.3337]"
CHE,1004189,GEODB,"CARMA/GEO Location Integration [lat: 46.1882, lon: 8.0702]"
CHE,1004203,GEODB,"CARMA/GEO Location Integration [lat: 46.1961, lon: 8.1505]"
CHE,1004209,GEODB,"CARMA/GEO Location Integration [lat: 46.56535911, lon: 8.32775618]"
CHE,1004210,GEODB,"CARMA/GEO Location Integration [lat: 46.56535911, lon: 8.32775618]"
CHE,1004211,GEODB,"CARMA/GEO Location Integration [lat: 46.56535911, lon: 8.32775618]"
CHE,1004222,GEODB,"CARMA/GEO Location Integration [lat: 46.6167, lon: 8.30768]"
CHE,1004223,GEODB,"CARMA/GEO Location Integration [lat: 46.6157, lon: 8.30382]"
CHE,1004224,GEODB,"CARMA/GEO Location Integration [lat: 46.617, lon: 8.30627]"
CHE,1004249,GEODB,"CARMA/GEO Location Integration [lat: 46.7021, lon: 8.2353]"
CHE,1004250,GEODB,"CARMA/GEO Location Integration [lat: 46.70857, lon: 8.22597]"
CHE,1004271,GEODB,"CARMA/GEO Location Integration [lat: 47.552, lon: 8.2281]"
CHE,1004273,GEODB,"CARMA/GEO Location Integration [lat: 47.60118607, lon: 8.18447113]"
CHE,1004315,GEODB,"CARMA/GEO Location Integration [lat: 46.84886, lon: 9.01184]"
CHE,1004316,GEODB,"CARMA/GEO Location Integration [lat: 46.84886, lon: 9.01184]"
CHE,1004383,GEODB,"CARMA/GEO Location Integration [lat: 46.0629, lon: 6.9101]"
CHE,1004396,GEODB,"CARMA/GEO Location Integration [lat: 47.0031, lon: 7.241]"
CHE,1004519,GEODB,"CARMA/GEO Location Integration [lat: 46.2042, lon: 6.1355]"
