name,gppd_idnr,latitude,longitude,commissioning_year,source,unit01_MW,unit01_year,unit02_MW,unit02_year,unit03_MW,unit03_year,unit04_MW,unit04_year,unit05_MW,unit05_year,unit06_MW,unit06_year,unit07_MW,unit07_year,unit08_MW,unit08_year,unit09_MW,unit09_year,unit10_MW,unit10_year,unit11_MW,unit11_year,unit12_MW,unit12_year,unit13_MW,unit13_year,unit14_MW,unit14_year,unit15_MW,unit15_year,unit16_MW,unit16_year,unit17_MW,unit17_year,unit18_MW,unit18_year,unit19_MW,unit19_year,unit20_MW,unit20_year
CENTRAL FOTOVOLTAICA CAÑADA HONDA I (ENARSA),ARG0000292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL FOTOVOLTAICA CAÑADA HONDA II (ENARSA),ARG0000293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL FOTOVOLTAICA CAÑADA HONDA III (ENARSA),ARG0000294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL GENERACION SUR,ARG0000318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL LOMA DE LA LATA SA,ARG0000259,-38.512708,-68.604834,1999.5,http://globalenergyobservatory.org/geoid/42232,123,1994,123,1994,123,1994,178,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL NAZARIO BENAVIDEZ,ARG0000300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PARQUE INDUSTRIAL LA BANDA,ARG0000319,-38.062033,-67.94635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL T.GENELBA,ARG0000165,-34.902654,-58.733361,1997.7,http://globalenergyobservatory.org/geoid/42257,218.7,1997,218.7,1997,236.2,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL T.GENELBA PLUS,ARG0000166,-34.902654,-58.733361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),ARG0000311,-31.711171,-60.781118,2013,http://globalenergyobservatory.org/geoid/45390,280,2012,140,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
