"gid","gml_id","nombre","Propietario","Combustible","Potencia MW","Unidades","rca","estado","Fecha Operación","Coordenada Este","Coordenada Norte","Provincia","fuente_bas","fech_crea"
"53","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.53","GUACOLDA","AES GENER S.A.","CARBON / PETCOKE","760.000000000000000","5,00","04-1995 / 49-2004 / 56-2006 / 68-2006 / 175-2006 / 249-2008 / 44-2014","EN OPERACION","1995","278994.832999999984168","6848951.547000000253320","HUASCO","CNE","10-12-2014"
"54","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.54","HUASCO","EMPRESA NACIONAL DE ELECTRICIDAD S.A.","PETROLEO DIESEL","57.700000000000003","3,00","S/I","EN OPERACION","1979","279459.190000000002328","6848582.160000000149012","HUASCO","CNE","10-12-2014"
"55","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.55","SAN LORENZO DE DIEGO DE ALMAGRO (U1-U2-U3)","ENLASA","PETROLEO DIESEL","62.200000000000003","3,00","161-2008","EN OPERACION","2008","396474.799999999988358","7079561.290000000037253","CHANARAL","CNE","10-12-2014"
"56","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.56","TERMOPACIFICO","GENERADORA DEL PACIFICO S.A.","PETROLEO DIESEL","86.057550000000006","60,00","207-2009 / 244-2009","EN OPERACION","2009","363495.500000000000000","6958309.200000000186265","COPIAPO","CNE","10-12-2014"
"57","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.57","BOCAMINA (I-II)","ENDESA","CARBON","478.000000000000000","2,00","S/I","EN OPERACION","1970","129222.721801000006963","5894617.947979999706149","CONCEPCION","CNE","10-12-2014"
"58","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.58","CANETE","SAGESA","PETROLEO DIESEL","4.000000000000000","2,00","S/I","EN OPERACION","2007","113708.767923000006704","5814997.447139999829233","ARAUCO","CNE","10-12-2014"
"59","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.59","CONTULMO","SAGESA","DIESEL","0.800000000000000","1,00","S/I","EN OPERACION","2012","129292.258233999993536","5781971.918499999679625","ARAUCO","CNE","10-12-2014"
"60","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.60","CORONEL","SAGESA","GAS NATURAL","46.810000000000002","1,00","52-2004","EN OPERACION","2005","128847.199236000000383","5900598.609319999814034","CONCEPCION","CNE","10-12-2014"
"61","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.61","HORCONES TG","ARAUCO BIOENERGIA","PETROLEO DIESEL","24.300000000000001","1,00","182-2004 / 170-2006","EN OPERACION","2004","125762.649179000000004","5873294.553620000369847","ARAUCO","CNE","10-12-2014"
"62","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.62","JCE","SAGESA","PETROLEO DIESEL","0.800000000000000","1,00","S/I","EN OPERACION","2011","215219.435613000008743","5841087.925329999998212","BIOBIO","CNE","10-12-2014"
"63","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.63","LEBU","SAGESA","DIESEL","2.400000000000000","3,00","S/I","EN OPERACION","2007","87792.471793000004254","5826593.972900000400841","ARAUCO","CNE","10-12-2014"
"64","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.64","LOS ALAMOS","SAGESA","DIESEL","0.800000000000000","1,00","S/I","EN OPERACION","2013","110051.184804000004078","5826521.269500000402331","ARAUCO","CNE","10-12-2014"
"65","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.65","LOS GUINDOS","LOS GUINDOS GENERACION S.P.A","PETROLEO DIESEL","139.000000000000000","1,00","S/I","EN OPERACION","2015","207506.795329999993555","5888731.910179999656975","BIOBIO","CNE","10-12-2014"
"66","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.66","LOS PINOS","COLBUN S.A.","PETROLEO DIESEL","102.839478000000000","1,00","120-2004","EN OPERACION","2009","204463.000000000000000","5890476.000000000000000","BIOBIO","CNE","10-12-2014"
"67","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.67","NEWEN","GAS SUR S.A.","PROPANO","14.347689000000001","1,00","250-2007","EN OPERACION","2009","132902.433288000000175","5922137.440840000286698","CONCEPCION","CNE","10-12-2014"
"68","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.68","SAN GREGORIO","TECNORED","PETROLEO DIESEL","0.500000000000000","1,00","S/I","EN OPERACION","2009","246817.149999999994179","5981439.250000000000000","NUBLE","CNE","10-12-2014"
"69","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.69","SANTA LIDIA","AES GENER S.A.","PETROLEO DIESEL","137.610000000000014","1,00","345-2007","EN OPERACION","2009","205230.452637999987928","5889659.747729999944568","BIOBIO","CNE","10-12-2014"
"70","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.70","SANTA MARIA","COLBUN S.A.","CARBON","341.990999999999985","1,00","176-2007","EN OPERACION","2012","132641.006262999988394","5892484.986580000258982","CONCEPCION","CNE","10-12-2014"
"71","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.71","TIRUA","SAGESA","PETROLEO DIESEL","1.900000000000000","1,00","S/I","EN OPERACION","2011","107913.962746999997762","5748658.156589999794960","ARAUCO","CNE","10-12-2014"
"72","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.72","TRONGOL-CURANILAHUE","SAGESA","DIESEL","2.800000000000000","3,00","132-2013","EN OPERACION","2012","117942.528993999992963","5841835.458730000071228","ARAUCO","CNE","10-12-2014"
"73","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.73","YUNGAY","DUKE ENERGY","PETROLEO DIESEL","199.099999999999994","4,00","S/I","EN OPERACION","2007","207335.253148999996483","5888347.910029999911785","BIOBIO","CNE","10-12-2014"
"74","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.74","ORAFTI","BENEO ORAFTI","PETROLEO DIESEL","0.500000000000000","1,00","32-2013","EN OPERACION","2009","201959.835900000005495","5910237.453300000168383","NUBLE","CNE","10-12-2014"
"75","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.75","EL PENON","ENLASA","PETROLEO DIESEL","80.837999999999994","50,00","269-2009","EN OPERACION","2009","285240.080000000016298","6663401.990000000223517","ELQUI","CNE","10-12-2014"
"76","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.76","LOS ESPINOS","TERMOELECTRICA LOS ESPINOS S.A.","PETROLEO DIESEL","124.000000000000000","80,00","83-2004 / 03-2008 / 07-2009","EN OPERACION","2009","268231.090000000025611","6469913.410000000149012","CHOAPA","CNE","10-12-2014"
"77","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.77","MONTE PATRIA","ELEKTRAGEN","PETROLEO DIESEL","9.000000000000000","8,00","23-2007","EN OPERACION","2007","313324.000000000000000","6602380.000000000000000","LIMARI","CNE","10-12-2014"
"78","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.78","OLIVOS","POTENCIA S.A.","PETROLEO DIESEL","115.200000000000003","72,00","86-2005 / 03-2008 / 14-2010","EN OPERACION","2008","265848.450000000011642","6464053.219999999739230","CHOAPA","CNE","10-12-2014"
"79","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.79","PUNITAQUI","ELEKTRAGEN","PETROLEO DIESEL","9.000000000000000","6,00","22-2007","EN OPERACION","2007","285760.070000000006985","6583984.509999999776483","LIMARI","CNE","10-12-2014"
"80","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.80","PUNTA COLORADA","CIA. BARRICK CHILE GENERACION LTDA","PETROLEO DIESEL","16.609000000000002","1,00","11-2007","EN OPERACION","2010","301710.890000000013970","6749641.650000000372529","ELQUI","CNE","10-12-2014"
"81","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.81","BIOMAR","SAGESA","PETROLEO DIESEL","2.400000000000000","3,00","S/I","EN OPERACION","2009","131667.956845000007888","5364924.216359999962151","LLANQUIHUE","CNE","10-12-2014"
"82","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.82","CHILOE","ELEKTRAGEN","PETROLEO DIESEL","9.000000000000000","9,00","05-2007 / 396-2007","EN OPERACION","2008","124327.070968999993056","5218688.333379999734461","CHILOE","CNE","10-12-2014"
"83","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.83","CHUYACA","SAGESA","PETROLEO DIESEL","11.300000000000001","6,00","S/I","EN OPERACION","2008","153932.300075000006473","5499976.551190000027418","OSORNO","CNE","10-12-2014"
"84","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.84","DANISCO","SAGESA","PETROLEO DIESEL","0.800000000000000","1,00","S/I","EN OPERACION","2011","130469.688318000000436","5364851.090680000372231","LLANQUIHUE","CNE","10-12-2014"
"85","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.85","DEGAN","GENERACION DE ENERGIA NUEVA DEGAN S.A.","PETROLEO DIESEL","36.000000000000000","22,00","289-2007","EN OPERACION","2007","110333.193264000001363","5322998.931529999710619","CHILOE","CNE","10-12-2014"
"86","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.86","MULTIEXPORT (I-II)","SAGESA","PETROLEO DIESEL","3.000000000000000","3,00","S/I","EN OPERACION","2009","168015.576100000005681","5401718.093299999833107","LLANQUIHUE","CNE","10-12-2014"
"87","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.87","QUELLON II","SAGESA","PETROLEO DIESEL","7.000000000000000","4,00","143-2008","EN OPERACION","2008","124426.642059000005247","5218699.823499999940395","CHILOE","CNE","10-12-2014"
"88","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.88","SKRETTING","NUTRECO","PETROLEO DIESEL","2.700000000000000","2,00","S/I","EN OPERACION","2008","153091.355026000004727","5498950.773149999789894","OSORNO","CNE","10-12-2014"
"89","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.89","SKRETTING OSORNO","SAGESA","PETROLEO DIESEL","3.000000000000000","4,00","S/I","EN OPERACION","2011","153092.014415999990888","5498953.607900000177324","OSORNO","CNE","10-12-2014"
"90","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.90","TRAPEN","ENLASA","PETROLEO DIESEL","81.000000000000000","50,00","113-2008","EN OPERACION","2008","159794.259194000012940","5395737.708290000446141","LLANQUIHUE","CNE","10-12-2014"
"91","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.91","WATT (1-2)","SAGESA","PETROLEO DIESEL","3.000000000000000","2,00","S/I","EN OPERACION","2009","153359.285499999998137","5498684.856200000271201","OSORNO","CNE","10-12-2014"
"92","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.92","ANTILHUE","COLBUN S.A.","PETROLEO DIESEL","101.299999999999997","2,00","91-1999","EN OPERACION","2005","141661.000000000000000","5585958.000000000000000","VALDIVIA","CNE","10-12-2014"
"93","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.93","CALLE CALLE","SAGESA","PETROLEO DIESEL","13.000000000000000","8,00","136-2008","EN OPERACION","2011","141322.400080999999773","5586047.876640000380576","VALDIVIA","CNE","10-12-2014"
"94","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.94","LOUSIANA PACIFIC","SAGESA","PETROLEO DIESEL","2.900000000000000","4,00","S/I","EN OPERACION","2009","201509.038384000014048","5615202.713390000164509","VALDIVIA","CNE","10-12-2014"
"95","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.95","CBB-CENTRO","EQUIPOS GENERACION S.A.","PETROLEO DIESEL","13.532000000000000","8,00","S/I","EN OPERACION","2010","304098.299999999988358","6139650.200000000186265","CURICO","CNE","10-12-2014"
"96","termoel_ctricas_ab7d0ebd_96b7_481f_8804_f05173a82eef.96","CONSTITUCION","ELEKTRAGEN","PETROLEO DIESEL","9.000000000000000","6,00","13-2007","EN OPERACION","2007","190426.623736999987159","6081659.281960000284016","TALCA","CNE","10-12-2014"
