"gid","gml_id","nombre","Propietario","Tipo ","combustibl","Potencia MW","Unidades","rca","Sistema Eléctrico ","estado","Fecha Operación","Provincia","fuente_bas","fech_crea","fech_act"
"92","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.92","PEHUENCHE","EMPRESA ELECTRICA PEHUENCHE S.A.","HIDRAULICA EMBALSE","NO APLICA","570","2.000000000000000","S/I","SIC","EN OPERACION","1991","LINARES","CNE","10-12-2014","31-03-2016"
"93","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.93","PEHUI","GENERADORA ELECTRICA RHOM LTDA","HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SIC","EN OPERACION","2009","RANCO","CNE","10-12-2014","31-03-2016"
"94","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.94","PEUCHEN","DUKE ENERGY","HIDRAULICA PASADA","NO APLICA","85","2.000000000000000","220/1996","SIC","EN OPERACION","2000","BIOBIO","CNE","10-12-2014","31-03-2016"
"95","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.95","PICHILONCO","HIDROELECTRICA PICHILONCO S.A.","HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SIC","EN OPERACION","2014","RANCO","CNE","18-03-2015","31-03-2016"
"97","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.97","PMGD MULCHEN","CENTRAL HIDROELECTRICA RIO MULCHEN S.A.","HIDROELECTRICA","NO APLICA","3","1.000000000000000","122/2011","SIC","EN OPERACION","2015","BIOBIO","CNE","31-03-2016","31-03-2016"
"98","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.98","PROVIDENCIA","HIDROELECTRICA PROVIDENCIA S.A.","HIDRAULICA PASADA","NO APLICA","14","2.000000000000000","090/2011","SIC","EN OPERACION","2013","TALCA","CNE","10-12-2014","31-03-2016"
"99","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.99","PUCLARO","HIDROELECTRICA PUCLARO S.A.","HIDRAULICA PASADA","NO APLICA","6","2.000000000000000","107/2006","SIC","EN OPERACION","2008","ELQUI","CNE","10-12-2014","31-03-2016"
"100","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.100","PULLINQUE","EMPRESA ELECTRICA PANGUIPULLI S.A.","HIDRAULICA PASADA","NO APLICA","51","3.000000000000000","S/I","SIC","EN OPERACION","1962","VALDIVIA","CNE","10-12-2014","31-03-2016"
"101","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.101","PUNTILLA","ELECTRICA PUNTILLA S.A.","HIDRAULICA PASADA","NO APLICA","22","3.000000000000000","490/2014","SIC","EN OPERACION","1997","CORDILLERA","CNE","10-12-2014","31-03-2016"
"102","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.102","PURISIMA","ENERBOSCH S.A.","HIDRAULICA PASADA","NO APLICA","0","1.000000000000000","S/I","SIC","EN OPERACION","2012","CURICO","CNE","10-12-2014","31-03-2016"
"103","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.103","QUELTEHUES","AES GENER S.A.","HIDRAULICA PASADA","NO APLICA","49","3.000000000000000","S/I","SIC","EN OPERACION","1928","CORDILLERA","CNE","10-12-2014","31-03-2016"
"104","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.104","QUILLAILEO","EBCO ENERGIA","HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SIC","EN OPERACION","2014","BIOBIO","CNE","02-01-2015","31-03-2016"
"105","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.105","QUILLECO","COLBUN S.A.","HIDRAULICA PASADA","NO APLICA","71","2.000000000000000","338/2000","SIC","EN OPERACION","2007","BIOBIO","CNE","10-12-2014","31-03-2016"
"106","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.106","RALCO","ENDESA","HIDRAULICA EMBALSE","NO APLICA","690","2.000000000000000","010/1997; 275/2004","SIC","EN OPERACION","2004","BIOBIO","CNE","10-12-2014","31-03-2016"
"107","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.107","RAPEL","ENDESA","HIDRAULICA EMBALSE","NO APLICA","378","5.000000000000000","S/I","SIC","EN OPERACION","1968","CARDENAL CARO","CNE","10-12-2014","31-03-2016"
"108","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.108","RECA","ENERBOSCH S.A.","HIDRAULICA PASADA","NO APLICA","2","1.000000000000000","S/I","SIC","EN OPERACION","2011","VALDIVIA","CNE","10-12-2014","31-03-2016"
"109","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.109","RENAICO","MAINCO S.A.","HIDRAULICA PASADA","NO APLICA","6","1.000000000000000","S/I","SIC","EN OPERACION","2013","BIOBIO","CNE","31-12-2014","31-03-2016"
"111","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.111","RIO HUASCO","HIDROELECTRICA RIO HUASCO S.A.","HIDRAULICA PASADA","NO APLICA","5","2.000000000000000","147/2010","SIC","EN OPERACION","2013","HUASCO","CNE","10-12-2014","31-03-2016"
"112","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.112","RIO PICOIQUEN","HIDROANGOL S.A.","HIDRAULICA PASADA","NO APLICA","20","2.000000000000000","015/2011","SIC","EN OPERACION","2015","MALLECO","CNE","30-09-2015","31-03-2016"
"113","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.113","RIO TRUENO","HIDROELECTRICA TRUENO S.A.","HIDRAULICA PASADA","NO APLICA","6","2.000000000000000","174/2005","SIC","EN OPERACION","2010","CAUTIN","CNE","10-12-2014","31-03-2016"
"114","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.114","ROBLERIA","GENERADORA ELECTRICA ROBLERIA LTDA.","HIDRAULICA PASADA","NO APLICA","4","1.000000000000000","187/2010","SIC","EN OPERACION","2013","LINARES","CNE","10-12-2014","31-03-2016"
"115","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.115","RUCATAYO","EMPRESA ELECTRICA RUCATAYO S.A.","HIDRAULICA PASADA","NO APLICA","60","1.000000000000000","125/2006","SIC","EN OPERACION","2012","OSORNO","CNE","10-12-2014","31-03-2016"
"116","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.116","RUCUE","COLBUN S.A.","HIDRAULICA PASADA","NO APLICA","178","2.000000000000000","254/1996","SIC","EN OPERACION","1998","BIOBIO","CNE","10-12-2014","31-03-2016"
"117","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.117","SAN ANDRES","HIDROELECTRICA SAN ANDRES LTDA.","HIDRAULICA PASADA","NO APLICA","40","2.000000000000000","037/2009; 227/2010","SIC","EN OPERACION","2014","COLCHAGUA","CNE","10-12-2014","31-03-2016"
"118","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.118","SAN CLEMENTE","COLBUN S.A.","HIDRAULICA PASADA","NO APLICA","6","1.000000000000000","270/2007","SIC","EN OPERACION","2010","TALCA","CNE","18-03-2015","31-03-2016"
"119","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.119","SAN IGNACIO","COLBUN S.A.","HIDRAULICA PASADA","NO APLICA","37","1.000000000000000","S/I","SIC","EN OPERACION","1996","LINARES","CNE","10-12-2014","31-03-2016"
"120","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.120","SAUCE ANDES","GENERADORA ELECTRICA SAUCE LOS ANDES S.A.","HIDRAULICA PASADA","NO APLICA","1","4.000000000000000","S/I","SIC","EN OPERACION","1909","LOS ANDES","CNE","10-12-2014","31-03-2016"
"121","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.121","SAUZAL","ENDESA","HIDRAULICA PASADA","NO APLICA","77","3.000000000000000","S/I","SIC","EN OPERACION","1948","CACHAPOAL","CNE","10-12-2014","31-03-2016"
"122","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.122","SAUZALITO","ENDESA","HIDRAULICA PASADA","NO APLICA","12","1.000000000000000","S/I","SIC","EN OPERACION","1959","CACHAPOAL","CNE","10-12-2014","31-03-2016"
"123","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.123","TRAILELFU","HIDROELECTRICA TRAILELFU SPA","MINI HIDRAULICA PASADA","NO APLICA","2","1.000000000000000","S/I","SIC","EN OPERACION","2015","CAUTIN","CNE","31-12-2015","31-03-2016"
"124","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.124","TRUFULTRUFUL","HIDROELEC S.A.","HIDRAULICA PASADA","NO APLICA","1","1.000000000000000","S/I","SIC","EN OPERACION","2009","CAUTIN","CNE","10-12-2014","31-03-2016"
"125","hidroel_cticas_df6b2ac3_835d_43b4_ac6a_d607a64bcc7d.125","VOLCAN","AES GENER S.A.","HIDRAULICA PASADA","NO APLICA","13","1.000000000000000","S/I","SIC","EN OPERACION","1944","CORDILLERA","CNE","10-12-2014","31-03-2016"
