central,empresa,grupoempresario,tipodecentral,potenciainstaladamv,caracteristicas,localidad,departamento,provincia,fuente,geom,geojson
ÑORQUINCO SUR,DGSP-MINISTERIO DE EDUCACION (ALDEAS ESCOLARES),SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.02,<br>Maquina: BOUNOUS 27 DBT | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.02 | Fecha de puesta en servicio: 1994-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,ÑORQUINCO,RIO NEGRO,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000022E010AAD4B451C06C95607138FF44C0,"{""type"":""Point"",""coordinates"":[-70.82548,-41.99391]}"
PIEDRA PARADA,DGSP-MINISTERIO DE EDUCACION (ALDEAS ESCOLARES),SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.034,<br>Maquina: DEUTZ F4L 912 - 8551144 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.034 | Fecha de puesta en servicio: 2000-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,LANGUIÑEO,CHUBUT,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000000A39A572C98951C044238E2BE45445C0,"{""type"":""Point"",""coordinates"":[-70.1529204,-42.6632132]}"
RANQUIL HUAO,DGSP-MINISTERIO DE EDUCACION (ALDEAS ESCOLARES),SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.04,<br>Maquina: PERKINS 6-305  | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.04 | Fecha de puesta en servicio: 2001-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,SIN DATOS DE DEPARTAMENTO,SIN DATOS DE PROVINCIA,DIRECCION NACIONAL DE PROSPECTIVA,,
SEPAUCAL,DGSP-MINISTERIO DE EDUCACION (ALDEAS ESCOLARES),SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.034,<br>Maquina: DEUTZ F4L 6912 - 8551147 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.034 | Fecha de puesta en servicio: 1999-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,TELSEN,CHUBUT,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000D6C743DFDDD950C0F52B9D0FCF2245C0,"{""type"":""Point"",""coordinates"":[-67.404167,-42.271944]}"
YALA LAUBAT,DGSP-MINISTERIO DE EDUCACION (ALDEAS ESCOLARES),SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.034,<br>Maquina: DEUTZ F4L 912 - 8548744 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.034 | Fecha de puesta en servicio: 1999-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,GASTRE,CHUBUT,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000264D28E9063851C04C4D277E316245C0,"{""type"":""Point"",""coordinates"":[-68.8754218,-42.7671354]}"
ELECTROPAT.,ELECTROPATAGONIA-C.RIV-C.COMB.,ELECTROPATAGONIA SA,TERMICA,63,<br>Maquina: CRIVTV25 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 21 | Año de puesta en marcha: 1982 | Año de ingreso al MEM: 2001-05-14<br>Maquina: CRIVTG28 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 21 | Año de puesta en marcha: 1982 | Año de ingreso al MEM: 2001-05-14<br>Maquina: CRIVTG27 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 21 | Año de puesta en marcha: 1982 | Año de ingreso al MEM: 2001-09-21,SIN DATOS DE LOCALIDAD,ESCALANTE,CHUBUT,CAMMESA,0101000020E6100000F3052D2460DC50C0FF791A3048E846C0,"{""type"":""Point"",""coordinates"":[-67.443368,-45.814703]}"
L.BLANC 4 ENARS,C.EOLICA LOMA BLANCA IV-ENARSA,ENERGÍA ARGENTINA S.A.,EOLICA,50,<br>Maquina: LOM4EO01 | Tipo máquina: EOLICO | Tipo Generación: EÓLICA | Potencia Instalada (MW): 50 | Año de puesta en marcha: 2013 | Año de ingreso al MEM: 2013-08-15,SIN DATOS DE LOCALIDAD,RAWSON,CHUBUT,CAMMESA,0101000020E61000007461A417B54E50C09F2287889B8B45C0,"{""type"":""Point"",""coordinates"":[-65.229803,-43.090684]}"
RAWSONI  ENARSA,P.EOLICO RAWSON I - ENARSA,ENERGÍA ARGENTINA S.A.,EOLICA,48.6,<br>Maquina: RAW1EO01 | Tipo máquina: EOLICO | Tipo Generación: EÓLICA | Potencia Instalada (MW): 48.6 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-01-01,SIN DATOS DE LOCALIDAD,RAWSON,CHUBUT,CAMMESA,0101000020E61000005F28603B184B50C09CC24A0515AD45C0,"{""type"":""Point"",""coordinates"":[-65.173354,-43.352204]}"
RAWSONII ENARSA,P.EOLICO RAWSON II - ENARSA,ENERGÍA ARGENTINA S.A.,EOLICA,28.8,<br>Maquina: RAW2EO01 | Tipo máquina: EOLICO | Tipo Generación: EÓLICA | Potencia Instalada (MW): 28.8 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-01-20,SIN DATOS DE LOCALIDAD,RAWSON,CHUBUT,CAMMESA,0101000020E61000005F28603B184B50C09CC24A0515AD45C0,"{""type"":""Point"",""coordinates"":[-65.173354,-43.352204]}"
C.T. PATAGONIA,ENERGIA DEL SUR S.A.,ENERGIA DEL SUR SA,TERMICA,125.1,<br>Maquina: PATATG01 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 38.2 | Año de puesta en marcha: 1996 | Año de ingreso al MEM: 1996-09-01<br>Maquina: PATATG02 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 38.2 | Año de puesta en marcha: 1996 | Año de ingreso al MEM: 1996-11-01<br>Maquina: PATATV01 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 48.7 | Año de puesta en marcha: 2009 | Año de ingreso al MEM: 2009-07-25,SIN DATOS DE LOCALIDAD,ESCALANTE,CHUBUT,CAMMESA,0101000020E610000069ACFD9DEDE050C0C9CC052E8FE546C0,"{""type"":""Point"",""coordinates"":[-67.514503,-45.793432]}"
F. AMEGHINO,HIDROELECTRICA AMEGHINO SA,HIDROELEC. AMEGHINO SA,HIDRAULICA,46.8,<br>Maquina: AMEGHI02 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 23.4 | Año de puesta en marcha: 1968 | Año de ingreso al MEM: 1994-01-01<br>Maquina: AMEGHI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 23.4 | Año de puesta en marcha: 1968 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,GAIMAN,CHUBUT,CAMMESA,0101000020E6100000B308C556D09E50C0E25CC30C8DD945C0,"{""type"":""Point"",""coordinates"":[-66.481466,-43.699617]}"
FUTALEUFU,HIDROELECTRICA FUTALEUFU SA,HIDROELEC. FUTALEUFU SA,HIDRAULICA,472,<br>Maquina: FUTAHI03 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 118 | Año de puesta en marcha: 1978 | Año de ingreso al MEM: 1994-01-01<br>Maquina: FUTAHI02 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 118 | Año de puesta en marcha: 1978 | Año de ingreso al MEM: 1994-01-01<br>Maquina: FUTAHI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 118 | Año de puesta en marcha: 1978 | Año de ingreso al MEM: 1994-01-01<br>Maquina: FUTAHI04 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 118 | Año de puesta en marcha: 1978 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,FUTALEUFU,CHUBUT,CAMMESA,0101000020E61000009548A29751E851C07F30F0DC7B9045C0,"{""type"":""Point"",""coordinates"":[-71.62998,-43.12878]}"
DIADEMA EOLICO,HYCHICO P. EOLICO DIADEMA,HYCHICO SA,EOLICA,6.3,<br>Maquina: DIADEO01 | Tipo máquina: EOLICO | Tipo Generación: EÓLICA | Potencia Instalada (MW): 6.3 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-12-08,SIN DATOS DE LOCALIDAD,ESCALANTE,CHUBUT,CAMMESA,0101000020E610000012AF5F6E7FEC50C0F34E707777DF46C0,"{""type"":""Point"",""coordinates"":[-67.69527778,-45.74583333]}"
EL TORDILLO,CE EL TORDILLO-VIENTO PATAGON,VIENTOS DE LA PATAGONIA I SA,EOLICA,3,<br>Maquina: TORDEO01 | Tipo máquina: EOLICO | Tipo Generación: EÓLICA | Potencia Instalada (MW): 3 | Año de puesta en marcha: 2013 | Año de ingreso al MEM: 2013-09-20,SIN DATOS DE LOCALIDAD,ESCALANTE,CHUBUT,CAMMESA,0101000020E61000008048BF7D1DFA50C03EAE0D15E3EC46C0,"{""type"":""Point"",""coordinates"":[-67.90805,-45.85068]}"
DIQUE,CENTRAL DIQUE S.A.,CENTRAL DIQUE SA,TERMICA,55,<br>Maquina: DIQUTG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 13 | Año de puesta en marcha: 1974 | Año de ingreso al MEM: 1999-08-19<br>Maquina: DIQUTG03 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 15 | Año de puesta en marcha: 1974 | Año de ingreso al MEM: 1994-01-01<br>Maquina: DIQUTG04 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 14 | Año de puesta en marcha: 1974 | Año de ingreso al MEM: 1994-01-01<br>Maquina: DIQUTG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 13 | Año de puesta en marcha: 1974 | Año de ingreso al MEM: 1999-09-06,SIN DATOS DE LOCALIDAD,ENSENADA,BUENOS AIRES,CAMMESA,0101000020E61000000FEECEDA6DF74CC090A339B2F27141C0,"{""type"":""Point"",""coordinates"":[-57.93304,-34.890219]}"
DOCK SUD,CENTRAL DOCK SUD,CENTRAL DOCK SUD SA,TERMICA,869.5,<br>Maquina: DSUDTG10 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 256.4 | Año de puesta en marcha: 2001 | Año de ingreso al MEM: 2001-01-20<br>Maquina: DSUDTG08 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 36 | Año de puesta en marcha: 1989 | Año de ingreso al MEM: 1994-01-01<br>Maquina: DSUDTG07 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 36 | Año de puesta en marcha: 1989 | Año de ingreso al MEM: 1994-01-01<br>Maquina: DSUDTG09 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 256.5 | Año de puesta en marcha: 2001 | Año de ingreso al MEM: 2001-01-20<br>Maquina: DSUDTV11 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 284.6 | Año de puesta en marcha: 2001 | Año de ingreso al MEM: 2001-01-20,SIN DATOS DE LOCALIDAD,AVELLANEDA,BUENOS AIRES,CAMMESA,0101000020E6100000C408E1D1C62B4DC0D9EC48F59D5341C0,"{""type"":""Point"",""coordinates"":[-58.342005,-34.653258]}"
ALTE BROWN ENAR,C.T. ALMIRANTE BROWN,C.T. ALMIRANTE BROWN S.A.,TERMICA,25,<br>Maquina: ABRODI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 25 | Año de puesta en marcha: 2013 | Año de ingreso al MEM: 2013-06-05,SIN DATOS DE LOCALIDAD,ALMIRANTE BROWN,BUENOS AIRES,CAMMESA,0101000020E6100000083D9B559F334DC06E88F19A576B41C0,"{""type"":""Point"",""coordinates"":[-58.4033,-34.838611]}"
REM ESCAL ENARS,C.T.REMED.DE ESCALADA -AGGREKO,AGGREKO ARGENTINA S.R.L.,TERMICA,25,<br>Maquina: RESCDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 25 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-06-02,SIN DATOS DE LOCALIDAD,LANUS,BUENOS AIRES,CAMMESA,0101000020E61000002AC8CF46AE314DC0EA211ADD415C41C0,"{""type"":""Point"",""coordinates"":[-58.388131,-34.72076]}"
ENSE. BARRAGAN,CT BARRAGAN - ENARSA,ENERGÍA ARGENTINA S.A.,TERMICA,567,<br>Maquina: EBARTG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 283.5 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-04-27<br>Maquina: EBARTG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 283.5 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-04-27,SIN DATOS DE LOCALIDAD,ENSENADA,BUENOS AIRES,CAMMESA,0101000020E610000051BD35B055FA4CC09B5775560B6E41C0,"{""type"":""Point"",""coordinates"":[-57.95574,-34.859721]}"
LA PLATA,CT LA PLATA - SULLAIR,SULLAIR ARGENTINA S.A.,TERMICA,40.4,<br>Maquina: LPLADI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 40.4 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-11-06,SIN DATOS DE LOCALIDAD,LA PLATA,BUENOS AIRES,CAMMESA,0101000020E610000047C9AB730C024DC0FF5E0A0F9A7741C0,"{""type"":""Point"",""coordinates"":[-58.016005,-34.934389]}"
MAGDALENA ENARS,CT MAGDALENA - APR ENERGY,APR ENERGY S.R.L.,TERMICA,25,<br>Maquina: MAGDDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 25 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-11-08,SIN DATOS DE LOCALIDAD,MAGDALENA,BUENOS AIRES,CAMMESA,0101000020E6100000855D143DF0BD4CC0BAF94674CF8C41C0,"{""type"":""Point"",""coordinates"":[-57.483894,-35.100081]}"
MATHEU,CT MATHEU - EMGASUD,GENNEIA,TERMICA,40,<br>Maquina: MATHTG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 20 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-11-19<br>Maquina: MATHTG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 20 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-11-19,SIN DATOS DE LOCALIDAD,PILAR,BUENOS AIRES,CAMMESA,0101000020E6100000383103192A6B4DC001DB03A54F3241C0,"{""type"":""Point"",""coordinates"":[-58.83722222,-34.39305556]}"
S.MARTIN N ENAR,C.T.SAN MARTIN NORTE 3- ENARSA,ENERGÍA ARGENTINA S.A.,TERMICA-BIOGAS,5.1,<br>Maquina: SMANDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: BIO GAS | Potencia Instalada (MW): 5.1 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-05-25,SIN DATOS DE LOCALIDAD,SAN MIGUEL,BUENOS AIRES,CAMMESA,0101000020E6100000D3872EA86F4F4DC0419AB1683A4341C0,"{""type"":""Point"",""coordinates"":[-58.620595,-34.52522]}"
S.MIGUEL N ENAR,CT SAN MIGUEL NORTE III-ENARSA,ENERGÍA ARGENTINA S.A.,TERMICA-BIOGAS,11.5,<br>Maquina: SMIGDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: BIO GAS | Potencia Instalada (MW): 11.5 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-10-05,SIN DATOS DE LOCALIDAD,SAN MIGUEL,BUENOS AIRES,CAMMESA,0101000020E6100000D3872EA86F4F4DC0419AB1683A4341C0,"{""type"":""Point"",""coordinates"":[-58.620595,-34.52522]}"
CO. ENSENADA,LA PLATA COGENERACION SA,CENTRAL PUERTO SA,TERMICA,128,<br>Maquina: ENSETG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 128 | Año de puesta en marcha: 1997 | Año de ingreso al MEM: 1997-08-19,SIN DATOS DE LOCALIDAD,ENSENADA,BUENOS AIRES,CAMMESA,0101000020E6100000B6DB2E34D7F54CC02766BD18CA7141C0,"{""type"":""Point"",""coordinates"":[-57.92063,-34.88898]}"
C.T. GENELBA,GENELBA-PETROBRAS | GENELBA PLUS-PETROBRAS,PETROBRAS ARGENTINA SA,TERMICA,838.2,<br>Maquina: GEBATG01 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 218.7 | Año de puesta en marcha: 1997 | Año de ingreso al MEM: 1997-06-01<br>Maquina: GEBATV01 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 236.2 | Año de puesta en marcha: 1998 | Año de ingreso al MEM: 1998-07-27<br>Maquina: GEBATG03 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 164.6 | Año de puesta en marcha: 2009 | Año de ingreso al MEM: 2009-08-07<br>Maquina: GEBATG02 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 218.7 | Año de puesta en marcha: 1997 | Año de ingreso al MEM: 1997-10-01,SIN DATOS DE LOCALIDAD,MARCOS PAZ,BUENOS AIRES,CAMMESA,0101000020E6100000B894F3C5DE5D4DC042CD902A8A7341C0,"{""type"":""Point"",""coordinates"":[-58.733361,-34.902654]}"
BELL VILLE,CT BELL VILLE - SULLAIR,SULLAIR ARGENTINA S.A.,TERMICA,15.6,<br>Maquina: BVILDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 15.6 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-01-08,SIN DATOS DE LOCALIDAD,UNION,CORDOBA,CAMMESA,0101000020E6100000E04B5397DB574FC0A94911951D4E40C0,"{""type"":""Point"",""coordinates"":[-62.686388889,-32.61027778]}"
ISLA VERDE,CT ISLA VERDE - AGGREKO,AGGREKO ARGENTINA S.R.L.,TERMICA,24.5,<br>Maquina: ISVEDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 24.5 | Año de puesta en marcha: 2008 | Año de ingreso al MEM: 2008-05-22,SIN DATOS DE LOCALIDAD,MARCOS JUAREZ,CORDOBA,CAMMESA,0101000020E6100000C3F5285C8F324FC0D7A3703D0A9F40C0,"{""type"":""Point"",""coordinates"":[-62.395,-33.2425]}"
BENJAMIN REOLIN,EPEC GENERACION,EPEC,HIDRAULICA,33,<br>Maquina: REOLHI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 11 | Año de puesta en marcha: 1966 | Año de ingreso al MEM: 1994-01-01<br>Maquina: REOLHI03 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 11 | Año de puesta en marcha: 1966 | Año de ingreso al MEM: 1994-01-01<br>Maquina: REOLHI02 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 11 | Año de puesta en marcha: 1966 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,CALAMUCHITA,CORDOBA,CAMMESA,0101000020E610000088687407B11450C0B7F1272A1B1840C0,"{""type"":""Point"",""coordinates"":[-64.323305,-32.188329]}"
DEAN FUNES,EPEC GENERACION,EPEC,TERMICA,35.1,<br>Maquina: DFUNTG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 16 | Año de puesta en marcha: 1971 | Año de ingreso al MEM: 1994-01-01<br>Maquina: DFUNDI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 3.1 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-01-23<br>Maquina: DFUNTG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 16 | Año de puesta en marcha: 1970 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,CAPITAL,CORDOBA,CAMMESA,0101000020E6100000A77686A92D0D50C090F8156BB8643FC0,"{""type"":""Point"",""coordinates"":[-64.205912,-31.393439]}"
LEVALLE,EPEC GENERACION,EPEC,TERMICA,64.3,<br>Maquina: LEVATG01 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 23 | Año de puesta en marcha: 1981 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LEVADI01 | Tipo máquina: MOTOR DIESEL | Tipo Generación: MOTOR DIESEL | Potencia Instalada (MW): 10.8 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-12-07<br>Maquina: LEVATG02 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 23 | Año de puesta en marcha: 1981 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LEVATG04 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 7.5 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-12-07,SIN DATOS DE LOCALIDAD,PRESIDENTE ROQUE SAENZ PEÑA,CORDOBA,CAMMESA,0101000020E61000009E0AB8E7F9F54FC0AF5C6F9BA90441C0,"{""type"":""Point"",""coordinates"":[-63.921689,-34.036426]}"
ISLA VERDE,EPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,3.11,<br>Maquina: GMD FIAT | Tipo Generación: DIESEL | Potencia Instalada (MW): 3.11 | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,MARCOS JUAREZ,CORDOBA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000094BC3AC780324FC011514CDE009F40C0,"{""type"":""Point"",""coordinates"":[-62.394555,-33.242214]}"
LOS MOLINOS,EPEC GENERACION,EPEC,HIDRAULICA,52,<br>Maquina: LMO1HI03 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 13 | Año de puesta en marcha: 1957 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LMO1HI02 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 13 | Año de puesta en marcha: 1957 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LMO1HI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 13 | Año de puesta en marcha: 1957 | Año de ingreso al MEM: 1994-01-01<br>Maquina: LMO1HI04 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 13 | Año de puesta en marcha: 1957 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,SANTA MARIA,CORDOBA,CAMMESA,0101000020E6100000E998F38C7D1C50C05586713788D63FC0,"{""type"":""Point"",""coordinates"":[-64.445163,-31.838016]}"
PILAR,CT PILAR-EPEC | EPEC GENERACION,EPEC,TERMICA,666,<br>Maquina: PILATV04 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 72 | Año de puesta en marcha: 1977 | Año de ingreso al MEM: 1994-01-01<br>Maquina: PILATV10 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 136 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-01-30<br>Maquina: PILATV03 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 72 | Año de puesta en marcha: 1977 | Año de ingreso al MEM: 1994-01-01<br>Maquina: PILATV02 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 28 | Año de puesta en marcha: 1965 | Año de ingreso al MEM: 1994-01-01<br>Maquina: PILATV01 | Tipo máquina: TURBO VAPOR | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 28 | Año de puesta en marcha: 1965 | Año de ingreso al MEM: 1994-01-01<br>Maquina: PILATG12 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 165 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-08-21<br>Maquina: PILATG11 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 165 | Año de puesta en marcha: 2010 | Año de ingreso al MEM: 2010-08-21,SIN DATOS DE LOCALIDAD,RIO SEGUNDO,CORDOBA,CAMMESA,0101000020E61000004B3ACAC16CEA4FC0DE73603942AA3FC0,"{""type"":""Point"",""coordinates"":[-63.831444,-31.665073]}"
PILAR ZANICHELLI,EPEC,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,216,<br>Maquina: ANSALDO | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 33 | Fecha de puesta en servicio: 1965-10-27 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: ANSALDO | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 33 | Fecha de puesta en servicio: 1965-10-27 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: ANSALDO | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 75 | Fecha de puesta en servicio: 1977-06-06 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: ANSALDO | Tipo Generación: TURBO VAPOR | Potencia Instalada (MW): 75 | Fecha de puesta en servicio: 1978-03-28 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,RIO SEGUNDO,CORDOBA,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000371B2B31CFEA4FC03605323B8BAA3FC0,"{""type"":""Point"",""coordinates"":[-63.834448,-31.666187]}"
